"date","city_num","pm25"
"20160901.tif",1,4.8054937840673
"20160901.tif",2,7.99172230675107
"20160901.tif",3,3.54336004312581
"20160902.tif",1,3.01519677227405
"20160902.tif",2,8.41926118002998
"20160902.tif",3,2.19428390862015
"20160903.tif",1,4.34926303978463
"20160903.tif",2,10.4196751791333
"20160903.tif",3,4.73299198745224
"20160904.tif",1,5.17294224465709
"20160904.tif",2,9.8929086473253
"20160904.tif",3,4.40411848354456
"20160905.tif",1,6.590841031424
"20160905.tif",2,8.39169791085379
"20160905.tif",3,6.31791492662686
"20160906.tif",1,8.5226096442934
"20160906.tif",2,8.10363784517561
"20160906.tif",3,8.65205070558562
"20160907.tif",1,10.6860679663742
"20160907.tif",2,8.66099804620894
"20160907.tif",3,9.79802364999916
"20160908.tif",1,10.9213076437723
"20160908.tif",2,10.8431188462273
"20160908.tif",3,9.2356042488863
"20160909.tif",1,11.8264205323757
"20160909.tif",2,7.86143507276263
"20160909.tif",3,8.49725965911427
"20160910.tif",1,10.6584059124273
"20160910.tif",2,6.52256683924842
"20160910.tif",3,7.14281646546641
"20160911.tif",1,7.00067588191856
"20160911.tif",2,5.72562199698554
"20160911.tif",3,6.00637938515773
"20160912.tif",1,5.58223829013129
"20160912.tif",2,6.55333001424396
"20160912.tif",3,5.5013127388173
"20160913.tif",1,4.09206873392049
"20160913.tif",2,8.43436583564395
"20160913.tif",3,2.89471268464417
"20160914.tif",1,3.2058997165885
"20160914.tif",2,7.62039831100948
"20160914.tif",3,1.22673985653518
"20160915.tif",1,3.89345035257868
"20160915.tif",2,8.30092798414685
"20160915.tif",3,2.5393083481742
"20160916.tif",1,7.68931786206335
"20160916.tif",2,6.80358941819933
"20160916.tif",3,6.81164048470028
"20160917.tif",1,5.5625120152868
"20160917.tif",2,5.73025223111349
"20160917.tif",3,4.67205058785114
"20160918.tif",1,3.79945676315103
"20160918.tif",2,6.2592372076852
"20160918.tif",3,3.23372313314662
"20160919.tif",1,3.28588207886351
"20160919.tif",2,8.60641434987386
"20160919.tif",3,4.72772138713333
"20160920.tif",1,3.20083731082829
"20160920.tif",2,10.2199259803409
"20160920.tif",3,3.83430333052987
"20160921.tif",1,3.70168340652696
"20160921.tif",2,11.0219646665785
"20160921.tif",3,4.5363231588401
"20160922.tif",1,2.96377911804553
"20160922.tif",2,9.35992098308745
"20160922.tif",3,3.2161839207985
"20160923.tif",1,4.21633867545703
"20160923.tif",2,9.93705241490924
"20160923.tif",3,3.40794642572007
"20160924.tif",1,5.93626562139499
"20160924.tif",2,8.40629181786189
"20160924.tif",3,3.86488779716212
"20160925.tif",1,10.0526617967345
"20160925.tif",2,7.06020221407451
"20160925.tif",3,8.05937895798158
"20160926.tif",1,7.04209649485175
"20160926.tif",2,5.39431323702373
"20160926.tif",3,6.14704270205463
"20160927.tif",1,5.37286230387828
"20160927.tif",2,7.61718853995914
"20160927.tif",3,4.26431030472217
"20160928.tif",1,6.16109075880206
"20160928.tif",2,8.15045724747673
"20160928.tif",3,6.85026845867884
"20160929.tif",1,5.40464157060226
"20160929.tif",2,6.87150382238721
"20160929.tif",3,7.68368764961261
"20160930.tif",1,7.21591337457154
"20160930.tif",2,6.90678848993211
"20160930.tif",3,9.04901363797176
