"ID","LR","bus","cars","oth","rail","NA","total","year","State","Name","Urbanized.Area","share_light","share_rail","share_bus","share_cars","share_oth"
25,0,5350.6,0,230.8,0,0,5581.4,2004,NA,NA,NA,0,0,0.958648367793027,0,0.0413516322069732
29,0,9130.8,581.5,0,0,0,9712.3,2004,NA,NA,NA,0,0,0.940127467232272,0.0598725327677275,0
34,0,1145.5,0,10.6,0,0,1156.1,2004,NA,NA,NA,0,0,0.990831242972061,0,0.00916875702793876
43,0,596.9,0,120.4,0,0,717.3,2004,NA,NA,NA,0,0,0.832148334030392,0,0.167851665969608
44,0,234,21.1,43.2,0,0,298.3,2004,NA,NA,NA,0,0,0.784445189406638,0.0707341602413677,0.144820650351995
45,0,371.9,0,21.6,0,0,393.5,2004,NA,NA,NA,0,0,0.945108005082592,0,0.0548919949174079
46,0,226.7,0,27.4,0,0,254.1,2004,NA,NA,NA,0,0,0.892168437622983,0,0.107831562377017
1001,0,16439.2,0,730,0,0,17169.2,2004,NA,NA,NA,0,0,0.957482002655919,0,0.0425179973440813
1002,0,383,0,21.6,0,0,404.6,2004,NA,NA,NA,0,0,0.946613939693524,0,0.0533860603064755
1004,0,2610.5,0,214.1,0,0,2824.6,2004,NA,NA,NA,0,0,0.924201656871769,0,0.0757983431282305
1005,0,1458,0,100,0,0,1558,2004,NA,NA,NA,0,0,0.93581514762516,0,0.0641848523748395
1006,0,1778,0,53.1,0,0,1831.1,2004,NA,NA,NA,0,0,0.971001037627656,0,0.0289989623723445
1007,0,454,0,51.9,0,0,505.9,2004,NA,NA,NA,0,0,0.89741055544574,0,0.10258944455426
1008,0,10644,0,407.4,0,0,11051.4,2004,NA,NA,NA,0,0,0.96313589228514,0,0.0368641077148597
1013,0,1446.3,0,61.2,0,0,1507.5,2004,NA,NA,NA,0,0,0.959402985074627,0,0.0405970149253731
1014,0,3521.4,0,269.6,0,0,3791,2004,NA,NA,NA,0,0,0.928884199419678,0,0.0711158005803218
1016,0,1347.7,0,0,0,0,1347.7,2004,NA,NA,NA,0,0,1,0,0
1040,0,858.8,0,2.2,0,0,861,2004,NA,NA,NA,0,0,0.997444831591173,0,0.00255516840882695
1047,0,538.8,0,0,0,0,538.8,2004,NA,NA,NA,0,0,1,0,0
1048,0,12789.6,0,0,0,0,12789.6,2004,NA,NA,NA,0,0,1,0,0
1049,0,86.2,0,235.9,0,0,322.1,2004,NA,NA,NA,0,0,0.267618751940391,0,0.732381248059609
1050,0,4502.5,0,74.2,0,0,4576.7,2004,NA,NA,NA,0,0,0.983787445102366,0,0.0162125548976337
1051,0,834.4,0,62.8,0,0,897.2,2004,NA,NA,NA,0,0,0.930004458314757,0,0.069995541685243
1052,0,46.2,0,0,0,0,46.2,2004,NA,NA,NA,0,0,1,0,0
1053,0,253.2,0,33.5,0,0,286.7,2004,NA,NA,NA,0,0,0.883153121730031,0,0.116846878269969
1055,0,7710.8,0,0,0,0,7710.8,2004,NA,NA,NA,0,0,1,0,0
1056,0,3028.4,0,0,0,0,3028.4,2004,NA,NA,NA,0,0,1,0,0
1057,0,1690.7,0,87.1,0,0,1777.8,2004,NA,NA,NA,0,0,0.95100686241422,0,0.0489931375857802
1061,0,640,0,364.6,0,0,1004.6,2004,NA,NA,NA,0,0,0.637069480390205,0,0.362930519609795
1063,0,331.4,0,28.2,0,0,359.6,2004,NA,NA,NA,0,0,0.921579532814238,0,0.078420467185762
1064,0,746.2,0,175.3,0,0,921.5,2004,NA,NA,NA,0,0,0.80976668475312,0,0.19023331524688
1066,0,1799.8,0,31.7,0,0,1831.5,2004,NA,NA,NA,0,0,0.982691782691783,0,0.0173082173082173
1086,0,294.2,0,1.7,0,0,295.9,2004,NA,NA,NA,0,0,0.994254815816154,0,0.00574518418384589
1087,0,281.5,0,39,0,0,320.5,2004,NA,NA,NA,0,0,0.878315132605304,0,0.121684867394696
1095,0,1798.8,0,95.7,0,0,1894.5,2004,NA,NA,NA,0,0,0.949485352335709,0,0.0505146476642914
1096,0,589.6,0,0.5,0,0,590.1,2004,NA,NA,NA,0,0,0.999152685985426,0,0.000847314014573801
1098,0,169,0,122.6,0,0,291.6,2004,NA,NA,NA,0,0,0.579561042524005,0,0.420438957475994
1102,0,197.4,0,0,398.9,0,596.3,2004,NA,NA,NA,0,0.668958577897032,0.331041422102968,0,0
1105,0,292,0,313.7,0,0,605.7,2004,NA,NA,NA,0,0,0.482086841670794,0,0.517913158329206
1107,0,306,0,67,0,0,373,2004,NA,NA,NA,0,0,0.820375335120643,0,0.179624664879357
2002,0,11620.4,0,125.2,0,0,11745.6,2004,NA,NA,NA,0,0,0.98934068927939,0,0.0106593107206103
2003,0,2559.4,0,103.8,0,0,2663.2,2004,NA,NA,NA,0,0,0.96102433163112,0,0.0389756683688795
2005,0,508.3,0,65.7,0,0,574,2004,NA,NA,NA,0,0,0.885540069686411,0,0.114459930313589
2006,0,431.8,0,7.7,0,0,439.5,2004,NA,NA,NA,0,0,0.982480091012514,0,0.0175199089874858
2007,0,30241.4,0,318.4,0,0,30559.8,2004,NA,NA,NA,0,0,0.989581083645835,0,0.0104189163541646
2008,0,893390.1,0,1476.2,1760778.9,0,2655645.2,2004,NA,NA,NA,0,0.663032433700104,0.336411693851272,0,0.000555872448623785
2009,0,344.7,0,0,0,0,344.7,2004,NA,NA,NA,0,0,1,0,0
2010,0,657,0,101,0,0,758,2004,NA,NA,NA,0,0,0.866754617414248,0,0.133245382585752
2018,0,9502.9,0,95.6,0,0,9598.5,2004,NA,NA,NA,0,0,0.990040110433922,0,0.00995988956607803
2021,0,1106.1,0,24.1,0,0,1130.2,2004,NA,NA,NA,0,0,0.978676340470713,0,0.0213236595292869
2040,0,3577.5,0,0,0,0,3577.5,2004,NA,NA,NA,0,0,1,0,0
2071,0,244.9,0,14.5,0,0,259.4,2004,NA,NA,NA,0,0,0.944101773323053,0,0.0558982266769468
2072,0,5040.6,0,167.4,0,0,5208,2004,NA,NA,NA,0,0,0.967857142857143,0,0.0321428571428571
2076,0,267.6,0,185.5,0,0,453.1,2004,NA,NA,NA,0,0,0.590598101964246,0,0.409401898035754
2078,0,277.7,0,84.4,72255.8,0,72617.9,2004,NA,NA,NA,0,0.995013626116977,0.00382412600749953,0,0.0011622478755238
2079,0,34462.1,0,0,0,0,34462.1,2004,NA,NA,NA,0,0,1,0,0
2084,0,2442.7,0,0,0,0,2442.7,2004,NA,NA,NA,0,0,1,0,0
2085,0,152.2,0,0,0,0,152.2,2004,NA,NA,NA,0,0,1,0,0
2089,0,0,0,0,0,0,0,2004,NA,NA,NA,NA,NA,NA,NA,NA
2096,0,163,0,9.4,0,0,172.4,2004,NA,NA,NA,0,0,0.945475638051044,0,0.0545243619489559
2113,0,12648.3,0,158.3,0,0,12806.6,2004,NA,NA,NA,0,0,0.987639186044696,0,0.0123608139553043
2116,0,488.8,0,0,0,0,488.8,2004,NA,NA,NA,0,0,1,0,0
2117,0,2644.2,0,0,0,0,2644.2,2004,NA,NA,NA,0,0,1,0,0
2120,0,276.6,0,3.2,0,0,279.8,2004,NA,NA,NA,0,0,0.988563259471051,0,0.0114367405289492
2122,0,17088.5,0,0,0,0,17088.5,2004,NA,NA,NA,0,0,1,0,0
2126,0,2635.7,0,0,0,0,2635.7,2004,NA,NA,NA,0,0,1,0,0
2128,0,3808,0,0,0,0,3808,2004,NA,NA,NA,0,0,1,0,0
2132,0,3412.2,0,0,0,0,3412.2,2004,NA,NA,NA,0,0,1,0,0
2135,0,532.3,0,0,0,0,532.3,2004,NA,NA,NA,0,0,1,0,0
2136,0,25691.1,0,0,0,0,25691.1,2004,NA,NA,NA,0,0,1,0,0
2137,0,248.1,0,0,0,0,248.1,2004,NA,NA,NA,0,0,1,0,0
2145,0,2749.2,0,57.6,0,0,2806.8,2004,NA,NA,NA,0,0,0.979478409576742,0,0.0205215904232578
2147,0,69759.3,0,0,0,0,69759.3,2004,NA,NA,NA,0,0,1,0,0
2148,0,138.7,0,8.5,0,0,147.2,2004,NA,NA,NA,0,0,0.942255434782609,0,0.0577445652173913
2149,0,4408.3,0,0,0,0,4408.3,2004,NA,NA,NA,0,0,1,0,0
2158,0,36.5,0,22.6,0,0,59.1,2004,NA,NA,NA,0,0,0.617597292724196,0,0.382402707275804
2160,0,596.4,0,0,0,0,596.4,2004,NA,NA,NA,0,0,1,0,0
2161,0,2267.7,0,0,0,0,2267.7,2004,NA,NA,NA,0,0,1,0,0
2163,0,1889.6,0,0,0,0,1889.6,2004,NA,NA,NA,0,0,1,0,0
2164,0,420.4,0,0,0,0,420.4,2004,NA,NA,NA,0,0,1,0,0
2165,0,737.6,0,0,0,0,737.6,2004,NA,NA,NA,0,0,1,0,0
2166,0,12581.9,0,0,0,0,12581.9,2004,NA,NA,NA,0,0,1,0,0
2168,0,7360.7,0,0,0,0,7360.7,2004,NA,NA,NA,0,0,1,0,0
2169,0,955.8,0,0,0,0,955.8,2004,NA,NA,NA,0,0,1,0,0
2171,0,1005,0,0,0,0,1005,2004,NA,NA,NA,0,0,1,0,0
2172,0,480.6,0,0,0,0,480.6,2004,NA,NA,NA,0,0,1,0,0
2175,0,474.1,0,0,0,0,474.1,2004,NA,NA,NA,0,0,1,0,0
2177,0,423.1,0,0,0,0,423.1,2004,NA,NA,NA,0,0,1,0,0
2178,0,190.4,0,0,0,0,190.4,2004,NA,NA,NA,0,0,1,0,0
2179,0,37.3,0,0,0,0,37.3,2004,NA,NA,NA,0,0,1,0,0
2180,0,18.4,0,0,0,0,18.4,2004,NA,NA,NA,0,0,1,0,0
2181,0,1037.8,0,696,0,0,1733.8,2004,NA,NA,NA,0,0,0.59856961587265,0,0.40143038412735
3001,0,2015,0,28.4,0,0,2043.4,2004,NA,NA,NA,0,0,0.986101595380249,0,0.0138984046197514
