"city_num","PRECTOT","PRECSNO","QSH","RHOA","SPEED","TLML","file","Address","lon","lat","address","joint_address"
10,1.57699901137676e-06,0,0.00287888734601438,1.16666984558105,4.85179281234741,287.277709960938,"200001.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,3.65634623449296e-05,0,0.00687679881229997,1.16551244258881,4.78885984420776,286.170532226562,"200502.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,6.61076455799048e-06,0,0.00381426676176488,1.16225481033325,5.03633260726929,287.817443847656,"200002.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,6.10530742051196e-06,0,0.0066340547055006,1.1545957326889,5.32273197174072,288.713073730469,"200503.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,4.74146736451075e-06,0,0.00382903916761279,1.15284669399261,6.02968120574951,289.158416748047,"200003.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.81974326096679e-06,0,0.00579359056428075,1.13842988014221,5.75881433486938,292.412506103516,"200504.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.52908597783608e-07,0,0.00346196186728776,1.1254894733429,5.48943710327148,295.921356201172,"200004.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.43473954494766e-07,0,0.0063982792198658,1.10894954204559,5.00666999816895,299.168640136719,"200505.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,3.34147598479717e-10,0,0.00397506449371576,1.10420274734497,5.86427545547485,300.615539550781,"200005.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.83575654677526e-11,0,0.00501118134707212,1.09304213523865,5.44238328933716,302.879486083984,"200506.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.84274924208694e-08,0,0.00596950761973858,1.08860790729523,5.20331907272339,304.597106933594,"200006.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,2.73760383606714e-06,0,0.00792445428669453,1.07587897777557,4.61132717132568,307.876892089844,"200507.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.33660563506055e-07,0,0.00531449634581804,1.0832713842392,5.67515659332275,306.548126220703,"200007.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.03250322354143e-05,0,0.0127973947674036,1.08598303794861,4.17222785949707,304.811859130859,"200508.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,3.19964760819857e-06,0,0.00989508349448442,1.08422589302063,4.94364070892334,305.742797851562,"200008.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,2.43732642957184e-06,0,0.00558548746630549,1.09841895103455,5.06726121902466,302.418518066406,"200509.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,6.90302037753554e-10,0,0.00646389508619905,1.09557211399078,4.76225519180298,302.894378662109,"200009.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,5.74410114495549e-06,0,0.00579864298924804,1.12305462360382,5.41637802124023,296.12255859375,"200510.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.31431970658014e-05,0,0.00620343722403049,1.12800192832947,4.74697780609131,294.798248291016,"200010.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.84704651928769e-06,7.96316285360029e-30,0.00407114718109369,1.15122306346893,6.08029460906982,290.501281738281,"200511.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,7.38388109766674e-07,0,0.00347294844686985,1.16875195503235,5.79378461837769,285.967559814453,"200011.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,2.05668186481489e-07,1.28301935068478e-24,0.00268379831686616,1.17128717899323,6.03255367279053,286.080718994141,"200512.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,9.64955049198579e-09,1.81909439497373e-14,0.00319820968434215,1.16659080982208,5.48525476455688,287.232574462891,"200012.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.94495683558671e-07,1.52707896055069e-15,0.00251714931800961,1.17218577861786,6.24884223937988,285.878112792969,"200601.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.86950546776643e-05,2.82456113609442e-07,0.00364266871474683,1.17962622642517,5.31524801254272,283.862243652344,"200101.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.13093039999512e-06,0,0.00201225047931075,1.16172218322754,6.0982871055603,288.039855957031,"200602.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
10,1.80384922714438e-05,2.22176353759096e-07,0.00425624288618565,1.17291510105133,5.4128475189209,284.703979492188,"200102.nc4","Lake Havasu City, AZ",-114.3224548,34.483901,"lake havasu city, az, usa",NA
