"city_num","Address","lon","lat","address","joint_address","date","pm25","year","month","day"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010710.tif",5.90775270629347,"2001","07","10"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001010.tif",8.15057531992594,"2000","10","10"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000111.tif",7.61476543911716,"2000","01","11"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020410.tif",13.9488161906861,"2002","04","10"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010711.tif",6.65881051097,"2001","07","11"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001011.tif",9.61970786044472,"2000","10","11"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000112.tif",7.41462182998657,"2000","01","12"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020411.tif",12.0980741266619,"2002","04","11"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010712.tif",5.74541536757821,"2001","07","12"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001012.tif",9.38565490956892,"2000","10","12"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000113.tif",14.5150422380682,"2000","01","13"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020412.tif",9.74435518499006,"2002","04","12"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010713.tif",10.5757985700641,"2001","07","13"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001013.tif",14.0319696978519,"2000","10","13"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000114.tif",22.3137240158884,"2000","01","14"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020413.tif",11.6263574131748,"2002","04","13"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010714.tif",7.67226753736797,"2001","07","14"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001014.tif",10.7685790982163,"2000","10","14"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000115.tif",23.022889388235,"2000","01","15"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020414.tif",12.0174567406638,"2002","04","14"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010715.tif",15.4969202175475,"2001","07","15"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001015.tif",8.19599239031474,"2000","10","15"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000116.tif",6.38683532831962,"2000","01","16"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020415.tif",9.74815926635475,"2002","04","15"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010716.tif",17.5516105200115,"2001","07","16"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001016.tif",15.8752564212732,"2000","10","16"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000117.tif",10.513110595837,"2000","01","17"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020416.tif",14.4713624736719,"2002","04","16"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010717.tif",16.0715823340834,"2001","07","17"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001017.tif",16.292262855329,"2000","10","17"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000118.tif",17.2197729662845,"2000","01","18"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020417.tif",5.54357842813458,"2002","04","17"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010718.tif",7.64307472998636,"2001","07","18"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001018.tif",18.4471348712319,"2000","10","18"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000119.tif",12.624392191569,"2000","01","19"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020418.tif",7.92731446550603,"2002","04","18"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010719.tif",5.2138136374323,"2001","07","19"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001019.tif",12.7130860613103,"2000","10","19"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000120.tif",12.5608254733839,"2000","01","20"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020419.tif",3.56121010529368,"2002","04","19"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010720.tif",7.49901137435645,"2001","07","20"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001020.tif",9.6187456197906,"2000","10","20"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000121.tif",19.5055455492254,"2000","01","21"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020420.tif",4.02827483311034,"2002","04","20"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010721.tif",10.5501646158988,"2001","07","21"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001021.tif",8.2352940659774,"2000","10","21"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000122.tif",21.9848289489746,"2000","01","22"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020421.tif",3.89957246236634,"2002","04","21"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010722.tif",8.63569049249616,"2001","07","22"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20001022.tif",18.4521076804713,"2000","10","22"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20000123.tif",10.3240335029468,"2000","01","23"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20020422.tif",6.70007503660102,"2002","04","22"
1,"Minneapolis-St. Paul, MN",-93.2009998,44.9374831,"twin cities, mn, usa",NA,"20010723.tif",3.65995535515902,"2001","07","23"
