"month","year","pm25","add","date"
"01","2002",9.84192313289725,"Charleston-North Charleston, SC",2002-01-01
"02","2002",11.1963083150846,"Myrtle Beach-Socastee, SC-NC",2002-02-01
"02","2002",9.90396099404143,"College Station-Bryan, TX",2002-02-01
"02","2002",12.2278898708624,"Charleston-North Charleston, SC",2002-02-01
"03","2002",8.86777213835235,"Myrtle Beach-Socastee, SC-NC",2002-03-01
"03","2002",11.1699262204685,"College Station-Bryan, TX",2002-03-01
"03","2002",9.50750042581437,"Charleston-North Charleston, SC",2002-03-01
"04","2002",8.71732107797611,"Myrtle Beach-Socastee, SC-NC",2002-04-01
"04","2002",12.76060273559,"College Station-Bryan, TX",2002-04-01
"04","2002",8.55478083937753,"Charleston-North Charleston, SC",2002-04-01
"05","2002",9.26874603121749,"Myrtle Beach-Socastee, SC-NC",2002-05-01
"05","2002",12.7591030368912,"College Station-Bryan, TX",2002-05-01
"05","2002",8.75632916968537,"Charleston-North Charleston, SC",2002-05-01
"06","2002",9.71419508529343,"Myrtle Beach-Socastee, SC-NC",2002-06-01
"06","2002",11.5825271343554,"College Station-Bryan, TX",2002-06-01
"06","2002",9.33952210707303,"Charleston-North Charleston, SC",2002-06-01
"07","2002",16.432770116334,"Myrtle Beach-Socastee, SC-NC",2002-07-01
"07","2002",13.2622157253611,"College Station-Bryan, TX",2002-07-01
"07","2002",13.7178195548862,"Charleston-North Charleston, SC",2002-07-01
"08","2002",9.00796221284489,"Myrtle Beach-Socastee, SC-NC",2002-08-01
"08","2002",13.5260271848805,"College Station-Bryan, TX",2002-08-01
"08","2002",7.05906006116081,"Charleston-North Charleston, SC",2002-08-01
"09","2002",10.0677758784785,"Myrtle Beach-Socastee, SC-NC",2002-09-01
"09","2002",16.4443281842287,"College Station-Bryan, TX",2002-09-01
"09","2002",9.03837542356567,"Charleston-North Charleston, SC",2002-09-01
"10","2002",10.3443808646667,"Myrtle Beach-Socastee, SC-NC",2002-10-01
"10","2002",8.48415977289539,"College Station-Bryan, TX",2002-10-01
"10","2002",10.6293370204164,"Charleston-North Charleston, SC",2002-10-01
"11","2002",9.65137975527202,"Myrtle Beach-Socastee, SC-NC",2002-11-01
"11","2002",8.45026118364283,"College Station-Bryan, TX",2002-11-01
"11","2002",10.49054840057,"Charleston-North Charleston, SC",2002-11-01
"12","2002",9.71140747698738,"Myrtle Beach-Socastee, SC-NC",2002-12-01
"12","2002",8.93986837218128,"College Station-Bryan, TX",2002-12-01
"12","2002",10.0627727426182,"Charleston-North Charleston, SC",2002-12-01
