"date","pm25"
"20031101.tif",21.1914682717159
"20031102.tif",22.1084197753756
"20031103.tif",19.6482875241435
"20031104.tif",17.3127410165195
"20031105.tif",10.1857222993973
"20031106.tif",8.32891475273471
"20031107.tif",8.79703241733495
"20031108.tif",10.0029323418152
"20031109.tif",8.99758508757417
"20031110.tif",12.1558540278468
"20031111.tif",13.7017720086234
"20031112.tif",12.0236021380119
"20031113.tif",5.19427207185717
"20031114.tif",9.20124824411176
"20031115.tif",18.7451801206091
"20031116.tif",19.3788372941792
"20031117.tif",17.5332126946285
"20031118.tif",14.0572789478772
"20031119.tif",5.65845915836654
"20031120.tif",7.33315476055803
"20031121.tif",13.8126279802745
"20031122.tif",16.2923329686884
"20031123.tif",23.7601417015339
"20031124.tif",10.2409426731429
"20031125.tif",8.98726707139039
"20031126.tif",19.1304547540073
"20031127.tif",22.7086114648528
"20031128.tif",7.43860702561627
"20031129.tif",6.99492081280412
"20031130.tif",8.22372589909972
