"date","pm25"
"20080301.tif",9.2116836914288
"20080302.tif",6.04763651363955
"20080303.tif",11.8263968434827
"20080304.tif",7.01972570325353
"20080305.tif",4.71876287107984
"20080306.tif",9.25373541075608
"20080307.tif",11.024617505191
"20080308.tif",4.92794048140202
"20080309.tif",8.55286977796132
"20080310.tif",11.0365166499697
"20080311.tif",12.6882848504729
"20080312.tif",9.83327042058184
"20080313.tif",14.6268821255914
"20080314.tif",21.0410007326474
"20080315.tif",16.2614023133452
"20080316.tif",8.41962951979614
"20080317.tif",9.39750965945239
"20080318.tif",10.5619897137722
"20080319.tif",8.87331511116967
"20080320.tif",4.79884565287623
"20080321.tif",8.5770901858513
"20080322.tif",13.2679028252663
"20080323.tif",12.278916979071
"20080324.tif",10.3069772015651
"20080325.tif",12.8657864020963
"20080326.tif",20.0489957085971
"20080327.tif",23.5801246718233
"20080328.tif",18.2239089176573
"20080329.tif",11.114442068955
"20080330.tif",6.99088870598178
"20080331.tif",3.8776557210631
