"date","pm25"
"20021201.tif",10.8835905807946
"20021202.tif",14.748159521319
"20021203.tif",13.8021189074211
"20021204.tif",7.50125911083127
"20021205.tif",11.9304230788658
"20021206.tif",20.0803239568701
"20021207.tif",40.9212471534466
"20021208.tif",48.0138762149905
"20021209.tif",20.5994207166099
"20021210.tif",16.7558256863373
"20021211.tif",11.5287185349488
"20021212.tif",17.707799911499
"20021213.tif",10.2190602213291
"20021214.tif",5.57934826583111
"20021215.tif",15.3838712711052
"20021216.tif",12.5710634832899
"20021217.tif",10.3118909168713
"20021218.tif",13.246540703797
"20021219.tif",20.3612987725018
"20021220.tif",6.93834917181231
"20021221.tif",4.24148451870885
"20021222.tif",7.118213578398
"20021223.tif",11.0619951774334
"20021224.tif",11.2230758056265
"20021225.tif",4.02324308550417
"20021226.tif",11.44600427092
"20021227.tif",26.3383188482576
"20021228.tif",14.0165696966237
"20021229.tif",10.2786821778772
"20021230.tif",17.9355142104802
"20021231.tif",20.6456860979202
