"date","pm25"
"20110501.tif",1.93019828950758
"20110502.tif",2.94131029681336
"20110503.tif",5.23371758906961
"20110504.tif",6.70237838964668
"20110505.tif",7.24786552936911
"20110506.tif",6.29747416818742
"20110507.tif",7.51365373803557
"20110508.tif",8.66982339612014
"20110509.tif",10.4234572348835
"20110510.tif",17.875474833756
"20110511.tif",34.5368380100607
"20110512.tif",10.7461765069756
"20110513.tif",2.33150668967542
"20110514.tif",2.98155144307253
"20110515.tif",2.84820811525523
"20110516.tif",4.52086206477323
"20110517.tif",5.59763088500757
"20110518.tif",6.00982096212373
"20110519.tif",8.76180552407134
"20110520.tif",11.2688965351462
"20110521.tif",9.24842237568588
"20110522.tif",4.95254496190188
"20110523.tif",5.16269736324283
"20110524.tif",3.62646375800208
"20110525.tif",3.67016201739689
"20110526.tif",3.66243334125272
"20110527.tif",5.64235202871638
"20110528.tif",7.53035333345262
"20110529.tif",6.76816682335284
"20110530.tif",11.0622165460381
"20110531.tif",5.56328001639826
