"date","pm25"
"20090701.tif",5.90454113912239
"20090702.tif",7.54229319524422
"20090703.tif",7.70464366803066
"20090704.tif",9.60063870519185
"20090705.tif",10.3654229486589
"20090706.tif",9.19336294956345
"20090707.tif",7.45351864794175
"20090708.tif",7.98343080410854
"20090709.tif",9.27568614740166
"20090710.tif",10.7797203407013
"20090711.tif",7.62682994321096
"20090712.tif",6.35591845203647
"20090713.tif",7.09540521841255
"20090714.tif",10.8681901684768
"20090715.tif",4.73520110322417
"20090716.tif",6.07476970274671
"20090717.tif",5.03622440296969
"20090718.tif",4.4331275610615
"20090719.tif",5.92887983733802
"20090720.tif",8.76960354743244
"20090721.tif",6.90781236895554
"20090722.tif",11.2653279338809
"20090723.tif",10.5541198991185
"20090724.tif",8.04398060531067
"20090725.tif",6.35855134442556
"20090726.tif",6.73342521242101
"20090727.tif",8.71659658967162
"20090728.tif",7.91084404815015
"20090729.tif",7.67254106603938
"20090730.tif",6.23140442800179
"20090731.tif",7.21999087779642
