"date","pm25"
"20140301.tif",6.48181140680107
"20140302.tif",5.8997256721524
"20140303.tif",12.9510961573759
"20140304.tif",15.0382582506688
"20140305.tif",11.9834029863207
"20140306.tif",22.9280297395994
"20140307.tif",32.2385981305898
"20140308.tif",5.75688827466622
"20140309.tif",8.7278620459193
"20140310.tif",5.47858442677011
"20140311.tif",5.45111140587347
"20140312.tif",5.49532730030499
"20140313.tif",7.88942454187132
"20140314.tif",3.92112187258631
"20140315.tif",4.3423496587671
"20140316.tif",3.07811246973148
"20140317.tif",8.15333789715664
"20140318.tif",17.3031317072807
"20140319.tif",9.38327571127912
"20140320.tif",9.81212559020777
"20140321.tif",6.84495585256343
"20140322.tif",4.46537744827408
"20140323.tif",7.09655698940908
"20140324.tif",12.6678870221694
"20140325.tif",4.99162319838572
"20140326.tif",10.0256653483823
"20140327.tif",9.38579839596645
"20140328.tif",7.91597149183424
"20140329.tif",9.35918036810786
"20140330.tif",26.3058423241265
"20140331.tif",13.3471400514781
