"","Swnet_tavg","Lwnet_tavg","Qle_tavg","Qh_tavg","Qg_tavg","Snowf_tavg","Rainf_tavg","Evap_tavg","Qs_tavg","Qsb_tavg","Qsm_tavg","SnowT_tavg","AvgSurfT_tavg","SWE_tavg","SnowDepth_tavg","SoilMoist_S_tavg","SoilMoist_RZ_tavg","SoilMoist_P_tavg","ECanop_tavg","TVeg_tavg","ESoil_tavg","CanopInt_tavg","EvapSnow_tavg","ACond_tavg","TWS_tavg","GWS_tavg","Wind_f_tavg","Rainf_f_tavg","Tair_f_tavg","Qair_f_tavg","Psurf_f_tavg","SWdown_f_tavg","LWdown_f_tavg","date"
"1",41.3609161376953,-36.0700607299805,14.2961692810059,10.7179870605469,-21.2903175354004,0,0,6.37510538581409e-06,1.24553672931071e-10,2.27948682152146e-08,3.24862781120316e-09,270.306396484375,270.306396484375,3.17642593383789,0.173324316740036,7.16045188903809,355.959106445312,1717.10498046875,1.61574817525434e-07,-5.38959847617201e-14,5.63456160307396e-06,0.00686234142631292,5.78968695208459e-07,0.0126538835465908,1720.28857421875,1361.14624023438,4.07621622085571,0,269.971527099609,0.00239731883630157,97656.90625,49.0051231384277,253.733047485352,"20000101.020.nc4"
"2",47.9988670349121,-42.7208251953125,9.34678363800049,6.84041547775269,-11.7238836288452,0,0,4.07653078582371e-06,1.27692112439348e-09,2.27900542881798e-08,4.96521685988682e-08,268.564575195312,268.564575195312,3.13622498512268,0.173323929309845,7.15480136871338,355.547973632812,1716.67736816406,2.64331916355331e-08,-1.16213191413833e-14,3.76305979443714e-06,0.00178949371911585,2.87037806856461e-07,0.0106094069778919,1719.81591796875,1361.1298828125,3.6609525680542,0,268.548614501953,0.00229105958715081,97694.1328125,56.8318634033203,239.826965332031,"20000102.020.nc4"
"3",48.5972518920898,-48.2293930053711,11.6071577072144,55.0023040771484,-67.0591812133789,0,0,5.04391300637508e-06,0,2.27525394080885e-08,0,258.554809570312,258.554809570312,3.10504674911499,0.173323795199394,7.15074729919434,355.281341552734,1716.28540039062,1.96491818371669e-08,-8.62335783292575e-14,4.68627285954426e-06,0.00165086111519486,3.37990030629953e-07,0.0153845949098468,1719.39208984375,1361.00390625,4.20004987716675,0,256.032623291016,0.000757102156057954,98847.546875,57.5081634521484,193.450012207031,"20000103.020.nc4"
"4",50.9474029541016,-33.5084037780762,5.72306966781616,2.0726261138916,8.67714881896973,0,0,2.63895526586566e-06,0,2.27146976783388e-08,0,266.488708496094,266.488708496094,3.07469964027405,0.173323661088943,7.14909696578979,355.154418945312,1716.03088378906,-1.82775501400556e-08,1.85154613863148e-10,2.33841251429112e-06,0.00474212225526571,3.18634818086139e-07,0.0104289101436734,1719.11120605469,1360.87731933594,4.14259672164917,0,266.897644042969,0.0021194820292294,97713.3828125,60.2643699645996,240.686462402344,"20000104.020.nc4"
"5",49.0811653137207,-26.9137306213379,8.59001064300537,7.56218147277832,4.00161266326904,0,0,3.86115971195977e-06,2.82202591961322e-07,2.26704113259757e-08,2.41927773458883e-06,269.070098876953,269.070098876953,3.00368046760559,0.173323586583138,7.15054845809937,355.066925048828,1715.79455566406,9.13459317075649e-08,-5.72644755507563e-15,3.391326572455e-06,0.00367741752415895,3.78487783336823e-07,0.00943616405129433,1718.80200195312,1360.72778320312,3.51799654960632,0,269.174621582031,0.00246247509494424,97819.359375,57.9349517822266,258.098480224609,"20000105.020.nc4"
"6",49.4704742431641,-36.3198165893555,14.6838121414185,20.7508869171143,-24.1653671264648,3.20752678817371e-06,0,6.65157995172194e-06,0,2.26062724095755e-08,0,268.282562255859,268.282562255859,2.86433696746826,0.173323005437851,7.14665126800537,355.032165527344,1715.54321289062,7.63421752481008e-08,-1.61687950897028e-14,5.87695694775903e-06,0.00332089141011238,6.98280871347379e-07,0.0157836750149727,1718.4111328125,1360.51123046875,5.05198287963867,3.20752678817371e-06,267.399047851562,0.00202044565230608,97956.1953125,58.3321380615234,244.425399780273,"20000106.020.nc4"
"7",51.0132904052734,-36.145320892334,11.0543727874756,33.8083457946777,-31.1464157104492,0,0,4.89092963107396e-06,0,2.25213536708679e-08,0,262.756713867188,262.756713867188,3.02053475379944,0.173322737216949,7.14363288879395,354.833618164062,1715.05676269531,4.96086505208382e-09,-5.38959441041386e-15,4.47684578830376e-06,0.000859918014612049,4.09123884992368e-07,0.0132877388969064,1718.07861328125,1360.2236328125,3.85266590118408,0,260.875885009766,0.00125290406867862,98239.03125,60.2957153320312,222.211730957031,"20000107.020.nc4"
"8",43.9668731689453,-7.70757627487183,5.53052425384521,-6.63013410568237,31.2918128967285,2.54099795711227e-05,7.36038637114689e-05,2.52843460657459e-06,1.07389341792441e-05,2.25503296036322e-08,1.71547878125011e-08,272.408416748047,272.408416748047,4.1426215171814,0.173322021961212,7.28371858596802,357.279907226562,1717.60241699219,6.9601043151124e-08,-1.21265963172771e-14,2.17265483115625e-06,0.0157826319336891,2.8617907332773e-07,0.00852307118475437,1721.76147460938,1360.3232421875,3.9395899772644,9.9013872386422e-05,273.618225097656,0.00354033918119967,96874.71875,53.0460662841797,292.901000976562,"20000108.020.nc4"
"9",51.7868995666504,-49.4106636047363,11.1541166305542,12.2820930480957,-22.5768356323242,0,0,4.79062191516277e-06,2.4300285872414e-07,2.30389378685913e-08,2.02061232812412e-06,268.816131591797,268.816131591797,4.06893348693848,0.173321738839149,7.20743989944458,359.014312744141,1720.97021484375,1.93985940200037e-07,5.43109113237961e-09,4.32282740803203e-06,0.00749353971332312,2.68378386181212e-07,0.00983045622706413,1725.04675292969,1361.9560546875,3.39422869682312,0,268.466613769531,0.0023395549505949,97054.7890625,62.5842361450195,234.136444091797,"20000109.020.nc4"
"10",47.6979217529297,-43.7118988037109,11.1538381576538,31.3118381500244,-39.1769561767578,0,0,4.81259985463112e-06,0,2.33546639805127e-08,0,264.246673583984,264.246673583984,3.90319609642029,0.173321470618248,7.18786430358887,357.746368408203,1720.73193359375,7.59549365625389e-08,4.02169764157634e-09,4.44215584138874e-06,0.00380420358851552,2.90467653485393e-07,0.0110565694049001,1724.638671875,1362.9853515625,3.24754285812378,0,262.405731201172,0.00143028376623988,98441.4609375,57.4699249267578,220.33805847168,"20000110.020.nc4"
