"Swnet_tavg","Lwnet_tavg","Qle_tavg","Qh_tavg","Qg_tavg","Snowf_tavg","Rainf_tavg","Evap_tavg","Qs_tavg","Qsb_tavg","Qsm_tavg","SnowT_tavg","AvgSurfT_tavg","SWE_tavg","SnowDepth_tavg","SoilMoist_S_tavg","SoilMoist_RZ_tavg","SoilMoist_P_tavg","ECanop_tavg","TVeg_tavg","ESoil_tavg","CanopInt_tavg","EvapSnow_tavg","ACond_tavg","TWS_tavg","GWS_tavg","Wind_f_tavg","Rainf_f_tavg","Tair_f_tavg","Qair_f_tavg","Psurf_f_tavg","SWdown_f_tavg","LWdown_f_tavg","date"
95.4565734863281,-71.3197860717773,17.2679824829102,3.22547507286072,3.63047695159912,0,0,7.00100463291164e-06,0,0,0,283.163909912109,283.163909912109,0,0,2.96676921844482,161.104278564453,595.520751953125,-4.29452384764772e-09,6.82239598148726e-10,7.00461851010914e-06,0.00233294884674251,0,0.0111482050269842,595.523010253906,434.416412353516,3.31413626670837,0,284.242614746094,0.00217571062967181,94167.8046875,116.776397705078,282.54248046875,"20041226.020.nc4"
59.8087921142578,-32.1238670349121,17.7073974609375,3.51607060432434,6.45689630508423,0,0,7.17916145731579e-06,0,0,0,286.964019775391,286.964019775391,0,0,2.84753608703613,160.478424072266,594.851379394531,2.31056218602532e-09,3.30835081552294e-10,7.17652028470184e-06,0.000336928380420431,0,0.0115892691537738,594.851623535156,434.372863769531,3.68267941474915,0,288.015045166016,0.00289706862531602,94019.21875,73.1676635742188,340.025634765625,"20041227.020.nc4"
91.036750793457,-61.5863990783691,8.17179393768311,27.7624816894531,-6.47842836380005,0,3.92310710140009e-07,3.31311321133398e-06,5.90621551666004e-10,0,0,285.421508789062,285.421508789062,0,0,2.92747950553894,160.113052368164,594.406005859375,3.11384866336084e-07,1.06515907205562e-08,2.99107659884612e-06,0.00542223546653986,0,0.0147890103980899,594.411376953125,434.292907714844,3.27702045440674,3.92310710140009e-07,284.626586914062,0.00566835980862379,94421.171875,111.361175537109,302.808197021484,"20041228.020.nc4"
98.7919006347656,-77.1949691772461,5.17431926727295,25.1856575012207,-8.75903415679932,0,0,2.09783934224106e-06,0,0,0,284.551635742188,284.551635742188,0,0,3.03150510787964,160.015335083008,594.207214355469,4.34476676858253e-09,3.29625891026808e-08,2.06053186957433e-06,0.000581150001380593,0,0.016070868819952,594.207824707031,434.191925048828,3.78114056587219,0,283.89306640625,0.0061971265822649,94535.171875,120.846397399902,282.740570068359,"20041229.020.nc4"
98.3686676025391,-81.0063018798828,10.4887990951538,9.41051197052002,-2.5405912399292,0,0,4.25250391344889e-06,0,0,0,285.255737304688,285.255737304688,0,0,2.97381520271301,159.816879272461,593.900573730469,1.87318693889438e-09,1.12853093536813e-09,4.24950258093304e-06,0.000300130195682868,0,0.0186729766428471,593.900695800781,434.08349609375,4.87856912612915,0,285.397644042969,0.00485761649906635,94646.25,120.326889038086,282.524475097656,"20041230.020.nc4"
75.3147811889648,-41.6419296264648,2.62796497344971,31.5087413787842,-0.46518537402153,0,0,1.0654631523721e-06,0,0,0,286.355377197266,286.355377197266,0,0,3.02802562713623,159.712463378906,593.678466796875,-8.49184333961972e-10,2.26183303198013e-08,1.04369394193782e-06,0.000258207641309127,0,0.0135109722614288,593.678527832031,433.9658203125,3.03872752189636,0,285.343170166016,0.0081900991499424,94170.9140625,92.1232376098633,327.381134033203,"20041231.020.nc4"
69.8802719116211,-32.2665596008301,15.1149530410767,15.8382682800293,6.6576452255249,0,2.6240873921779e-05,6.12809708400164e-06,2.97781724611923e-07,0,0,288.478790283203,288.478790283203,0,0,3.38608598709106,160.57160949707,594.421752929688,2.40879984403364e-07,5.17510589936876e-10,5.88669900025707e-06,0.00370668992400169,0,0.011207265779376,594.425537109375,433.850250244141,2.54228401184082,2.62408757407684e-05,288.086303710938,0.00712289242073894,94074.15625,85.3040466308594,347.754211425781,"20050101.020.nc4"
88.8088607788086,-80.2430114746094,6.48647356033325,32.100528717041,-30.0078964233398,0,0,2.62982962340175e-06,0,0,0,281.62060546875,281.62060546875,0,0,3.1649694442749,161.412826538086,595.2353515625,5.96079852144271e-09,8.00693200631031e-09,2.61586183114559e-06,0.000717968912795186,0,0.0164942648261786,595.236083984375,433.822509765625,3.56666302680969,0,280.6240234375,0.00465591438114643,94497.3671875,108.413444519043,265.044799804688,"20050102.020.nc4"
80.5099182128906,-46.1364822387695,4.5827693939209,24.9551773071289,4.82649803161621,0,0,1.85800490726251e-06,0,0,0,285.91015625,285.91015625,0,0,3.11351990699768,161.226318359375,595.043273925781,1.80865689092258e-09,1.98056149258719e-08,1.83639065198804e-06,0.000398368923924863,0,0.0146555565297604,595.043518066406,433.816802978516,3.72015976905823,0,285.455047607422,0.00712843658402562,94215.9765625,98.2806091308594,320.570831298828,"20050103.020.nc4"
89.1354141235352,-64.9020309448242,5.96448755264282,22.4208641052246,-4.15125894546509,0,0,2.41819907387253e-06,0,0,0,285.396514892578,285.396514892578,0,0,3.09774398803711,161.060302734375,594.858154296875,6.32978558456898e-10,9.63549862120772e-09,2.40793087868951e-06,0.000269938143901527,0,0.0139129422605038,594.8583984375,433.797821044922,3.12078928947449,0,284.711975097656,0.00658917985856533,94042.453125,108.800704956055,299.481140136719,"20050104.020.nc4"
