"PUMA.ID","NAME","Mode to work= All","MOE (BO8301_001)","Mode to work= Car","MOE (B08301_002)","Mode to work= Public Transport (ALL)","MOE (B08301_010)","Mode to work= Bus","MOE (B08301_011)","Mode to work= Subway/Elevated Rail","MOE (B08301_012)","Mode to work= Commuter Rail","MOE (B08301_013)","Mode to work= Light Rail","MOE (B08301_014)","Mode to work= Ferry","MOE (B08301_015)","Mode to work= Taxicab","MOE (B08301_016)","Mode to work= Motorcycle","MOE (B08301_017)","Mode to work= Bicycle","MOE (B08301_018)","Mode to work= Walk","MOE (B08301_019)","Mode to work= Other","MOE (B08301_020)","Race= All","MOE (B02001_001)","Race= White","MOE (B02001_002)","Race= Black","MOE (B02001_003)","Race= American Indian/Alaskan Native","MOE (B02001_004)","Race= Asian","MOE (B02001_005)","Race= Hawiian/Pacific Islander","MOE (B02001_006)","Race= Other","MOE (B02001_007)","Race= Two Or More","MOE (B02001_008)","Median Age","MOE (B01002_001)","Median Household Income","MOE (B19013_001)","YEAR","STATE","LIGHT_RAIL_EXISTS"
"3702400","Jackson (South), Macon, Cherokee & Clay Counties PUMA; North Carolina",40077,1059,36744,1028,166,95,150,92,16,19,0,29,0,29,0,29,0,29,85,56,13,20,1202,234,430,175,105660,587,98311,785,1936,506,1256,279,615,133,14,19,1883,641,1645,269,45.3,0.4,36941,1418,2014,"NC",TRUE
"3701600","Alamance County--Burlington City PUMA, North Carolina",68352,1048,63887,1261,190,112,182,109,0,29,8,29,0,29,0,29,44,45,137,110,7,14,822,254,675,193,153522,152,108146,1112,27645,532,512,175,2013,258,189,238,10320,1159,4697,737,39.1,0.3,42557,1243,2014,"NC",TRUE
"3702000","Caldwell & Alexander Counties PUMA, North Carolina",48315,1095,45799,1073,28,30,20,27,8,13,0,29,0,29,0,29,0,29,77,68,30,46,392,168,463,194,119315,NA,106938,606,6388,309,535,309,508,96,84,68,3099,679,1763,356,41.8,0.3,36569,1284,2014,"NC",TRUE
"3705002","Cumberland County (East)--Hope Mills & Spring Lake Towns PUMA, North Carolina",48626,1228,42580,1232,276,139,276,139,0,29,0,29,0,29,0,29,9,15,180,98,134,112,3147,427,292,145,110125,1396,66943,1444,29281,1035,1925,316,2195,367,485,236,2795,617,6501,913,28.9,0.4,45116,1464,2014,"NC",TRUE
"3701100","Johnston County PUMA, North Carolina",77425,1359,72256,1383,132,62,104,54,0,29,18,25,10,11,0,29,47,52,76,76,33,39,503,169,1070,462,175343,NA,137721,1316,26422,704,788,218,1145,166,18,27,5353,1199,3896,930,37.1,0.2,49799,1379,2014,"NC",TRUE
"3704900","Columbus, Bladen & Robeson (East) Counties PUMA; North Carolina",38231,1229,36601,1224,89,66,66,55,0,29,23,29,0,29,0,29,16,26,9,12,44,41,593,242,184,116,105766,846,62464,763,32209,624,5437,502,409,155,12,14,3549,670,1686,487,40.8,0.5,32665,1220,2014,"NC",TRUE
"3701000","Wilson & Greene Counties--Wilson City PUMA, North Carolina",41372,995,38264,1006,98,67,93,64,5,8,0,29,0,29,0,29,36,35,94,57,78,53,668,218,1123,312,102852,NA,52817,627,39127,440,465,165,770,125,45,69,7384,691,2244,539,39.4,0.3,39347,1239,2014,"NC",TRUE
"3700600","Halifax, Hertford, Northampton & Warren (East) Counties PUMA; North Carolina",36342,847,34335,811,98,66,91,65,0,29,0,29,7,10,0,29,47,55,1,2,76,55,773,173,324,150,105737,467,41903,361,56010,642,2904,281,661,53,21,22,870,301,3368,699,43.4,0.3,32858,932,2014,"NC",TRUE
"3704300","Craven County PUMA, North Carolina",45070,922,41277,1007,122,78,96,71,10,19,16,25,0,29,0,29,365,220,187,119,89,56,1221,285,396,151,104574,NA,73726,683,22425,576,427,135,2187,383,95,84,2332,652,3382,679,35.8,0.2,47295,1741,2014,"NC",TRUE
"3700700","Northeast Albemarle Sound Region PUMA, North Carolina",48816,1099,45418,1102,182,99,148,86,0,29,0,29,0,29,34,44,251,141,148,97,170,81,727,180,453,123,114659,NA,80264,276,30156,414,321,188,1152,238,120,90,627,243,2019,353,41.3,0.3,48880,1404,2014,"NC",TRUE
"3702300","Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA; North Carolina",43647,1026,40587,1043,112,97,58,59,0,29,0,29,0,29,54,74,63,81,65,43,47,36,740,234,181,99,109326,587,96408,704,1424,468,7794,593,588,157,72,63,733,236,2307,501,44.7,0.3,39496,1313,2014,"NC",TRUE
"3703800","Harnett County PUMA, North Carolina",48776,978,46250,953,93,54,86,51,0,29,7,13,0,29,0,29,2,3,170,74,59,46,481,140,307,74,121789,NA,83794,818,25581,699,1138,198,1509,209,40,55,4910,839,4817,876,33.4,0.2,44417,1637,2014,"NC",TRUE
"3700200","Wilkesboro High Country--Surry, Wilkes & Alleghany Counties PUMA; North Carolina",59478,1217,56773,1246,235,87,226,87,0,29,9,14,0,29,0,29,0,29,23,24,30,32,503,165,299,108,153458,NA,140658,636,5875,351,660,209,659,132,52,61,3230,595,2324,453,43,0.3,34146,891,2014,"NC",TRUE
"3704400","Carteret, Beaufort & Pamlico Counties PUMA; North Carolina",53395,1050,49343,1095,204,109,131,96,19,25,0,29,0,29,54,42,143,93,91,47,169,71,900,184,588,194,128500,NA,103266,657,19037,407,571,159,803,146,165,143,2276,735,2382,448,45.9,0.3,44093,1132,2014,"NC",TRUE
"3702800","Catawba County--Hickory City PUMA, North Carolina",68924,1101,65131,1071,109,66,104,65,0,29,5,10,0,29,0,29,16,25,253,125,70,89,553,183,409,157,154457,NA,126247,912,13244,346,500,154,5541,257,48,68,5885,924,2992,508,40.5,0.3,45397,1183,2014,"NC",TRUE
"3700900","Nash & Edgecombe Counties--Rocky Mount City PUMA, North Carolina",60535,1201,56771,1321,337,229,324,226,0,29,13,20,0,29,0,29,116,79,120,89,38,40,959,252,502,157,150953,NA,74050,572,67683,527,774,149,813,155,59,87,4590,676,2984,577,40.3,0.4,39763,1158,2014,"NC",TRUE
"3703900","Sampson & Duplin Counties PUMA, North Carolina",49912,1297,47233,1238,167,164,127,158,16,24,24,34,0,29,0,29,3,5,24,27,32,33,804,237,350,139,123297,NA,72351,1039,31718,440,1152,123,296,91,13,18,15156,1125,2611,533,38.5,0.3,35226,1120,2014,"NC",TRUE
