"Selected Geographies","Total","Not in universe - missing","Car/truck/van","Bus or trolley bus","Streetcar or trolley car","Subway or elevated","Railroad","Ferry boat","Taxicab","Motorcycle","Bicycle","Walked","Worked At Home","Other"
" -> Total","13942073","7585964","5832969","79197","666","602","105","809","4101","16622","27649","106888","225276","61225"
"PUMA 00101, Arizona","128851","96499","28357","0","0","0","0","0","0","60","0","355","3063","517"
"PUMA 00102, Arizona","137492","75480","57566","165","0","0","0","0","0","162","89","757","2986","287"
"PUMA 00103, Arizona","204454","97558","95689","3148","0","0","0","0","0","636","539","1461","4561","862"
"PUMA 00104, Arizona","186659","81591","94028","3398","0","0","0","0","0","147","443","1545","4987","520"
"PUMA 00105, Arizona","167339","88058","70101","667","0","0","0","0","99","0","0","618","6964","832"
"PUMA 00106, Arizona","94434","50573","39058","664","0","0","0","0","0","67","596","883","2593","0"
"PUMA 00107, Arizona","148232","73978","67769","1125","0","0","0","0","0","309","408","206","3704","733"
"PUMA 00108, Arizona","112260","56836","50785","1184","0","0","0","0","0","361","0","636","2394","64"
"PUMA 00109, Arizona","157650","86022","65040","948","0","0","0","0","0","0","272","1009","1755","2604"
"PUMA 00110, Arizona","227739","127788","91430","328","0","0","0","0","0","492","1038","2079","3102","1482"
"PUMA 00111, Arizona","194300","111808","77003","1219","0","0","0","80","0","171","45","843","1632","1499"
"PUMA 00112, Arizona","158323","81593","67456","4481","0","0","0","0","86","75","784","1397","1803","648"
"PUMA 00113, Arizona","102037","47694","46235","2707","0","0","0","0","452","68","1016","2275","1361","229"
"PUMA 00114, Arizona","208284","121333","77416","860","0","0","0","0","0","891","424","1174","5228","958"
"PUMA 00115, Arizona","146921","77312","60453","1950","0","0","0","0","60","0","905","2518","2529","1194"
"PUMA 00116, Arizona","173347","77423","81872","4549","0","0","0","0","0","1021","2487","2128","3179","688"
"PUMA 00117, Arizona","134963","79295","48952","2748","0","0","0","0","0","0","941","765","1821","441"
"PUMA 00118, Arizona","160763","95969","60296","2111","0","0","0","0","0","0","157","857","492","881"
"PUMA 00119, Arizona","134860","64990","60685","1834","0","0","0","0","65","354","228","920","4175","1609"
"PUMA 00120, Arizona","239516","120551","109883","1269","0","65","0","69","0","378","508","1291","4218","1284"
"PUMA 00121, Arizona","223045","114972","99246","205","0","0","0","0","0","472","129","775","5845","1401"
"PUMA 00122, Arizona","133957","79966","50436","334","0","0","0","0","0","346","152","365","2259","99"
"PUMA 00201, Arizona","126135","72396","46015","1569","0","0","0","0","0","30","2592","2140","1311","82"
"PUMA 00202, Arizona","106841","58915","43059","584","48","0","0","0","0","181","671","1991","1197","195"
"PUMA 00203, Arizona","108330","57596","46110","265","0","0","0","0","0","0","74","713","2998","574"
"PUMA 00204, Arizona","147517","78981","54933","4617","0","0","0","0","0","252","1577","2778","3515","864"
"PUMA 00205, Arizona","118860","65130","49744","249","0","0","0","0","0","211","0","388","2310","828"
"PUMA 00206, Arizona","113233","58486","50700","692","0","0","0","0","0","0","347","917","1658","433"
"PUMA 00207, Arizona","180657","103523","70966","324","169","0","0","0","77","466","166","1633","2792","541"
"PUMA 00300, Arizona","173232","120709","47742","899","0","0","0","0","78","92","134","2750","549","279"
"PUMA 00400, Arizona","119811","62221","47295","606","0","0","0","0","257","491","2231","3614","2564","532"
"PUMA 00500, Arizona","189109","109424","70038","143","0","0","0","0","0","97","340","2910","5406","751"
"PUMA 00600, Arizona","202598","129034","69186","306","0","0","0","0","0","368","72","1364","1695","573"
"PUMA 00700, Arizona","177768","118220","55728","895","0","0","0","0","0","363","199","1218","918","227"
"PUMA 00800, Arizona","266714","162261","96646","147","0","0","75","0","0","1000","395","2810","2788","592"
"PUMA 00900, Arizona","200035","119249","73730","31","0","0","30","0","0","647","60","1652","3958","678"
"PUMA 00100, North Carolina","176494","99050","74230","0","0","0","0","0","0","586","0","635","1993","0"
"PUMA 00201, North Carolina","117506","63344","49665","0","0","0","0","0","0","0","187","1197","3083","30"
"PUMA 00202, North Carolina","111954","53977","52253","219","0","229","0","0","0","0","314","1121","3439","402"
"PUMA 00300, North Carolina","122762","71607","48327","0","0","0","0","0","0","244","0","731","1669","184"
"PUMA 00400, North Carolina","216686","126027","86972","61","0","0","0","0","0","103","0","1340","1537","646"
"PUMA 00500, North Carolina","112128","61434","45700","310","0","0","0","0","0","0","0","2766","1859","59"
"PUMA 00600, North Carolina","146565","82708","60078","0","0","0","0","0","0","45","0","1297","1673","764"
"PUMA 00700, North Carolina","147834","77339","65771","89","0","0","0","0","0","133","0","1348","1601","1553"
"PUMA 00800, North Carolina","200245","109113","86023","0","0","0","0","0","0","169","0","1347","2064","1529"
"PUMA 00901, North Carolina","108010","51856","50647","1652","0","0","0","0","0","89","298","992","1741","735"
"PUMA 00902, North Carolina","103137","55896","43581","2674","66","0","0","0","0","0","0","172","748","0"
"PUMA 00903, North Carolina","112740","56946","47394","2492","0","0","0","0","799","0","0","1414","3281","414"
"PUMA 00904, North Carolina","81954","35930","39221","2807","0","0","0","0","315","0","0","1731","1693","257"
