"PUMA.ID","NAME","Mode to work= All","MOE (BO8301_001)","Mode to work= Car","MOE (B08301_002)","Mode to work= Public Transport (ALL)","MOE (B08301_010)","Mode to work= Bus","MOE (B08301_011)","Mode to work= Subway/Elevated Rail","MOE (B08301_012)","Mode to work= Commuter Rail","MOE (B08301_013)","Mode to work= Light Rail","MOE (B08301_014)","Mode to work= Ferry","MOE (B08301_015)","Mode to work= Taxicab","MOE (B08301_016)","Mode to work= Motorcycle","MOE (B08301_017)","Mode to work= Bicycle","MOE (B08301_018)","Mode to work= Walk","MOE (B08301_019)","Mode to work= Other","MOE (B08301_020)","Race= All","MOE (B02001_001)","Race= White","MOE (B02001_002)","Race= Black","MOE (B02001_003)","Race= American Indian/Alaskan Native","MOE (B02001_004)","Race= Asian","MOE (B02001_005)","Race= Hawiian/Pacific Islander","MOE (B02001_006)","Race= Other","MOE (B02001_007)","Race= Two Or More","MOE (B02001_008)","Median Age","MOE (B01002_001)","Median Household Income","MOE (B19013_001)","YEAR","STATE","LIGHT_RAIL_EXISTS"
"0400130","Maricopa County--El Mirage City & Sun City PUMA, Arizona",28561,949,25351,1004,385,179,333,163,0,30,0,30,52,84,0,30,4,8,290,215,228,113,287,129,549,144,117649,1751,105967,1989,3068,588,1041,436,926,279,115,80,4400,1005,2132,496,64.5,0.5,40213,1087,2014,"AZ",TRUE
"0400201","Pima County (West) PUMA, Arizona",36125,1126,32650,1098,482,199,470,196,0,30,12,22,0,30,0,30,9,17,67,45,65,46,689,182,476,167,101283,2019,70793,2375,1677,613,14223,938,795,263,47,45,10889,1423,2859,645,36.4,0.9,42814,1565,2014,"AZ",TRUE
"0400207","Tucson City (Northwest) PUMA, Arizona",45166,1570,33057,1497,2411,422,2304,424,107,99,0,30,0,30,0,30,26,25,262,121,3341,443,3524,487,962,267,100474,2384,78085,2269,3124,530,3164,630,5430,790,196,143,6489,983,3986,629,28.7,0.7,27953,1061,2014,"AZ",TRUE
"0400805","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA; Arizona",30434,1295,27398,1197,66,88,66,88,0,30,0,30,0,30,0,30,0,30,112,75,162,124,564,157,337,169,118084,2322,89712,2458,5357,656,9279,1269,2137,582,526,159,8523,1396,2550,501,38.4,1,50639,1842,2014,"AZ",TRUE
"0400103","Maricopa County--Mesa City (West) PUMA, Arizona",50007,1337,43273,1226,2181,427,1840,377,169,104,85,103,75,47,12,20,20,23,320,123,663,222,1266,353,418,162,107494,2074,84996,2339,4796,681,3077,796,2684,476,775,299,7568,1244,3598,624,30.3,0.6,37445,1496,2014,"AZ",TRUE
"0400113","Phoenix City (Northeast) PUMA, Arizona",55381,1508,48255,1517,731,186,731,186,0,30,0,30,0,30,0,30,34,26,209,80,163,109,486,164,398,129,104844,1767,92999,1886,2076,495,544,329,5336,815,30,28,1369,421,2490,601,42.5,0.8,71190,1752,2014,"AZ",TRUE
"0400117","Phoenix City (East) PUMA, Arizona",50138,1473,41763,1429,2197,399,2110,395,35,29,36,28,16,27,0,30,127,185,58,40,769,247,1074,291,1274,370,101616,2376,76358,2541,4955,706,2742,826,2587,470,211,171,11549,1624,3214,672,35.7,0.6,43981,1662,2014,"AZ",TRUE
"0400118","Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",43233,1102,33885,1029,3521,500,3078,488,358,154,41,37,44,52,0,30,52,38,125,82,793,220,2227,274,829,252,106897,2389,69734,2108,12231,1484,3324,666,2486,413,415,210,16612,1634,2095,408,31.2,0.6,31509,1058,2014,"AZ",TRUE
"0400104","Maricopa County--Mesa City (South Central) PUMA, Arizona",41719,1329,37210,1317,846,226,812,220,12,19,13,20,9,15,0,30,25,25,362,142,436,139,609,222,643,228,104059,2172,89328,2380,3617,805,1304,557,1988,520,237,120,5118,877,2467,491,40.7,1.1,42021,1359,2014,"AZ",TRUE
"0400122","Phoenix City--Maryvale (East) PUMA, Arizona",34436,1288,29962,1170,2027,342,1954,331,0,30,34,31,39,59,0,30,32,42,37,30,313,137,865,247,511,180,106202,3135,76091,2807,6453,997,2222,796,1996,437,315,235,16587,2743,2538,520,26.2,0.8,26102,929,2014,"AZ",TRUE
"0400116","Phoenix City (Uptown) PUMA, Arizona",46296,1417,37556,1228,3350,631,2725,563,226,112,203,105,196,134,0,30,102,74,82,57,438,123,1397,300,1116,317,103059,2819,74188,2517,8273,1148,4927,1004,3538,816,198,176,8430,1350,3505,569,35.6,0.9,40102,1115,2014,"AZ",TRUE
"0400125","Phoenix City (West) PUMA, Arizona",44134,1652,38493,1462,2300,515,2275,516,16,22,0,30,0,30,9,15,0,30,351,147,372,187,562,224,413,183,106060,2422,81004,2489,5183,1176,2251,659,4713,982,50,55,9069,1690,3790,857,33.9,0.9,42215,1978,2014,"AZ",TRUE
"0400300","Navajo & Apache Counties PUMA, Arizona",49417,1140,42537,1101,546,157,546,157,0,30,0,30,0,30,0,30,8,21,44,46,220,129,2265,284,455,101,179631,NA,69756,724,1023,216,99135,684,856,142,340,213,4031,677,4490,573,34.6,0.2,34720,1181,2014,"AZ",TRUE
"0400209","Tucson City (Southeast) PUMA, Arizona",51687,1270,45048,1312,1656,383,1656,383,0,30,0,30,0,30,0,30,6,9,301,94,1230,247,1111,223,469,194,117993,2223,89343,2246,7424,880,1840,476,3329,559,212,116,11020,1676,4825,806,35.7,1.2,40894,960,2014,"AZ",TRUE
"0400206","Tucson City (Northeast) PUMA, Arizona",47615,1465,39917,1434,2523,521,2502,519,0,30,0,30,0,30,21,34,54,52,227,104,1207,309,1458,340,353,146,103557,2205,84354,2345,5600,797,1414,353,3008,629,392,312,4643,784,4146,714,40.5,1.1,36194,1275,2014,"AZ",TRUE
"0400203","Pima County (North Central)--Oro Valley Town PUMA, Arizona",49789,1266,44595,1199,507,194,507,194,0,30,0,30,0,30,0,30,0,30,162,62,195,103,646,163,616,279,112668,1629,97537,1769,1704,451,850,256,3025,696,81,59,5429,1010,4042,627,43.3,1,62211,1667,2014,"AZ",TRUE
"0400208","Tucson City (South) PUMA, Arizona",38248,1185,32060,1036,1766,282,1748,277,18,20,0,30,0,30,0,30,39,36,109,62,536,182,812,215,1516,334,106681,2227,71333,2286,3783,628,4519,759,637,224,72,67,23525,1649,2812,437,29.7,0.7,29637,1175,2014,"AZ",TRUE
"0400204","Pima County (Northeast) PUMA, Arizona",47542,1094,42000,1070,427,132,427,132,0,30,0,30,0,30,0,30,19,30,197,98,251,109,478,139,553,174,103128,1911,89244,1836,2273,555,930,292,4880,529,91,88,2516,598,3194,524,50.6,0.6,70431,1835,2014,"AZ",TRUE
"0400205","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town PUMA, Arizona",47851,1102,44096,1075,105,58,82,55,7,14,0,30,2,5,14,22,0,30,396,154,127,81,632,244,357,124,126929,1996,107460,2353,5722,858,959,238,2759,892,187,89,5306,820,4536,908,38.9,0.9,64512,1708,2014,"AZ",TRUE
"0400600","Mohave & La Paz Counties--Lake Havasu City PUMA, Arizona",72481,2038,66223,1933,255,106,229,99,0,30,0,30,26,47,0,30,159,91,461,162,191,95,1805,356,786,243,222830,NA,195453,1291,2242,284,6593,391,2508,298,378,107,8224,1065,7432,879,49.1,0.2,38309,1035,2014,"AZ",TRUE
"0400900","Cochise & Santa Cruz Counties--Sierra Vista City PUMA, Arizona",66449,1700,58599,1616,301,114,301,114,0,30,0,30,0,30,0,30,57,53,492,172,251,121,2498,447,699,185,178057,NA,140139,2037,5364,406,1707,285,2682,290,227,153,19972,1860,7966,968,38.5,0.3,44410,1213,2014,"AZ",TRUE
"0400700","Yuma County--Yuma City PUMA, Arizona",71855,1308,65140,1264,719,182,689,188,21,30,0,30,9,14,0,30,199,117,347,125,390,190,2071,410,456,159,201453,NA,154867,2404,4123,335,2569,372,2428,207,335,186,32075,2323,5056,677,33.6,0.2,41380,1127,2014,"AZ",TRUE
