Selected Geographies,Total,Not in universe - missing,Car/truck/van,Bus or trolley bus,Streetcar or trolley car,Subway or elevated,Railroad,Ferry boat,Taxicab,Motorcycle,Bicycle,Walked,Worked At Home,Other
 -> Total,1702926,820893,748072,22240,2790,2889,874,0,4085,1719,8611,19869,61291,9593
"Maricopa County--Mesa City (West) PUMA, Arizona",120088,56194,55987,1994,124,71,0,0,233,426,664,613,2253,1529
"Maricopa County--Mesa City (South Central) PUMA, Arizona",120144,67629,46083,1046,0,0,59,0,294,73,784,896,2724,556
"Maricopa County--Tempe City (North) PUMA, Arizona",120627,50957,53700,2563,348,0,0,0,0,691,5128,3281,3120,839
"Phoenix City (Uptown) PUMA, Arizona",119905,63467,46860,2730,1041,77,177,0,532,83,507,877,2579,975
"Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",127654,64245,53662,2226,275,286,151,0,126,0,933,1480,3211,1059
"Charlotte City (Central) PUMA, North Carolina",126144,52187,58279,2901,111,439,201,0,443,134,232,5520,5401,296
"Charlotte City (Northwest) PUMA, North Carolina",131252,69171,54979,1687,243,0,0,0,0,0,78,306,4205,583
"Charlotte City (Northeast) PUMA, North Carolina",117469,55853,53486,1323,327,87,29,0,274,0,0,1717,3915,458
"Charlotte City (South) PUMA, North Carolina",155195,81475,62545,417,122,615,0,0,117,0,0,720,8813,371
"Charlotte City (Southwest) PUMA, North Carolina",129837,54868,63821,3438,128,864,84,0,908,0,185,1806,2950,785
"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns PUMA; North Carolina",158726,75485,70251,595,0,0,0,0,538,250,47,1006,9625,929
"Mecklenburg County (East)--Mint Hill & Matthews (North) Towns PUMA, North Carolina",134253,62616,64197,880,0,0,0,0,68,0,0,228,5985,279
"Mecklenburg County (South)--Matthews Town (South) PUMA, North Carolina",141632,66746,64222,440,71,450,173,0,552,62,53,1419,6510,934
