Selected Geographies,Total,Not in universe - missing,Car/truck/van,Bus or trolley bus,Streetcar or trolley car,Subway or elevated,Railroad,Ferry boat,Taxicab,Motorcycle,Bicycle,Walked,Worked At Home,Other
 -> Total,1570663,800697,664289,26353,1327,2080,1591,113,569,1947,6933,18585,38904,7275
"Maricopa County--Mesa City (West) PUMA, Arizona",112177,58630,48313,1970,308,110,65,113,0,107,173,902,1270,216
"Maricopa County--Mesa City (South Central) PUMA, Arizona",109817,65899,39211,633,0,0,49,0,0,488,219,143,2352,823
"Maricopa County--Tempe City (North) PUMA, Arizona",111429,49555,49463,3503,147,0,0,0,0,371,3275,3464,1221,430
"Phoenix City (Uptown) PUMA, Arizona",111356,62515,41598,1282,56,56,134,0,0,87,668,1908,2268,784
"Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",114383,67086,38037,2984,323,64,0,0,237,99,773,2262,1917,601
"Charlotte City (Central) PUMA, North Carolina",107440,46026,50121,2901,0,278,0,0,39,412,210,3961,3076,416
"Charlotte City (Northwest) PUMA, North Carolina",126549,73756,46088,3080,0,0,0,0,90,0,0,836,1443,1256
"Charlotte City (Northeast) PUMA, North Carolina",116653,56426,53419,4057,0,0,0,0,132,0,878,400,1107,234
"Charlotte City (South) PUMA, North Carolina",160170,76626,72871,1527,186,390,64,0,0,0,507,674,6622,703
"Charlotte City (Southwest) PUMA, North Carolina",108683,56158,43743,2186,307,532,1049,0,0,0,167,1363,2770,408
"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns PUMA; North Carolina",153783,73329,69721,1404,0,321,0,0,71,299,63,1558,6502,515
"Mecklenburg County (East)--Mint Hill & Matthews (North) Towns PUMA, North Carolina",118811,57316,57135,301,0,0,133,0,0,0,0,310,3253,363
"Mecklenburg County (South)--Matthews Town (South) PUMA, North Carolina",119412,57375,54569,525,0,329,97,0,0,84,0,804,5103,526
