State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
AK,Alaska Railroad Corporation(ARRC),0041,A,AR,DO,37,98,,113.1,,110.5,,110.5,,5.9,,5.9,,113.7,,"2,073.7",,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,DO,6,7,,0.0 ,,190.1,,159.8,,13.6,,11.7,,23.1,,139.2,,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,DO,8,10,,422.8,,458.2,,422.8,,24.3,,23.2,,357.8,,"2,692.7",,
,,,,Total,,14,17,,422.8,,648.4,,582.7,,37.9,,34.9,,380.9,,"2,831.9",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,DR,PT,37,47,,0.0 ,,"1,284.8",,"1,128.0",,98.0,,82.3,,194.0,,"1,263.1",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,DO,45,55,,"2,078.4",,"2,334.0",,"2,074.0",,168.9,,157.6,,"4,184.1",,"18,675.2",,
,,,,Total,,82,102,,"2,078.4",,"3,618.8",,"3,201.9",,267.0,,239.9,,"4,378.2",,"19,938.4",,
AK,"VPSI, Anchorage",0049,D,VP,DO,54,62,,0.0 ,,"1,295.5",,"1,295.5",,27.8,,27.8,,205.4,,"8,911.2",,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,DO,14,24,,0.0 ,,322.9,,290.8,,25.0,,20.4,,55.1,,290.8,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,DO,26,34,,0.0 ,,"1,221.9",,"1,140.8",,82.1,,77.4,,137.0,,979.4,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,DO,71,87,,"2,820.9",,"2,918.4",,"2,694.2",,236.2,,223.5,,"2,805.1",,"14,642.8",,
,,,,Total,,97,121,,"2,820.9",,"4,140.2",,"3,835.0",,318.3,,300.9,,"2,942.1",,"15,622.2",,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,A,DR,DO,15,24,,0.0 ,,451.6,,411.0,,34.8,,32.3,,79.9,,633.5,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,A,MB,DO,13,22,,649.7,,677.8,,648.9,,38.6,,37.7,,325.2,,"1,640.6",,
,,,,Total,,28,46,,649.7,,"1,129.4",,"1,059.9",,73.4,,70.0,,405.1,,"2,274.1",,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,A,DR,DO,8,11,,0.0 ,,399.1,,347.4,,22.0,,19.1,,38.2,,343.7,,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,A,MB,DO,25,34,,"1,285.4",,"1,300.9",,"1,290.3",,85.4,,84.9,,"1,298.8",,"6,753.5",,
,,,,Total,,33,45,,"1,285.4",,"1,699.9",,"1,637.7",,107.4,,104.0,,"1,336.9",,"7,097.2",,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,DO,28,30,,0.0 ,,586.4,Q,477.0,Q,39.5,Q,38.1,Q,155.5,,455.1,,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,DO,54,54,,0.0 ,,596.5,,536.5,,51.4,,46.2,,355.7,,"1,091.7",,
AL,Regional Planning Commission of Greater Birmingham(RPCGB),4169,B,VP,PT,42,52,,0.0 ,,710.5,,710.5,,14.4,,14.4,,106.0,,"4,922.3",,
AL,The Wave Transit System(WTS),4043,A,DR,DO,25,28,,0.0 ,,957.9,,895.9,,53.7,,50.1,,108.5,,845.1,,
AL,The Wave Transit System(WTS),4043,A,MB,DO,23,34,,"1,294.9",,"1,326.8",,"1,255.7",,97.2,,92.8,,"1,107.0",,"6,105.2",,
,,,,Total,,48,62,,"1,294.9",,"2,284.7",,"2,151.6",,150.8,,143.0,,"1,215.6",,"6,950.3",,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,DR,DO,5,7,,0.0 ,,120.5,,112.0,,10.0,,9.5,,13.8,,78.8,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,MB,DO,7,9,,217.3,,247.0,,213.6,,19.8,,17.8,,194.7,,"1,012.7",,
,,,,Total,,12,16,,217.3,,367.5,,325.6,,29.9,,27.4,,208.6,,"1,091.5",,
AL,Wiregrass Transit Authority,4103,B,DR,DO,15,17,,0.0 ,,498.1,,490.6,,46.8,,46.2,,115.7,,465.3,,
AL,Wiregrass Transit Authority,4103,B,DR,PT,23,23,,0.0 ,,982.3,,982.3,,49.1,,49.1,,61.7,,982.3,,
,,,,Total,,38,40,,0.0 ,,"1,480.4",,"1,472.9",,96.0,,95.4,,177.4,,"1,447.6",,
AR,Central Arkansas Transit Authority(CATA),6033,A,DR,DO,18,22,,0.0 ,,674.9,,580.9,,39.7,,33.4,,69.1,,568.0,,
AR,Central Arkansas Transit Authority(CATA),6033,A,LR,DO,3,5,,53.9,,54.3,,53.9,,12.1,,12.1,,119.8,,183.8,,
AR,Central Arkansas Transit Authority(CATA),6033,A,MB,DO,47,57,,"2,318.6",,"2,446.8",,"2,317.0",,167.5,,161.6,,"2,343.2",,"12,752.9",,
,,,,Total,,68,84,,"2,372.5",,"3,175.9",,"2,951.9",,219.3,,207.1,,"2,532.1",,"13,504.7",,
AR,Fort Smith Transit(FST),6086,A,DR,DO,4,6,,0.0 ,,205.7,,181.4,,13.9,,12.7,,27.6,,165.3,,
AR,Fort Smith Transit(FST),6086,A,MB,DO,6,13,,302.0,,298.6,,272.6,,22.4,,21.4,,197.1,,867.2,,
,,,,Total,,10,19,,302.0,,504.4,,454.0,,36.3,,34.0,,224.7,,"1,032.5",,
AR,Ozark Regional Transit(ORT),6072,A,DR,DO,6,29,,0.0 ,,163.6,,125.3,,11.2,,9.5,,15.1,,72.6,,
AR,Ozark Regional Transit(ORT),6072,A,MB,DO,11,24,,373.7,,413.9,,378.2,,26.1,,24.6,,178.0,,694.0,,
,,,,Total,,17,53,,373.7,,577.4,,503.5,,37.3,,34.1,,193.1,,766.6,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,A,DR,DO,4,6,,0.0 ,,40.4,,27.8,,6.9,,5.5,,7.4,,18.0,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,A,MB,DO,14,21,,288.9,,295.7,,281.1,,29.8,,29.2,,"1,327.7",,"2,163.6",,
,,,,Total,,18,27,,288.9,,336.1,,308.9,,36.6,,34.6,,"1,335.0",,"2,181.6",,
AZ,City of Glendale Transit,9034,B,DR,PT,2,3,,0.0 ,,16.9,,16.9,,3.3,,3.3,,3.8,,16.9,,
AZ,City of Glendale Transit,9034,B,DR,DO,14,18,,0.0 ,,443.5,,409.0,,32.9,,30.6,,92.4,,443.4,,
AZ,City of Glendale Transit,9034,B,MB,DO,3,8,,100.5,,102.1,,98.8,,9.2,,8.7,,113.4,,297.1,,
,,,,Total,,19,29,,100.5,,562.5,,524.6,,45.4,,42.6,,209.5,,757.3,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,B,DR,DO,47,55,,0.0 ,,738.3,,531.2,,64.4,,47.3,,164.7,,"1,042.6",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,B,DR,PT,105,125,,0.0 ,,"4,818.3",,"4,064.6",,343.4,,294.6,,368.3,,"3,311.2",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,B,MB,PT,428,500,,"20,282.5",,"24,468.2",,"20,269.7",,"1,784.1",,"1,564.4",,"50,570.7",,"189,594.7",,
,,,,Total,,580,680,,"20,282.5",,"30,024.8",,"24,865.5",,"2,191.9",,"1,906.3",,"51,103.7",,"193,948.4",,
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,B,MB,PT,11,15,,412.1,,433.4,,413.3,,84.1,,82.4,,591.1,,798.6,,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,B,MB,PT,141,198,,"7,038.1",,"7,968.1",,"7,025.3",,631.4,,586.0,,"9,166.0",,"33,331.6",,
AZ,City of Tucson(COT),9033,A,DR,DO,99,121,,0.0 ,,"3,898.5",,"3,262.7",,297.6,,253.4,,468.9,,"3,262.7",,
AZ,City of Tucson(COT),9033,A,MB,DO,170,206,,"7,710.0",,"8,777.3",,"7,707.1",,635.3,,592.7,,"21,575.4",,"82,650.2",,
,,,,Total,,269,327,,"7,710.0",,"12,675.8",,"10,969.8",,932.9,,846.2,,"22,044.3",,"85,912.9",,
AZ,Maricopa County Special Transportation Services(MCHSD),9132,A,DR,DO,23,62,,0.0 ,,465.8,,362.6,,31.1,,24.3,,35.5,,381.0,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,A,DR,DO,15,19,,0.0 ,,364.4,,337.1,,29.2,,25.8,,82.7,,309.0,Q,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,A,MB,DO,12,19,,723.1,,726.2,,681.5,,53.4,,50.1,,"1,142.9",,"2,862.6",Q,
,,,,Total,,27,38,,723.1,,"1,090.6",,"1,018.7",,82.7,,75.9,,"1,225.6",,"3,171.6",,
AZ,Peoria Transit,9140,A,DR,DO,10,11,,0.0 ,,235.4,,217.2,,13.5,,15.7,,39.0,,195.9,,
AZ,"Phoenix - VPSI, Inc.",9169,D,VP,DO,393,420,,0.0 ,,"6,120.8",,"6,120.8",,148.0,,148.0,,"1,264.7",,"36,258.0",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,B,DR,PT,59,73,,0.0 ,,"2,565.2",,"2,090.4",,169.1,,137.6,,262.4,,"2,392.4",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,B,MB,PT,161,277,,"6,344.5",,"8,900.7",,"6,336.7",,499.0,,452.0,,"9,863.5",,"58,737.4",Q,
,,,,Total,,220,350,,"6,344.5",,"11,465.9",,"8,427.1",,668.1,,589.6,,"10,125.8",,"61,129.8",,
AZ,Surprise Dial-A-Ride Transit System,9137,A,DR,DO,7,7,,0.0 ,,153.0,,80.0,,12.4,,7.9,,19.3,,105.6,,
AZ,"Valley Metro Rail, Inc.(VMR)",9209,B,LR,PT,34,49,,"1,283.1",,"1,398.3",,"1,362.3",,97.7,,95.2,,"5,580.9",,"47,881.4",,
AZ,Yuma Metropolitan Planning Organization(YMPO),9192,B,DR,PT,11,13,,0.0 ,,340.0,,292.6,,30.6,,24.6,,29.9,,292.6,,
AZ,Yuma Metropolitan Planning Organization(YMPO),9192,B,MB,PT,8,13,,925.0,,974.2,,925.0,,32.3,,30.8,,331.2,,"1,261.2",,
,,,,Total,,19,26,,925.0,,"1,314.2",,"1,217.6",,62.9,,55.4,,361.2,,"1,553.8",,
CA,Access Services Incorporated(ASI),9157,B,DR,PT,574,750,,0.0 ,,"35,482.0",,"27,678.1",,"1,912.1",,"1,570.4",,"2,812.3",,"35,944.7",,
CA,Alameda-Contra Costa Transit District(AC Transit),9014,B,DR,PT,182,266,,0.0 ,,"7,436.0",,"6,197.8",,451.8,,391.6,,686.4,,"6,678.8",,
CA,Alameda-Contra Costa Transit District(AC Transit),9014,B,MB,DO,532,647,,"22,036.4",,"25,971.0",,"22,052.5",,"2,073.6",,"1,896.5",,"60,468.4",,"192,460.7",,
,,,,Total,,714,913,,"22,036.4",,"33,407.0",,"28,250.3",,"2,525.4",,"2,288.1",,"61,154.8",,"199,139.5",,
CA,Altamont Commuter Express(ACE),9182,B,CR,PT,21,24,,736.8,,780.2,,780.2,,22.7,,22.7,,797.3,,"35,756.8",,
CA,Anaheim Transportation Network(ATN),9211,B,MB,PT,42,32,,874.1,,715.1,,666.4,,107.6,,90.1,,"2,868.9",,"4,096.3",,
