State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
FL,Lake County Board of County Commissioners(LCBOCC),4158,City,N,DR,PT,60,77,,0,,1897.091,,"1,525.2",,119.8,,101.9,,167.1,,"2,731.1",
FL,Lake County Board of County Commissioners(LCBOCC),4158,City,N,MB,PT,7,13,,408.18,,438.98,,408.1,,24.3,,23.1,,297.0,,"2,117.4",
,,,,,Total,,67,90,,408.18,,2336.071,,"1,933.2",,144.1,,125.0,,464.1,,"4,848.5",
FL,Lakeland Area Mass Transit District (Citrus Connection),4031,Authority,N,DR,DO,13,17,,0,,351.548,Q,319.1,Q,32.9,Q,27.9,Q,93.0,,580.9,
FL,Lakeland Area Mass Transit District (Citrus Connection),4031,Authority,N,MB,DO,22,31,,988.436,,1046.543,,987.4,,72.3,,69.6,,"1,104.8",,"5,760.8",
,,,,,Total,,35,48,,988.436,,1398.091,,"1,306.5",,105.2,,97.4,,"1,197.8",,"6,341.8",
FL,Lee County Transit(LeeTran),4028,City,N,DR,DO,36,43,,0,,1312.33,,"1,139.4",,75.3,,65.3,,102.3,,"1,085.2",
FL,Lee County Transit(LeeTran),4028,City,N,MB,DO,46,60,,2983.006,,3198.954,,"2,982.6",,190.6,,180.4,,"3,754.1",,"20,790.1",
FL,Lee County Transit(LeeTran),4028,City,N,VP,PT,11,11,,0,,225.724,,225.7,,7.6,,7.6,,39.5,,"1,644.4",
,,,,,Total,,93,114,,2983.006,,4737.008,,"4,347.8",,273.5,,253.3,,"3,895.8",,"23,519.6",
FL,Manatee County Area Transit(MCAT),4026,City,N,DR,DO,22,29,,0,,641.992,,555.6,,49.1,,38.9,,82.2,,833.8,
FL,Manatee County Area Transit(MCAT),4026,City,N,MB,DO,19,30,,1358.083,,1327.35,,"1,263.7",,89.7,,86.9,,"1,767.1",,"7,863.5",
,,,,,Total,,41,59,,1358.083,,1969.342,,"1,819.3",,138.8,,125.8,,"1,849.3",,"8,697.4",
FL,Martin County,4192,City,N,DR,PT,6,8,,0,,156.081,,134.4,,9.1,,8.1,,15.2,,123.8,
FL,Martin County,4192,City,N,MB,PT,4,5,,10.414,,148.964,,130.1,,12.1,,11.1,,67.2,,244.9,
,,,,,Total,,10,13,,10.414,,305.045,,264.5,,21.3,,19.2,,82.4,,368.6,
FL,"Miami Lakes - vRide, Inc.",4152,Contractor,N,VP,DO,212,233,,0,,3139.984,,"3,140.0",,73.2,,73.2,,547.8,,"15,940.7",
FL,Miami-Dade Transit(MDT),4034,City,N,DR,PT,333,380,,0,,15125.358,,"13,585.6",,"1,061.1",,993.3,,"1,672.4",,"21,469.2",
FL,Miami-Dade Transit(MDT),4034,City,N,HR,DO,76,136,,6960.79,,7049.126,,"6,819.3",,309.9,,288.1,,"18,706.1",,"139,721.1",
FL,Miami-Dade Transit(MDT),4034,City,N,MB,PT,1,2,,93.33,,93.989,,91.5,,3.7,,3.3,,30.7,,614.9,
FL,Miami-Dade Transit(MDT),4034,City,N,MB,DO,692,823,,29433.477,,34170.341,,"28,746.8",,"2,647.6",,"2,409.4",,"77,828.3",,"441,667.9",
FL,Miami-Dade Transit(MDT),4034,City,N,MG,DO,21,45,,1126.255,,1078.254,,"1,075.4",,105.7,,105.4,,"9,102.4",,"9,738.7",
,,,,,Total,,"1,123",1386,,37613.852,,57517.068,,"50,318.6",,"4,128.0",,"3,544.5",,"107,339.9",,"613,211.9",
FL,Okaloosa County Board of County Commissioners,4128,City,N,DR,PT,32,34,,0,,818.165,,704.6,,48.0,,41.8,,87.4,,761.0,
FL,Okaloosa County Board of County Commissioners,4128,City,N,MB,PT,14,18,,433.105,,449.758,,432.7,,36.5,,35.4,,179.9,,761.1,
,,,,,Total,,46,52,,433.105,,1267.923,,"1,137.3",,84.5,,77.1,,267.3,,"1,522.1",
FL,Pasco County Public Transportation(PCPT),4074,City,N,DR,DO,11,13,,0,,265.664,,204.5,,14.6,,11.5,,30.9,,258.2,
FL,Pasco County Public Transportation(PCPT),4074,City,N,DT,PT,37,50,,0,,379.389,,379.4,,22.1,,22.1,,44.3,,379.4,
FL,Pasco County Public Transportation(PCPT),4074,City,N,MB,DO,18,35,,1230.698,,1304.794,,"1,210.4",,71.9,,68.7,,956.6,,"6,926.8",
,,,,,Total,,66,98,,1230.698,,1949.847,,"1,794.3",,108.7,,102.3,,"1,031.8",,"7,564.4",
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,DR,PT,79,125,,0,,1806.721,,"1,439.6",,63.0,,52.3,,139.8,,724.8,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,DT,PT,49,0,,0,,1349.031,,"1,349.0",,45.0,,45.0,,165.6,,"1,214.5",
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,MB,DO,155,186,,8502.526,,9700.732,,"8,489.5",,635.3,,593.1,,"13,028.1",,"67,977.4",
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Authority,N,MB,PT,15,19,,306.462,,403.58,,388.4,,28.6,,27.7,,684.9,,"3,094.1",
,,,,,Total,,298,330,,8808.988,,13260.064,,"11,666.4",,771.9,,718.0,,"14,018.4",,"73,010.9",
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,DR,DO,25,35,,0,,647.679,,517.8,,53.8,,37.6,,52.3,,672.8,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,DR,PT,22,24,,0,,917.462,,739.2,,58.9,,49.1,,55.3,,891.8,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,MB,DO,11,16,,714.722,,720.059,,674.4,,33.7,,32.6,,525.7,,"4,957.5",
,,,,,Total,,58,75,,714.722,,2285.2,,"1,931.4",,146.4,,119.3,,633.3,,"6,522.1",
FL,Sarasota County Area Transit(SCAT),4046,City,N,CB,DO,3,8,,117.326,,166.496,,117.2,,5.6,,3.8,,25.9,,724.8,
FL,Sarasota County Area Transit(SCAT),4046,City,N,DR,DO,23,37,,0,,681.588,,533.6,,53.2,,42.8,,83.3,,772.6,
FL,Sarasota County Area Transit(SCAT),4046,City,N,DR,PT,32,47,,0,,725.133,,565.6,,62.5,,50.0,,82.9,,956.5,
FL,Sarasota County Area Transit(SCAT),4046,City,N,MB,DO,42,55,,2698.83,,2892.292,,"2,681.4",,190.1,,180.1,,"2,769.6",,"14,182.2",
,,,,,Total,,100,147,,2816.156,,4465.509,,"3,897.8",,311.4,,276.7,,"2,961.8",,"16,636.2",
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,DR,DO,22,26,,0,,509.078,,426.9,,34.3,,28.7,,57.5,,"1,272.0",
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,MB,DO,15,19,,786.471,,855.823,,784.9,,47.7,,40.9,,"1,063.5",,"5,051.5",
,,,,,Total,,37,45,,786.471,,1364.901,,"1,211.8",,82.0,,69.6,,"1,121.0",,"6,323.4",
FL,South Florida Regional Transportation Authority(TRI-Rail),4077,Authority,N,CR,PT,40,50,,3057.6,,3065,,"2,944.0",,110.1,,97.2,,"4,006.0",,"115,414.2",
FL,South Florida Regional Transportation Authority(TRI-Rail),4077,Authority,N,MB,PT,25,29,,746.592,,978.612,,745.2,,85.9,,69.2,,935.9,,"3,673.9",
,,,,,Total,,65,79,,3804.192,,4043.612,,"3,689.2",,195.9,,102.1,,"4,941.9",,"119,088.1",
FL,Space Coast Area Transit(SCAT),4063,City,N,DR,DO,27,71,,0,,811.757,,644.2,,62.2,,46.7,,130.8,,"1,415.7",
FL,Space Coast Area Transit(SCAT),4063,City,N,DR,PT,42,55,,0,,905.164,,905.2,,40.9,,40.9,,311.2,,"4,059.7",
FL,Space Coast Area Transit(SCAT),4063,City,N,MB,DO,24,63,,1513.262,,1567.838,,"1,509.1",,83.6,,80.8,,"2,061.8",,"11,978.8",
FL,Space Coast Area Transit(SCAT),4063,City,N,VP,PT,48,61,,0,,1016.559,,"1,016.6",,21.6,,21.6,,140.6,,"6,207.6",
,,,,,Total,,141,250,,1513.262,,4301.318,,"4,075.0",,208.2,,189.9,,"2,644.3",,"23,661.7",
FL,"St Johns County, Florida,  Board of County Commissioners(St Johns County)",4155,City,N,DR,PT,6,10,,0,,136.348,,93.8,,10.3,,9.2,,19.3,,137.1,
FL,"St Johns County, Florida,  Board of County Commissioners(St Johns County)",4155,City,N,MB,PT,7,11,,463.222,,510.267,,466.1,,24.3,,23.2,,237.1,,"1,958.7",
,,,,,Total,,13,21,,463.222,,646.615,,559.9,,34.6,,32.4,,256.4,,"2,095.8",
FL,Tampa Bay Area Regional Transportation Authority(TBARTA),4200,Authority,N,VP,PT,93,103,,0,,1635.84,,"1,635.8",,41.7,,41.7,,225.5,,"8,606.2",
FL,"Tri-County Community Council, Inc.(TCCC)",4148,Authority,N,DR,DO,30,30,,0,,619.626,,601.7,,33.1,,32.2,,193.7,,610.8,
GA,Albany Transit System(ATS),4021,City,N,DR,DO,4,6,,0,,107.615,,100.5,,7.3,,7.1,,10.4,,60.1,
GA,Albany Transit System(ATS),4021,City,N,MB,DO,8,11,,570.452,,579.539,,570.4,,36.3,,34.6,,"1,006.4",,"4,921.3",
,,,,,Total,,12,17,,570.452,,687.154,,670.8,,43.6,,41.7,,"1,016.8",,"4,981.4",
GA,Athens Transit System(ATS),4047,City,N,DR,DO,3,5,,0,,79.68,,70.7,,6.7,,6.2,,9.2,,53.0,
GA,Athens Transit System(ATS),4047,City,N,MB,DO,22,31,,762.98,,793.825,,764.4,,67.9,,66.4,,"1,789.7",,"5,188.4",
,,,,,Total,,25,36,,762.98,,873.505,,835.1,,74.6,,72.5,,"1,799.0",,"5,241.3",
GA,Augusta Richmond County Transit Department(APT),4023,City,N,DR,PT,7,8,,0,,152.012,,134.3,,14.6,,12.6,,19.1,,88.6,
GA,Augusta Richmond County Transit Department(APT),4023,City,N,MB,PT,12,18,,508.808,,550.608,,509.0,,44.3,,42.3,,718.4,,"2,454.3",
,,,,,Total,,19,26,,508.808,,702.62,,643.3,,58.9,,54.9,,737.6,,"2,542.9",
GA,Buckhead Community Improvement District(BCID),4177,Semi-Public Corp,N,MB,PT,6,11,,94.924,,183.548,,94.9,,21.6,,14.3,,138.0,,199.6,
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,DR,PT,20,26,,0,,762.863,,702.9,,58.9,,53.1,,78.9,,656.9,
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,FB,PT,1,3,,14.6,,15.748,,15.7,,7.2,,7.2,,642.1,,244.0,
GA,Chatham Area Transit Authority(CAT),4025,Authority,N,MB,PT,52,73,,2556.659,,2537.951,,"2,432.8",,205.2,,194.2,,"3,839.0",,"13,356.1",
,,,,,Total,,73,102,,2571.259,,3316.562,,"3,151.5",,271.3,,254.5,,"4,560.0",,"14,257.1",
GA,Cherokee County Board of Commissioners(CATS),4161,City,Y,DR,DO,12,,,,,,,196.8,,,,8.2,,37.9,,,
GA,Cherokee County Board of Commissioners(CATS),4161,City,Y,MB,DO,2,,,,,,,45.5,,,,2.6,,49.8,,,
,,,,,Total,,14,,,,,,,242.3,,,,10.8,,87.7,,,
GA,City of Rome Transit Department(RTD),4058,City,N,DR,DO,5,9,,0,,134.975,,125.4,,12.2,,11.4,,24.4,,120.7,
GA,City of Rome Transit Department(RTD),4058,City,N,MB,DO,26,35,,451.584,,464.216,,439.0,,30.2,,29.1,,"1,029.3",,"4,719.9",
,,,,,Total,,31,44,,451.584,,599.191,,564.4,,42.5,,40.5,,"1,053.7",,"4,840.6",
GA,Cobb County Department of Transportation Authority(CCT),4078,City,N,DR,PT,23,26,,0,,578.481,,490.3,,39.2,,34.3,,60.7,,444.8,
GA,Cobb County Department of Transportation Authority(CCT),4078,City,N,MB,PT,76,91,,2799.478,,3393.238,,"2,799.2",,180.2,,159.5,,"3,785.2",,"29,162.0",
,,,,,Total,,99,117,,2799.478,,3971.719,,"3,289.5",,219.4,,193.8,,"3,845.8",,"29,606.8",
GA,Douglas County Rideshare(Rideshare),4082,City,N,VP,DO,65,79,,0,,1251.641,,"1,251.6",,31.5,,31.5,,191.5,,"7,359.2",
GA,Georgia Regional Transportation Authority(GRTA),4135,State Government,N,CB,PT,103,136,,2671.652,,4760.387,,"2,670.2",,170.8,,103.9,,"1,802.4",,"46,550.2",
GA,Georgia Regional Transportation Authority(GRTA),4135,State Government,N,VP,PT,88,93,,0,,2335.71,,"2,335.7",,52.9,,52.9,,309.0,,"17,152.7",
,,,,,Total,,191,229,,2671.652,,7096.097,,"5,005.9",,223.6,,156.8,,"2,111.5",,"63,702.9",
GA,Gwinnett County Board of Commissioners(GCT),4138,City,N,DR,PT,6,10,,0,,275.479,,212.2,,21.9,,17.8,,19.4,,183.9,
GA,Gwinnett County Board of Commissioners(GCT),4138,City,N,MB,PT,63,98,,2102.559,,2722.09,,"2,038.6",,126.0,,102.6,,"2,007.1",,"43,408.4",
,,,,,Total,,69,108,,2102.559,,2997.569,,"2,250.8",,147.9,,120.4,,"2,026.5",,"43,592.3",
GA,Hall Area Transit(HAT),4144,City,N,DR,DO,9,10,,0,,197.34,,175.6,,14.3,,12.4,,25.1,,175.6,
GA,Hall Area Transit(HAT),4144,City,N,MB,DO,8,13,,254.092,,259.658,,253.8,,19.7,,19.4,,240.2,,877.1,
,,,,,Total,,17,23,,254.092,,456.998,,429.4,,34.0,,31.8,,265.3,,"1,052.7",
GA,Henry County Transit(HC),4181,City,Y,DR,DO,24,,,,,,,451.2,,,,37.0,,41.6,,,
GA,Liberty Transit(LT),4193,City,Y,MB,DO,6,,,,,,,245.6,,,,20.6,,24.5,,,
GA,Macon-Bibb County Transit Authority(MTA    ),4130,Authority,N,DR,DO,6,9,,0,,219.187,,198.5,,14.5,,13.6,,19.2,,197.8,
GA,Macon-Bibb County Transit Authority(MTA    ),4130,Authority,N,MB,DO,20,27,,1289.246,,1308.243,,"1,265.9",,80.9,,78.7,,926.4,,"3,696.2",W
,,,,,Total,,26,36,,1289.246,,1527.43,,"1,464.5",,95.3,,92.3,,945.6,,"3,894.1",Q
GA,"Metra Transit System (Columbus, GA)(Metra)",4024,City,Y,DR,DO,6,,,,,,,217.7,,,,14.7,,32.1,,,
GA,"Metra Transit System (Columbus, GA)(Metra)",4024,City,Y,MB,DO,16,,,,,,,895.2,,,,64.4,,"1,090.0",,,
,,,,,Total,,22,,,,,,,"1,112.9",,,,79.0,,"1,122.0",,,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,DR,DO,154,187,,0,,8169.016,,"6,540.6",,451.7,,365.9,,581.5,,"7,875.8",
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,HR,DO,182,318,,17707.754,,18405.169,,"17,661.0",,708.7,,674.3,,"72,711.5",,"463,168.6",
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Authority,N,MB,DO,443,531,,22778.41,,25878.645,,"22,804.0",,"2,022.1",,"1,876.6",,"61,596.7",,"228,212.5",
,,,,,Total,,779,1036,,40486.164,,52452.83,,"47,005.6",,"3,182.5",,"2,363.7",,"134,889.7",,"699,256.9",
GA,University of Georgia Transit System(UGA),4180,University,N,DR,DO,5,8,,0,,49.816,,42.6,,12.2,,11.4,,10.0,,3.8,
GA,University of Georgia Transit System(UGA),4180,University,N,MB,DO,41,59,,789.381,,921.635,,857.6,,113.6,,108.2,,"10,876.7",,"4,133.2",
,,,,,Total,,46,67,,789.381,,971.451,,900.2,,125.8,,119.6,,"10,886.7",,"4,137.0",
GA,"vRide, Inc. - Atlanta",4153,Contractor,N,VP,DO,235,270,,0,,3832.267,,"3,832.3",,93.1,,93.1,,757.5,,"24,517.3",
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,City,N,DR,PT,129,157,,0,,6430.142,,"5,150.7",,415.7,,359.0,,845.9,,"9,487.5",
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,City,N,DT,PT,114,114,,0,,675.7,,675.7,,40.4,,40.4,,134.0,,830.4,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,City,N,MB,PT,434,518,,18380.911,,21233.341,,"18,225.5",,"1,496.5",,"1,375.4",,"76,296.6",,"418,025.0",
,,,,,Total,,677,789,,18380.911,,28339.183,,"24,051.8",,"1,952.7",,"1,774.9",,"77,276.5",,"428,343.0",
IA,Ames Transit Agency dba CyRide,7041,City,N,DR,DO,3,13,,0,,37.653,,34.1,,2.9,,2.7,,10.9,,41.0,
IA,Ames Transit Agency dba CyRide,7041,City,N,MB,PT,6,20,,1.13,,1.199,,1.1,,0.1,,0.1,,10.9,,18.1,
IA,Ames Transit Agency dba CyRide,7041,City,N,MB,DO,60,82,,1149.266,,1222.87,,"1,157.3",,117.0,,110.9,,"5,738.0",,"9,697.9",
,,,,,Total,,69,115,,1150.396,,1261.722,,"1,192.5",,120.0,,113.7,,"5,759.9",,"9,757.1",
IA,Bettendorf Transit System(BT),7007,City,Y,DR,PT,1,,,,,,,18.8,,,,1.5,,4.3,,,
IA,Bettendorf Transit System(BT),7007,City,Y,MB,PT,3,,,,,,,17.6,,,,1.0,,8.1,,,
IA,Bettendorf Transit System(BT),7007,City,Y,MB,DO,8,,,,,,,379.1,,,,21.4,,231.1,,,
,,,,,Total,,12,,,,,,,415.4,,,,23.8,,243.5,,,
IA,Cedar Rapids Transit(CRT),7008,City,N,DR,PT,35,39,,0,,348.619,,306.0,,23.0,,20.8,,74.0,,317.8,
IA,Cedar Rapids Transit(CRT),7008,City,N,MB,DO,22,30,,1005.741,,1025.56,,989.9,,72.9,,70.4,,"1,202.7",,"5,627.2",
,,,,,Total,,57,69,,1005.741,,1374.179,,"1,295.9",,95.9,,91.2,,"1,276.7",,"5,945.0",
IA,City of Dubuque(KeyLine),7011,City,Y,DR,DO,9,,,,,,,239.6,,,,20.6,,66.5,,,
IA,City of Dubuque(KeyLine),7011,City,Y,MB,DO,12,,,,,,,344.4,,,,27.6,,378.6,,,
,,,,,Total,,21,,,,,,,584.0,,,,48.2,,445.0,,,
IA,Coralville Transit System(CTS),7030,City,N,MB,DO,7,10,,182.325,,208.46,,184.3,,17.4,,15.7,,611.1,,"2,200.5",
IA,Davenport Public Transit(CITIBUS),7009,City,Y,DR,PT,4,,,,,,,141.7,,,,11.9,,29.5,,,
IA,Davenport Public Transit(CITIBUS),7009,City,Y,MB,PT,1,,,,,,,7.7,,,,0.5,,2.7,,,
IA,Davenport Public Transit(CITIBUS),7009,City,Y,MB,DO,18,,,,,,,752.2,,,,55.1,,"1,382.3",,,
,,,,,Total,,23,,,,,,,901.6,,,,67.5,,"1,414.5",,,
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,DR,DO,29,38,,0,,1108.373,,926.3,,74.0,,62.9,,199.1,,"1,772.6",
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,DT,PT,4,4,,0,,46.641,,46.6,,2.7,,2.7,,6.2,,46.6,
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,MB,DO,94,113,,2194.533,,2461.252,,"2,194.5",,184.3,,164.0,,"4,086.3",,"19,276.9",
IA,Des Moines Area Regional Transit Authority(DART),7010,Authority,N,VP,DO,98,118,,0,,1942.352,,"1,942.4",,49.0,,49.0,,285.8,,"11,830.0",
,,,,,Total,,225,273,,2194.533,,5558.618,,"5,109.8",,309.9,,278.5,,"4,577.5",,"32,926.1",
IA,Iowa City Transit(ICT),7018,City,N,MB,DO,21,28,,714.929,,743.983,,714.4,,58.8,,56.5,,"1,965.4",,"4,036.7",
IA,Johnson County SEATS(SEATS),7045,City,N,DR,DO,19,24,,0,,520.017,,450.7,,44.9,,40.6,,124.4,,591.3,
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,DR,PT,3,4,,0,,159.745,,159.7,,4.3,,4.3,,12.6,,96.0,
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,DR,DO,15,17,,0,,355.096,,315.1,,28.3,,26.2,,73.1,,442.4,
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Authority,N,MB,DO,12,18,,610.201,,604.1,,565.2,,39.8,,37.0,,476.1,,488.4,
,,,,,Total,,30,39,,610.201,,1118.941,,"1,040.0",,72.3,,67.4,,561.9,,"1,026.8",
IA,Sioux City Transit System(SCTS),7012,City,N,DR,PT,10,12,,0,,241.781,,207.0,,23.9,,21.4,,39.9,,384.7,
IA,Sioux City Transit System(SCTS),7012,City,N,MB,DO,21,25,,626.052,,622.345,,622.3,,44.6,,44.6,,"1,164.3",,"5,588.5",
,,,,,Total,,31,37,,626.052,,864.126,,829.4,,68.5,,66.0,,"1,204.2",,"5,973.3",
IA,University of Iowa(Cambus),7019,University,N,DR,DO,3,4,,0,,64.332,,55.6,,10.3,,9.7,,10.2,,34.8,
IA,University of Iowa(Cambus),7019,University,N,MB,DO,26,30,,780.282,,793.775,,758.3,,74.3,,72.8,,"4,357.7",,"5,291.6",
,,,,,Total,,29,34,,780.282,,858.107,,813.9,,84.5,,82.5,,"4,367.9",,"5,326.4",
ID,City of Pocatello - Pocatello Regional Transit(PRT),0022,City,Y,DR,DO,18,,,,,,,479.1,,,,31.1,,101.7,,,
ID,City of Pocatello - Pocatello Regional Transit(PRT),0022,City,Y,MB,DO,11,,,,,,,323.2,,,,22.6,,334.1,,,
,,,,,Total,,29,,,,,,,802.4,,,,53.7,,435.8,,,
ID,Coeur d'Alene Tribe dba Citylink Transit(Citylink),0053,Other,Y,DR,DO,1,,,,,,,34.4,,,,0.7,,3.8,,,
ID,Coeur d'Alene Tribe dba Citylink Transit(Citylink),0053,Other,Y,MB,DO,2,,,,,,,439.6,,,,13.6,,480.1,,,
,,,,,Total,,3,,,,,,,474.0,,,,14.3,,483.8,,,
ID,Kootenai County(KC),0055,City,Y,DR,PT,8,,,,,,,178.4,,,,15.7,,30.1,,,
ID,Kootenai County(KC),0055,City,Y,MB,PT,4,,,,,,,263.3,,,,15.8,,286.0,,,
,,,,,Total,,12,,,,,,,441.7,,,,31.6,,316.1,,,
ID,Lewiston Transit System(LTS),0048,City,Y,DR,DO,2,,,,,,,32.4,,,,2.3,,6.7,,,
ID,Lewiston Transit System(LTS),0048,City,Y,MB,DO,2,,,,,,,76.8,,,,5.6,,29.3,,,
,,,,,Total,,4,,,,,,,109.2,,,,7.9,,36.1,,,
ID,Targhee Regional Public Transit Authority(TRPTA),0042,Authority,Y,DR,DO,20,,,,,,,465.2,,,,32.6,,153.2,,,
ID,Targhee Regional Public Transit Authority(TRPTA),0042,Authority,Y,MB,DO,4,,,,,,,125.3,,,,11.3,,46.6,,,
,,,,,Total,,24,,,,,,,590.5,,,,44.0,,199.7,,,
ID,Valley Regional Transit(VRT),0011,Authority,N,DR,DO,15,21,,0,,340.954,,288.2,,30.8,,27.7,,46.8,,317.2,
ID,Valley Regional Transit(VRT),0011,Authority,N,MB,DO,36,43,,1266.676,,1412.052,,"1,267.5",,97.2,,89.7,,"1,496.9",,"9,441.5",
,,,,,Total,,51,64,,1266.676,,1753.006,,"1,555.7",,128.0,,117.5,,"1,543.7",,"9,758.7",
IL,Bloomington-Normal Public Transit System(B-NPTS),5047,Authority,N,DR,DO,12,13,,0,,319.696,,272.2,,21.5,,19.8,,50.2,,250.1,
IL,Bloomington-Normal Public Transit System(B-NPTS),5047,Authority,N,MB,DO,23,29,,1314.989,,1363.483,,"1,319.7",,93.5,,91.3,,"2,033.7",,"6,304.1",
,,,,,Total,,35,42,,1314.989,,1683.179,,"1,592.0",,114.9,,111.1,,"2,083.9",,"6,554.2",
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,DR,DO,12,16,,0,,241.381,,214.8,,31.9,,29.6,,114.8,,369.5,
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,DR,PT,5,8,,0,,189.824,,178.3,,13.3,,11.9,,22.0,,81.3,
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Authority,N,MB,DO,93,99,,2921.59,,3186.66,,"3,057.6",,264.0,,253.8,,"10,981.7",,"23,061.6",
,,,,,Total,,110,123,,2921.59,,3617.865,,"3,450.7",,309.2,,295.3,,"11,118.5",,"23,512.4",
IL,Chicago Transit Authority(CTA),5066,Authority,N,HR,DO,"1,070",1258,,65362.573,,65806.125,,"65,222.9",,"3,932.8",,"3,575.4",,"231,154.3",,"1,541,186.3",
IL,Chicago Transit Authority(CTA),5066,Authority,N,MB,DO,"1,578",1792,,52380.022,,58293.755,,"52,427.7",,"6,098.3",,"5,658.4",,"314,423.6",,"725,064.4",
,,,,,Total,,"2,648",3050,,117742.595,,124099.88,,"117,650.6",,"10,031.2",,"6,266.9",,"545,577.9",,"2,266,250.6",
IL,City of Danville/Danville Mass Transit(DMT),5174,City,N,DR,PT,2,3,,0,,33.628,,33.6,,2.3,,2.3,,11.3,,33.6,
IL,City of Danville/Danville Mass Transit(DMT),5174,City,N,MB,DO,10,14,,568.95,,576.992,,573.7,,25.3,,25.0,,647.8,,"3,177.3",
,,,,,Total,,12,17,,568.95,,610.62,,607.3,,27.5,,27.2,,659.2,,"3,210.9",
IL,City of DeKalb(DSATS),5176,City,N,DR,PT,22,25,,0,,824.19,,757.5,,54.8,,53.5,,176.5,,"1,417.8",
IL,Decatur Public Transit System(DPTS),5061,City,N,DR,DO,7,7,,0,,170.242,,145.0,,15.3,,13.3,,23.9,,91.2,
IL,Decatur Public Transit System(DPTS),5061,City,N,DT,PT,4,8,,0,,9.823,,9.8,,0.6,,0.6,,3.3,,9.9,
IL,Decatur Public Transit System(DPTS),5061,City,N,MB,DO,19,24,,953.906,,973.861,,967.2,,69.2,,68.5,,"1,345.2",,"3,901.1",
,,,,,Total,,30,39,,953.906,,1153.926,,"1,122.1",,85.0,,82.3,,"1,372.4",,"4,002.1",
IL,Greater Peoria Mass Transit District(CityLink),5056,Authority,N,DR,PT,24,31,,0,,917.202,,828.0,,75.1,,63.1,,137.6,,"1,364.5",
IL,Greater Peoria Mass Transit District(CityLink),5056,Authority,N,MB,DO,48,56,,1915.211,,2096.774,,"1,890.7",,118.1,,107.2,,"3,025.3",,"15,165.8",
,,,,,Total,,72,87,,1915.211,,3013.976,,"2,718.7",,193.2,,170.3,,"3,162.9",,"16,530.4",
IL,Jackson County Mass Transit District(JCMTD),5204,Authority,Y,DR,DO,13,,,,,,,217.7,,,,18.3,,23.2,,,
IL,Madison County Transit District(MCT),5146,Authority,N,DR,PT,22,30,,0,,920.274,,769.8,,42.5,,37.1,,74.3,,838.7,
IL,Madison County Transit District(MCT),5146,Authority,N,MB,PT,68,99,,3173.092,,4048.314,,"3,171.9",,211.2,,185.0,,"2,490.0",,"17,811.4",
IL,Madison County Transit District(MCT),5146,Authority,N,VP,DO,95,113,,0,,1880.397,,"1,880.4",,46.0,,46.0,,290.2,,"12,165.2",
,,,,,Total,,185,242,,3173.092,,6848.985,,"5,822.0",,299.7,,268.1,,"2,854.5",,"30,815.3",
IL,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail(Metra),5118,Authority,N,CR,DO,"1,048",1156,,41979,,45132.056,,"43,152.5",,"1,451.4",,"1,402.3",,"74,246.6",,"1,681,876.1",
IL,Pace - Suburban Bus Division(PACE),5113,Authority,N,DR,PT,264,310,,0,,5374.884,,"4,431.7",,352.4,,296.0,,"1,090.7",,"6,732.3",
IL,Pace - Suburban Bus Division(PACE),5113,Authority,N,DR,DO,6,10,,0,,180.181,,142.2,,13.0,,10.5,,33.7,,209.8,
IL,Pace - Suburban Bus Division(PACE),5113,Authority,N,DT,PT,39,39,,0,,670.094,,670.1,,41.8,,41.8,,122.5,,670.1,
