State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
AR,Fort Smith Transit(FST),6086,City,Y,MB,DO,6,,,,,,,237.8,,,,18.1,,229.4,,,
,,,,,Total,,10,,,,,,,437.6,,,,30.5,,263.9,,,
AR,Intracity Transit(Intracity Transit),6105,City,Y,DR,DO,6,,,,,,,74.8,,,,6.7,,10.7,,,
AR,Intracity Transit(Intracity Transit),6105,City,Y,MB,DO,8,,,,,,,149.0,,,,10.1,,183.4,,,
,,,,,Total,,14,,,,,,,223.9,,,,16.8,,194.1,,,
AR,Jonesboro Economical Transportation System(JETS),6104,City,Y,DR,DO,2,,,,,,,51.9,,,,4.3,,8.3,,,
AR,Jonesboro Economical Transportation System(JETS),6104,City,Y,MB,DO,4,,,,,,,192.0,,,,10.7,,55.4,,,
,,,,,Total,,6,,,,,,,243.9,,,,15.0,,63.8,,,
AR,Ozark Regional Transit(ORT),6072,Authority,N,DR,DO,8,29,,0,,281.043,,220.9,,18.6,,15.9,,27.1,,135.3,
AR,Ozark Regional Transit(ORT),6072,Authority,N,MB,DO,10,18,,436.011,,480.681,,434.8,,28.4,,26.2,,269.4,,"1,481.5",
,,,,,Total,,18,47,,436.011,,761.724,,655.7,,47.0,,42.1,,296.4,,"1,616.7",
AR,Pine Bluff Transit(PBT),6034,City,Y,DR,DO,1,,,,,,,32.9,,,,2.2,,4.6,,,
AR,Pine Bluff Transit(PBT),6034,City,Y,MB,DO,4,,,,,,,264.9,,,,13.3,,83.2,,,
,,,,,Total,,5,,,,,,,297.8,,,,15.5,,87.8,,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,DR,DO,4,,,,,,,40.3,,,,7.3,,8.8,,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,MB,DO,19,,,,,,,365.8,,,,36.9,,"1,924.9",,,
,,,,,Total,,23,,,,,,,406.1,,,,44.2,,"1,933.7",,,
AZ,City of Glendale Transit,9034,City,N,DR,DO,14,21,,0,,436.53,,404.8,,32.2,,30.0,,90.6,,454.9,
AZ,City of Glendale Transit,9034,City,N,DT,PT,3,3,,0,,24.452,,24.5,,4.8,,4.8,,6.1,,24.5,
AZ,City of Glendale Transit,9034,City,N,MB,DO,3,8,,100.475,,101.55,,98.7,,8.9,,8.7,,120.6,,243.1,
,,,,,Total,,20,32,,100.475,,562.532,,528.0,,45.9,,43.5,,217.3,,722.5,
AZ,City of Lake Havasu(HAT),9240,City,Y,DR,DO,3,,,,,,,84.7,,,,6.4,,13.0,,,
AZ,City of Lake Havasu(HAT),9240,City,Y,MB,DO,5,,,,,,,261.0,,,,20.4,,93.2,,,
,,,,,Total,,8,,,,,,,345.7,,,,26.8,,106.1,,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,DR,DO,25,33,,0,,424.25,,264.3,,41.3,,29.8,,122.8,,960.8,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,DR,PT,92,126,,0,,4203.907,,"3,485.7",,308.9,,257.1,,337.2,,"3,193.1",
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,DT,PT,20,20,,0,,205.924,,205.9,,40.4,,40.4,,26.5,,205.9,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,MB,PT,446,491,,16722.472,,20089.047,,"16,529.5",,"1,400.1",,"1,247.4",,"37,491.6",,"139,004.4",
,,,,,Total,,583,670,,16722.472,,24923.128,,"20,485.4",,"1,790.6",,"1,574.6",,"37,978.0",,"143,364.2",
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,City,N,MB,PT,17,21,,635.26,,659.568,,633.9,,54.8,,53.8,,969.6,,"2,914.3",
AZ,City of Sierra Vista,9239,City,Y,DR,DO,3,,,,,,,77.4,,,,4.7,,10.4,,,
AZ,City of Sierra Vista,9239,City,Y,MB,DO,5,,,,,,,159.7,,,,10.5,,154.8,,,
,,,,,Total,,8,,,,,,,237.1,,,,15.1,,165.3,,,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,City,N,MB,PT,123,146,,5238.893,,5826.902,,"5,233.6",,488.9,,454.9,,"8,926.1",,"31,154.9",
AZ,City of Tucson(COT),9033,City,N,DR,DO,115,130,,0,,4172.828,,"3,486.4",,312.7,,269.9,,520.3,,"4,545.0",
AZ,City of Tucson(COT),9033,City,N,MB,DO,200,240,,8004.423,,9167.103,,"7,995.6",,683.9,,633.3,,"19,944.0",,"80,132.4",
,,,,,Total,,315,370,,8004.423,,13339.931,,"11,482.0",,996.6,,903.2,,"20,464.3",,"84,677.5",
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,DR,DO,7,8,,0,,124.396,,108.5,,10.8,,8.4,,25.0,,157.4,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,MB,DO,15,21,,633.998,,731.961,,689.7,,60.5,,58.3,,"1,745.7",,"5,551.3",
,,,,,Total,,22,29,,633.998,,856.357,,798.2,,71.3,,66.7,,"1,770.7",,"5,708.7",
AZ,Peoria Transit,9140,City,N,DR,DO,5,8,,0,,111.061,,103.2,,8.0,,7.6,,24.7,,140.8,
AZ,Pima Association of Governments(PAG),9222,MPO,N,VP,PT,28,31,,0,,361.644,,361.6,,7.8,,7.8,,50.0,,"2,030.4",
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Authority,N,DR,PT,47,58,,0,,1976.357,,"1,626.8",,134.5,,114.8,,213.4,,"1,780.1",
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Authority,N,DT,PT,20,20,,0,,293.606,,293.6,,13.8,,13.8,,42.9,,319.6,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Authority,N,MB,PT,168,205,,6295.933,,8267.551,,"6,294.5",,543.6,,463.9,,"9,023.8",,"48,907.1",
,,,,,Total,,235,283,,6295.933,,10537.514,,"8,214.9",,691.9,,592.5,,"9,280.1",,"51,006.8",
