State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
AR,Fort Smith Transit(FST),6086,City,N,MB,DO,6,8,,292.8,,300.8,,275.7,,22.2,,21.1,,225.2,,875.3,,
,,,,,Total,,10,14,,292.8,,509.6,,457.9,,36.1,,33.7,,254.4,,"1,103.4",,
AR,Intracity Transit(Intracity Transit),6105,City,Y,DR,DO,3,,,,,,,84.0,,,,7.7,,13.4,,,,
AR,Intracity Transit(Intracity Transit),6105,City,Y,MB,DO,5,,,,,,,147.4,,,,10.2,,193.2,,,,
,,,,,Total,,8,,,,,,,231.4,,,,17.9,,206.6,,,,
AR,Ozark Regional Transit(ORT),6072,Agency,N,DR,DO,8,29,,0.0 ,,272.5,,215.7,,18.1,,15.5,,25.8,,128.9,,
AR,Ozark Regional Transit(ORT),6072,Agency,N,MB,DO,13,18,,463.7,,511.4,,460.9,,28.8,,26.6,,238.0,,"1,309.3",,
,,,,,Total,,21,47,,463.7,,783.9,,676.6,,46.9,,42.1,,263.8,,"1,438.2",,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,DR,DO,4,,,,,,,34.3,,,,6.0,,8.4,,,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,MB,DO,16,,,,,,,320.6,,,,32.3,,"1,639.1",,,,
,,,,,Total,,20,,,,,,,354.8,,,,38.3,,"1,647.5",,,,
AZ,City of Glendale Transit,9034,City,N,DR,DO,14,21,,0.0 ,,444.0,,406.4,,32.8,,30.3,,92.1,,462.5,,
AZ,City of Glendale Transit,9034,City,N,DT,PT,2,2,,0.0 ,,23.4,,23.4,,4.6,,4.6,,5.6,,23.4,,
AZ,City of Glendale Transit,9034,City,N,MB,DO,3,8,,100.8,,102.5,,99.8,,8.9,,8.7,,110.9,,223.5,,
,,,,,Total,,19,31,,100.8,,569.9,,529.5,,46.3,,43.6,,208.7,,709.4,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,DR,DO,25,33,,0.0 ,,431.9,,268.8,,43.9,,31.5,,124.5,,913.9,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,DR,PT,92,126,,0.0 ,,"4,197.7",,"3,464.9",,325.8,,257.9,,307.7,,"3,095.1",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,MB,PT,427,517,,"16,930.6",,"20,334.6",,"16,914.6",,"1,477.1",,"1,283.0",,"36,694.7",,"134,697.0",,
,,,,,Total,,544,676,,"16,930.6",,"24,964.1",,"20,648.3",,"1,846.8",,"1,572.4",,"37,126.9",,"138,706.0",,
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,City,N,MB,PT,17,21,,640.4,,634.0,,619.1,,78.1,,76.7,,908.9,,"2,741.9",,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,City,N,MB,PT,129,172,,"5,705.8",,"6,457.1",,"5,700.2",,533.2,,491.4,,"8,317.2",,"29,034.3",,
AZ,City of Tucson(COT),9033,City,N,DR,DO,115,125,,0.0 ,,"3,985.8",,"3,332.9",,300.4,,259.1,,484.4,,"4,136.7",,
AZ,City of Tucson(COT),9033,City,N,MB,DO,200,240,,"7,995.3",,"9,073.1",,"7,985.5",,676.3,,628.4,,"19,702.5",,"70,383.0",,
,,,,,Total,,315,365,,"7,995.3",,"13,058.9",,"11,318.4",,976.7,,887.5,,"20,186.8",,"74,519.7",,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,N,DR,DO,6,8,,0.0 ,,131.1,,114.0,,12.1,,9.3,,27.4,,158.2,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,N,MB,DO,11,16,,657.9,,678.4,,564.0,,51.4,,47.8,,"1,205.8",,"3,837.9",,
,,,,,Total,,17,24,,657.9,,809.5,,678.0,,63.6,,57.1,,"1,233.2",,"3,996.1",,
AZ,Peoria Transit,9140,City,N,DR,DO,7,8,,0.0 ,,146.1,,136.2,,10.2,,9.8,,28.5,,186.3,,
AZ,"Phoenix - VPSI, Inc.",9169,Contractor,N,VP,DO,355,369,,0.0 ,,"5,465.8",,"5,465.8",,130.1,,130.1,,"1,097.7",,"28,334.7",,
AZ,Pima Association of Governments(PAG),9222,MPO,N,VP,PT,13,15,,0.0 ,,150.5,,150.5,,3.7,,3.7,,26.1,,787.1,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Agency,N,DR,PT,50,63,,0.0 ,,"2,295.8",,"1,974.9",,141.9,,135.7,,245.1,,"2,392.4",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Agency,N,DT,PT,15,15,,0.0 ,,164.7,,164.7,,7.9,,7.9,,29.8,,189.2,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Agency,N,MB,PT,163,203,,"5,910.7",,"7,888.6",,"5,909.5",,509.6,,395.9,,"7,813.5",,"41,820.2",,
,,,,,Total,,228,281,,"5,910.7",,"10,349.1",,"8,049.2",,659.4,,539.5,,"8,088.5",,"44,401.7",,
AZ,Surprise Dial-A-Ride Transit System(Surprise DAR),9137,City,N,DR,DO,7,8,,0.0 ,,159.9,,84.9,,12.9,,8.6,,23.9,,116.3,,
AZ,Town of Oro Valley - Transit Services Division(Coyote Run),9191,Agency,Y,DR,DO,9,,,,,,,107.7,,,,7.1,,14.9,,,,
AZ,"Valley Metro Rail, Inc.(VMR)",9209,Agency,N,LR,PT,26,50,,"2,340.0",,"2,439.6",,"2,405.1",,168.7,,165.6,,"12,793.5",,"89,853.1",,
AZ,Yuma Metropolitan Planning Organization(Yuma County Area Transit),9192,MPO,N,DR,PT,8,13,,0.0 ,,200.8,,182.8,,11.4,,9.7,,20.5,,123.7,,
AZ,Yuma Metropolitan Planning Organization(Yuma County Area Transit),9192,MPO,N,MB,PT,8,17,,378.2,,447.6,,378.2,,20.0,,17.8,,244.0,,"1,013.2",,
,,,,,Total,,16,30,,378.2,,648.4,,561.1,,31.4,,27.5,,264.5,,"1,137.0",,
CA, Alameda-Contra Costa Transit District(AC Transit),9014,Agency,N,DR,PT,186,237,,0.0 ,,"7,629.0",,"6,365.9",,468.0,,411.3,,752.7,,"7,363.9",,
CA, Alameda-Contra Costa Transit District(AC Transit),9014,Agency,N,MB,DO,493,584,,"19,299.8",,"22,496.1",,"19,203.3",,"1,831.6",,"1,685.7",,"57,333.2",,"187,122.9",,
,,,,,Total,,679,821,,"19,299.8",,"30,125.1",,"25,569.3",,"2,299.5",,"2,097.0",,"58,085.9",,"194,486.8",,
CA,Access Services  (AS),9157,Agency,N,DR,PT,587,650,,0.0 ,,"34,808.2",,"28,342.1",,"1,961.2",,"1,621.6",,"2,980.9",,"38,930.4",,
CA,Altamont Commuter Express(ACE),9182,Agency,N,CR,PT,18,24,,781.2,,810.3,,786.0,,21.2,,19.7,,718.4,,"32,938.4",,
CA,Anaheim Transportation Network(ATN),9211,Non-Profit,N,MB,PT,54,100,,772.8,,"1,373.0",,"1,211.6",,211.3,,193.9,,"7,721.5",,"12,611.7",,
CA,Antelope Valley Transit Authority(AVTA),9121,Agency,N,DR,PT,11,14,,0.0 ,,400.1,,337.0,,16.7,,14.6,,32.2,,397.4,,
CA,Antelope Valley Transit Authority(AVTA),9121,Agency,N,MB,PT,54,74,,"2,742.8",,"3,077.9",,"2,738.2",,187.6,,175.4,,"2,863.7",,"37,573.0",Q,
,,,,,Total,,65,88,,"2,742.8",,"3,478.0",,"3,075.1",,204.3,,190.0,,"2,895.9",,"37,970.4",,
CA,Butte County Association of Governments(BCAG),9208,MPO,N,DR,PT,21,28,,0.0 ,,383.1,,314.3,,50.5,,40.8,,121.7,,420.7,,
CA,Butte County Association of Governments(BCAG),9208,MPO,N,MB,PT,25,35,,"1,099.0",,"1,196.2",,"1,084.2",,73.6,,67.4,,"1,178.6",,"6,164.9",,
,,,,,Total,,46,63,,"1,099.0",,"1,579.3",,"1,398.5",,124.1,,108.2,,"1,300.2",,"6,585.6",,
