State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
FL,Gainesville Regional Transit System(RTS),4030,City,N,DR,PT,35,42,,0.0 ,,499.7,,421.3,,29.7,,25.2,,45.3,,416.6,,
FL,Gainesville Regional Transit System(RTS),4030,City,N,MB,DO,93,106,,"3,249.5",,"3,254.1",,"3,138.2",,282.0,,272.4,,"9,964.0",,"24,411.9",,
,,,,,Total,,128,148,,"3,249.5",,"3,753.8",,"3,559.6",,311.8,,297.5,,"10,009.3",,"24,828.4",,
FL,Hernando County Board of County Commissioners(The Bus),4146,City,Y,DR,PT,15,,,,,,,227.5,,,,10.9,,29.5,,,,
FL,Hernando County Board of County Commissioners(The Bus),4146,City,Y,MB,PT,3,,,,,,,150.4,,,,8.7,,70.6,,,,
,,,,,Total,,18,,,,,,,377.8,,,,19.6,,100.2,,,,
FL,Hillsborough Area Regional Transit Authority(HART),4041,Agency,N,DR,DO,30,36,,0.0 ,,"1,425.5",,"1,230.7",,96.8,,78.3,,123.1,,"1,024.1",,
FL,Hillsborough Area Regional Transit Authority(HART),4041,Agency,N,MB,DO,157,208,,"7,666.5",,"8,673.3",,"7,660.7",,643.1,,600.9,,"14,562.7",,"73,794.6",,
FL,Hillsborough Area Regional Transit Authority(HART),4041,Agency,N,SR,DO,4,10,,76.5,,76.9,,76.8,,14.5,,14.4,,431.4,,685.9,,
,,,,,Total,,191,254,,"7,743.0",,"10,175.7",,"8,968.2",,754.5,,693.7,,"15,117.2",,"75,504.6",,
FL,Jacksonville Transportation Authority(JTA),4040,Agency,N,CB,DO,3,3,,52.2,,62.5,,52.2,,2.7,,2.5,,32.6,,296.1,,
FL,Jacksonville Transportation Authority(JTA),4040,Agency,N,DR,PT,72,83,,0.0 ,,"4,764.9",,"4,073.0",,242.4,,208.6,,383.7,,"4,390.3",,
FL,Jacksonville Transportation Authority(JTA),4040,Agency,N,MB,PT,21,27,,"1,110.0",,"1,490.2",,"1,227.7",,91.3,,80.6,,614.4,,"3,071.6",,
FL,Jacksonville Transportation Authority(JTA),4040,Agency,N,MB,DO,126,150,,"7,756.2",,"8,037.6",,"7,715.8",,549.2,,526.7,,"11,105.5",,"66,257.0",,
FL,Jacksonville Transportation Authority(JTA),4040,Agency,N,MG,DO,7,10,,167.8,,167.8,,167.0,,12.8,,12.5,,502.9,,212.6,,
,,,,,Total,,229,273,,"9,086.3",,"14,523.1",,"13,235.7",,898.4,,830.9,,"12,639.2",,"74,227.6",,
FL,Lake County Board of County Commissioners(LCBOCC),4158,City,N,DR,PT,56,77,,0.0 ,,"2,078.0",,"1,701.2",,125.1,,109.5,,191.8,,"3,034.9",,
FL,Lake County Board of County Commissioners(LCBOCC),4158,City,N,MB,PT,7,12,,427.5,,427.4,,396.4,,24.4,,23.2,,257.7,,"1,784.8",,
,,,,,Total,,63,89,,427.5,,"2,505.4",,"2,097.6",,149.5,,132.8,,449.5,,"4,819.8",,
FL,Lakeland Area Mass Transit District (Citrus Connection),4031,Agency,N,DR,DO,13,16,,0.0 ,,405.8,,367.4,,36.3,,30.9,,104.6,,719.1,,
FL,Lakeland Area Mass Transit District (Citrus Connection),4031,Agency,N,MB,DO,23,38,,"1,191.9",,"1,223.2",,"1,190.5",,77.2,,75.5,,"1,453.5",,"7,579.9",,
,,,,,Total,,36,54,,"1,191.9",,"1,629.0",,"1,557.9",,113.6,,106.4,,"1,558.0",,"8,298.9",,
FL,Lee County Transit(LeeTran),4028,City,N,DR,DO,36,43,,0.0 ,,"1,252.1",,"1,083.5",,73.6,,64.1,,99.7,,990.6,,
FL,Lee County Transit(LeeTran),4028,City,N,MB,DO,45,57,,"3,071.1",,"3,239.6",,"3,070.5",,188.4,,178.8,,"3,220.8",,"18,174.0",,
FL,Lee County Transit(LeeTran),4028,City,N,VP,PT,6,6,,0.0 ,,147.1,,147.1,,5.0,,5.0,,21.6,,896.3,,
,,,,,Total,,87,106,,"3,071.1",,"4,638.8",,"4,301.1",,267.0,,247.9,,"3,342.0",,"20,061.0",,
FL,Manatee County Area Transit(MCAT),4026,City,N,DR,DO,22,29,,0.0 ,,668.5,,572.8,,49.4,,37.9,,82.3,,819.0,,
FL,Manatee County Area Transit(MCAT),4026,City,N,MB,DO,19,33,,"1,329.1",,"1,368.3",,"1,328.0",,85.9,,82.8,,"1,523.4",,"7,266.5",,
,,,,,Total,,41,62,,"1,329.1",,"2,036.8",,"1,900.8",,135.3,,120.7,,"1,605.6",,"8,085.4",,
FL,Martin County,4192,City,N,DR,PT,6,9,,0.0 ,,72.0,,63.8,,8.4,,7.7,,11.9,,44.8,,
FL,Martin County,4192,City,N,MB,PT,4,5,,68.6,,76.8,,68.6,,4.9,,4.6,,22.3,,73.6,,
,,,,,Total,,10,14,,68.6,,148.8,,132.4,,13.3,,12.3,,34.2,,118.4,,
FL,"Miami Lakes - VPSI, Inc.",4152,Contractor,N,VP,DO,223,260,,0.0 ,,"3,500.6",,"3,500.6",,80.0,,80.0,,590.0,,"14,476.6",,
FL,Miami-Dade Transit(MDT),4034,City,N,DR,PT,324,380,,0.0 ,,"14,760.5",,"13,232.5",,"1,062.8",,978.3,,"1,593.8",,"20,326.3",,
FL,Miami-Dade Transit(MDT),4034,City,N,HR,DO,84,136,,"6,392.4",,"6,562.5",,"6,366.8",,317.7,,294.5,,"18,134.8",,"137,011.9",,
FL,Miami-Dade Transit(MDT),4034,City,N,MB,DO,694,828,,"29,452.9",,"34,289.3",,"28,860.9",,"2,670.9",,"2,424.0",,"75,723.8",,"407,782.3",,
FL,Miami-Dade Transit(MDT),4034,City,N,MG,DO,21,35,,"1,126.3",,"1,075.7",,"1,073.5",,105.5,,105.2,,"9,167.1",,"10,039.9",,
,,,,,Total,,"1,123",1379,,"36,971.5",,"56,688.1",,"49,533.8",,"4,156.8",,"3,536.9",,"104,619.5",,"575,160.5",,
FL,Okaloosa County Board of County Commissioners,4128,City,N,DR,PT,32,35,,0.0 ,,812.9,,694.2,,47.8,,41.2,,90.9,,707.1,,
FL,Okaloosa County Board of County Commissioners,4128,City,N,MB,PT,14,17,,410.9,,429.9,,410.3,,36.4,,35.1,,175.6,,742.8,,
,,,,,Total,,46,52,,410.9,,"1,242.8",,"1,104.5",,84.1,,76.3,,266.5,,"1,449.9",,
FL,Pasco County Public Transportation(PCPT),4074,City,N,DR,DO,11,17,,0.0 ,,191.7,,148.7,,10.1,,8.0,,22.5,,243.0,,
FL,Pasco County Public Transportation(PCPT),4074,City,N,DT,PT,39,39,,0.0 ,,394.1,,394.1,,22.1,,22.1,,47.1,,394.1,,
FL,Pasco County Public Transportation(PCPT),4074,City,N,MB,DO,16,34,,"1,098.1",,"1,170.6",,"1,094.5",,67.8,,64.7,,845.2,,"5,914.6",,
,,,,,Total,,66,90,,"1,098.1",,"1,756.3",,"1,637.4",,100.0,,94.7,,914.8,,"6,551.7",,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Agency,N,DR,PT,90,153,,0.0 ,,"1,655.6",,"1,294.8",,56.6,,45.7,,126.2,,668.2,,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Agency,N,DT,PT,47,0,,0.0 ,,"1,339.0",,"1,339.0",,44.6,,44.6,,177.1,,"1,249.8",,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Agency,N,MB,DO,156,191,,"8,417.3",,"9,570.7",,"8,406.2",,624.3,,582.7,,"12,379.0",,"70,578.3",,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,Agency,N,MB,PT,14,19,,387.5,,409.5,,390.8,,32.7,,31.6,,419.2,,955.9,,
,,,,,Total,,307,363,,"8,804.8",,"12,974.8",,"11,430.7",,758.3,,704.7,,"13,101.5",,"73,452.3",,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,DR,DO,27,37,,0.0 ,,598.8,,467.5,,39.0,,34.1,,52.3,,643.8,,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,DR,PT,25,25,,0.0 ,,905.4,,732.9,,58.8,,48.5,,55.1,,"1,010.4",,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,City,N,MB,DO,11,13,,736.6,,770.3,,731.1,,35.1,,34.1,,536.6,,"5,059.9",,
,,,,,Total,,63,75,,736.6,,"2,274.6",,"1,931.5",,132.8,,116.6,,643.9,,"6,714.1",,
FL,Sarasota County Area Transit(SCAT),4046,City,N,CB,DO,3,5,,73.2,,73.2,,51.5,,2.4,,1.7,,10.7,,300.5,,
FL,Sarasota County Area Transit(SCAT),4046,City,N,DR,PT,22,33,,0.0 ,,758.7,,712.5,,61.4,,45.2,,85.4,,988.3,,
FL,Sarasota County Area Transit(SCAT),4046,City,N,DR,DO,23,38,,0.0 ,,711.4,,488.2,,54.1,,43.5,,87.6,,802.1,,
FL,Sarasota County Area Transit(SCAT),4046,City,N,MB,DO,43,52,,"2,772.0",,"2,969.0",,"2,755.4",,192.7,,182.6,,"2,871.3",,"14,702.8",,
,,,,,Total,,91,128,,"2,845.2",,"4,512.4",,"4,007.6",,310.6,,272.9,,"3,055.1",,"16,793.7",,
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,DR,DO,25,33,,0.0 ,,546.1,,464.2,,43.9,,39.2,,46.6,,350.6,,
FL,"Senior Resource Association, Inc.(SRA)",4104,Non-Profit,N,MB,DO,14,21,,732.9,,749.1,,732.9,,45.9,,45.2,,895.5,,"3,945.4",,
,,,,,Total,,39,54,,732.9,,"1,295.2",,"1,197.1",,89.9,,84.4,,942.1,,"4,296.0",,
FL,South Florida Regional Transportation Authority(TRI-Rail),4077,Agency,N,CR,PT,37,45,,"2,878.4",,"2,976.5",,"2,879.9",,108.5,,97.0,,"3,810.8",,"112,394.6",,
FL,South Florida Regional Transportation Authority(TRI-Rail),4077,Agency,N,MB,PT,26,27,,630.1,,827.6,,628.9,,74.8,,60.6,,605.9,,"2,378.4",,
,,,,,Total,,63,72,,"3,508.4",,"3,804.1",,"3,508.8",,183.3,,95.5,,"4,416.7",,"114,773.0",,
FL,Space Coast Area Transit(SCAT),4063,City,N,DR,PT,65,82,,0.0 ,,"1,042.3",,"1,038.1",,46.1,,45.9,,365.6,,"4,522.1",,
FL,Space Coast Area Transit(SCAT),4063,City,N,DR,DO,36,67,,0.0 ,,779.7,,617.7,,61.3,,45.4,,126.0,,"1,464.7",,
FL,Space Coast Area Transit(SCAT),4063,City,N,MB,DO,23,61,,"1,507.0",,"1,566.9",,"1,504.6",,83.0,,80.3,,"1,835.6",,"10,656.5",,
FL,Space Coast Area Transit(SCAT),4063,City,N,VP,PT,42,53,,0.0 ,,964.1,,964.1,,20.6,,20.6,,133.7,,"6,164.2",,
,,,,,Total,,166,263,,"1,507.0",,"4,353.0",,"4,124.5",,211.0,,192.2,,"2,460.9",,"22,807.5",,
FL,"St Johns County, Florida,  Board of County Commissioners(St Johns County)",4155,City,N,DR,PT,5,10,,0.0 ,,105.9,,73.5,,7.8,,6.7,,13.0,,88.5,,
FL,"St Johns County, Florida,  Board of County Commissioners(St Johns County)",4155,City,N,MB,PT,7,11,,476.5,,524.0,,478.5,,24.2,,23.1,,202.9,,"1,675.4",,
,,,,,Total,,12,21,,476.5,,629.9,,551.9,,32.1,,29.9,,215.9,,"1,763.9",,
FL,Tampa Bay Area Regional Transportation Authority(TBARTA),4200,Agency,N,VP,PT,99,101,,0.0 ,,"1,536.5",,"1,536.5",,39.2,,39.2,,208.9,,"7,899.6",,
FL,"Tri-County Community Council, Inc.(TCCC)",4148,Agency,N,DR,DO,33,37,,0.0 ,,625.4,,605.8,,32.4,,31.7,,229.1,,619.2,,
GA,Albany Transit System(ATS),4021,City,N,DR,DO,4,6,,0.0 ,,106.6,,98.3,,7.4,,6.9,,11.4,,58.8,,
GA,Albany Transit System(ATS),4021,City,N,MB,DO,8,11,,542.0,,544.5,,539.2,,33.5,,31.9,,"1,044.3",,"5,106.6",,
,,,,,Total,,12,17,,542.0,,651.1,,637.6,,40.9,,38.9,,"1,055.7",,"5,165.4",,
GA,Athens Transit System(ATS),4047,City,N,DR,DO,3,5,,0.0 ,,86.1,,79.9,,7.4,,7.2,,9.5,,54.0,,
GA,Athens Transit System(ATS),4047,City,N,MB,DO,22,31,,803.4,,836.0,,806.8,,71.4,,69.8,,"1,857.3",,"5,299.4",,
,,,,,Total,,25,36,,803.4,,922.2,,886.7,,78.8,,77.1,,"1,866.8",,"5,353.4",,
GA,Augusta Richmond County Transit Department(APT),4023,City,N,DR,DO,6,8,,0.0 ,,68.8,,62.6,,8.3,,7.8,,9.7,,43.2,,
GA,Augusta Richmond County Transit Department(APT),4023,City,N,DR,PT,6,8,,0.0 ,,51.8,,47.8,,5.8,,5.2,,7.3,,33.5,,
GA,Augusta Richmond County Transit Department(APT),4023,City,N,MB,DO,12,27,,294.4,,307.0,,290.4,,25.0,,24.2,,408.3,,"2,285.2",,
GA,Augusta Richmond County Transit Department(APT),4023,City,N,MB,PT,12,18,,213.3,,228.2,,213.0,,17.8,Q,17.8,Q,313.7,,436.2,,
,,,,,Total,,36,61,,507.7,,655.8,,613.9,,56.9,,55.0,,739.0,,"2,798.1",,
GA,Buckhead Community Improvement District(BCID),4177,Other Public,N,MB,PT,6,11,,95.8,,179.0,,95.8,,21.2,,14.1,,129.3,,224.5,,
GA,Chatham Area Transit Authority(CAT),4025,Agency,N,DR,DO,20,26,,0.0 ,,693.7,,660.8,,48.3,,44.2,,77.3,,612.9,,
GA,Chatham Area Transit Authority(CAT),4025,Agency,N,FB,DO,1,3,,14.5,,16.1,,16.1,,6.9,,6.9,,509.5,,193.6,,
GA,Chatham Area Transit Authority(CAT),4025,Agency,N,MB,DO,50,67,,"2,505.5",,"2,764.6",,"2,620.4",,214.7,,206.0,,"3,537.1",,"13,252.5",,
,,,,,Total,,71,96,,"2,520.0",,"3,474.3",,"3,297.3",,269.9,,257.1,,"4,124.0",,"14,059.0",,
GA,Cherokee County Board of Commissioners(CATS),4161,City,Y,MB,DO,2,,,,,,,59.4,,,,3.4,,0.0 ,,,,
GA,City of Rome Transit Department(RTD),4058,City,N,DR,DO,5,9,,0.0 ,,135.5,,127.0,,10.0,,9.3,,25.1,,120.5,,
GA,City of Rome Transit Department(RTD),4058,City,N,MB,DO,26,35,,442.9,,460.5,,447.8,,28.9,,27.6,,989.1,,"4,531.0",,
,,,,,Total,,31,44,,442.9,,596.0,,574.8,,38.9,,36.9,,"1,014.2",,"4,651.5",,
GA,Cobb County Department of Transportation Authority(CCT),4078,City,N,DR,PT,25,30,,0.0 ,,827.9,,710.6,,53.7,,47.1,,78.2,,737.3,,
GA,Cobb County Department of Transportation Authority(CCT),4078,City,N,MB,PT,84,101,,"3,380.4",,"3,689.3",,"3,378.9",,182.6,,173.9,,"4,373.6",,"33,750.7",,
,,,,,Total,,109,131,,"3,380.4",,"4,517.2",,"4,089.4",,236.3,,221.0,,"4,451.7",,"34,488.0",,
GA,Douglas County Rideshare(Rideshare),4082,City,N,VP,DO,64,79,,0.0 ,,"1,165.1",,"1,165.1",,29.0,,29.0,,185.0,,"6,940.0",,
GA,Georgia Regional Transportation Authority(GRTA),4135,State DOT,N,CB,PT,92,114,,"2,395.9",,"4,050.2",,"2,382.3",,145.0,,93.6,,"1,589.2",,"38,874.0",,
GA,Georgia Regional Transportation Authority(GRTA),4135,State DOT,N,VP,PT,81,86,,0.0 ,,"1,808.9",,"1,808.9",,40.4,,40.4,,278.0,,"13,222.8",,
,,,,,Total,,173,200,,"2,395.9",,"5,859.0",,"4,191.2",,185.5,,134.1,,"1,867.2",,"52,096.8",,
GA,Gwinnett County Board of Commissioners(GCT),4138,City,N,DR,PT,6,10,,0.0 ,,296.6,,231.7,,20.9,,16.9,,18.4,,175.8,,
GA,Gwinnett County Board of Commissioners(GCT),4138,City,N,MB,PT,59,118,,"2,030.1",,"2,675.9",,"2,029.4",,123.7,,102.1,,"2,248.3",,"48,232.1",,
,,,,,Total,,65,128,,"2,030.1",,"2,972.6",,"2,261.1",,144.6,,118.9,,"2,266.7",,"48,408.0",,
GA,Hall Area Transit(HAT),4144,City,N,DR,DO,9,10,,0.0 ,,176.6,,152.5,,12.5,,9.9,,27.1,,199.3,,
GA,Hall Area Transit(HAT),4144,City,N,MB,DO,8,11,,277.7,,274.5,,269.2,,21.2,,20.9,,175.8,,863.7,,
,,,,,Total,,17,21,,277.7,,451.1,,421.7,,33.7,,30.9,,202.9,,"1,063.0",,
GA,Macon-Bibb County Transit Authority(MTA    ),4130,Agency,Y,DR,DO,6,,,,,,,150.5,,,,8.8,,16.4,,,,
GA,Macon-Bibb County Transit Authority(MTA    ),4130,Agency,Y,MB,DO,20,,,,,,,"1,186.7",,,,73.1,,799.5,,,,
,,,,,Total,,26,,,,,,,"1,337.2",,,,81.9,,815.8,,,,
GA,"Marietta - VPSI, Inc.",4153,Contractor,N,VP,DO,248,285,,0.0 ,,"4,068.4",,"4,068.4",,98.4,,98.4,,783.1,,"21,500.3",,
GA,"Metra Transit System (Columbus, GA)(Metra)",4024,City,Y,DR,DO,6,,,,,,,213.8,,,,14.5,,29.7,,,,
GA,"Metra Transit System (Columbus, GA)(Metra)",4024,City,Y,MB,DO,16,,,,,,,891.2,,,,63.2,,"1,081.5",,,,
,,,,,Total,,22,,,,,,,"1,105.0",,,,77.7,,"1,111.2",,,,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Agency,N,DR,DO,152,188,,0.0 ,,"7,533.7",,"6,103.1",,398.5,,324.5,,540.0,,"7,320.3",,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Agency,N,HR,DO,188,318,,"18,087.4",,"19,316.9",,"18,564.3",,741.3,,705.1,,"76,228.5",,"487,589.2",,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,Agency,N,MB,DO,490,608,,"23,066.0",,"26,057.2",,"23,059.2",,"2,010.9",,"1,867.4",,"63,104.6",,"236,152.8",,
,,,,,Total,,830,1114,,"41,153.4",,"52,907.8",,"47,726.5",,"3,150.7",,"2,318.8",,"139,873.1",,"731,062.3",,
GA,University of Georgia Transit System(UGA),4180,University,N,DR,DO,4,6,,0.0 ,,46.1,,39.8,,10.0,,9.5,,10.4,,4.0,,
GA,University of Georgia Transit System(UGA),4180,University,N,MB,DO,39,53,,767.5,,957.0,,764.5,,115.3,,101.5,,"9,063.6",,"3,407.5",,
,,,,,Total,,43,59,,767.5,,"1,003.2",,804.3,,125.3,,111.0,,"9,074.0",,"3,411.5",,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,City,N,DR,PT,132,140,,0.0 ,,"6,181.5",,"4,955.9",,400.4,,344.6,,825.7,,"9,828.2",,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,City,N,DT,PT,100,100,,0.0 ,,526.2,,526.2,,31.7,,31.7,,115.2,,632.7,,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,City,N,MB,PT,431,530,,"18,506.7",,"21,354.1",,"18,356.9",,"1,500.6",,"1,379.8",,"73,765.2",,"402,930.5",,
,,,,,Total,,663,770,,"18,506.7",,"28,061.8",,"23,839.0",,"1,932.7",,"1,756.0",,"74,706.1",,"413,391.3",,
HI,"Honolulu - VPSI, Inc.",9176,Contractor,N,VP,DO,323,323,,0.0 ,,"2,200.6",,"2,200.6",,61.8,,61.8,,362.1,,"7,234.4",,
IA,Ames Transit Agency dba CyRide,7041,City,N,DR,DO,3,14,,0.0 ,,34.6,,31.1,,2.7,,2.5,,9.1,,34.1,,
IA,Ames Transit Agency dba CyRide,7041,City,N,MB,PT,5,20,,1.1,,1.2,,1.1,,0.1,,0.1,,11.4,,18.9,,
IA,Ames Transit Agency dba CyRide,7041,City,N,MB,DO,58,75,,"1,148.0",,"1,215.8",,"1,151.4",,116.2,,110.4,,"5,426.8",,"9,155.6",,
,,,,,Total,,66,109,,"1,149.1",,"1,251.6",,"1,183.6",,119.1,,113.0,,"5,447.3",,"9,208.5",,
IA,Bettendorf Transit System(BT),7007,City,Y,DR,PT,1,,,,,,,29.4,,,,3.5,,5.1,,,,
IA,Bettendorf Transit System(BT),7007,City,Y,MB,DO,8,,,,,,,380.9,,,,21.3,,220.8,,,,
IA,Bettendorf Transit System(BT),7007,City,Y,MB,PT,2,,,,,,,16.6,,,,0.9,,7.6,,,,
,,,,,Total,,11,,,,,,,426.9,,,,25.7,,233.5,,,,
IA,Cedar Rapids Transit(CRT),7008,City,N,DR,PT,28,39,,0.0 ,,473.6,,420.1,,35.8,,32.8,,110.5,,567.5,,
IA,Cedar Rapids Transit(CRT),7008,City,N,MB,DO,22,31,,974.9,,"1,008.6",,972.9,,72.4,,69.9,,"1,124.1",,"5,436.6",,
,,,,,Total,,50,70,,974.9,,"1,482.2",,"1,393.0",,108.2,,102.7,,"1,234.6",,"6,004.1",,
IA,City of Dubuque(KeyLine),7011,City,Y,DR,DO,9,,,,,,,231.0,,,,19.9,,66.1,,,,
IA,City of Dubuque(KeyLine),7011,City,Y,MB,DO,12,,,,,,,313.4,,,,24.3,,337.7,,,,
,,,,,Total,,21,,,,,,,544.3,,,,44.2,,403.8,,,,
IA,Coralville Transit System(CTS),7030,City,N,MB,DO,7,10,,183.9,,210.4,,183.1,,17.6,,15.6,,567.6,,"2,043.4",,
IA,Davenport Public Transit(CITIBUS),7009,City,N,DR,PT,4,6,,0.0 ,,164.1,,138.5,,13.0,,11.3,,29.3,,127.4,,
IA,Davenport Public Transit(CITIBUS),7009,City,N,MB,DO,17,21,,766.7,,803.9,,753.8,,58.2,,55.3,,"1,246.3",,"5,109.8",Q,
,,,,,Total,,21,27,,766.7,,968.0,,892.3,,71.2,,66.6,,"1,275.6",,"5,237.2",,
IA,Des Moines Area Regional Transit Authority(DART),7010,Agency,N,DR,DO,29,38,,0.0 ,,"1,137.6",,947.4,,76.1,,65.8,,208.1,,"1,617.7",,
IA,Des Moines Area Regional Transit Authority(DART),7010,Agency,N,DT,PT,4,4,,0.0 ,,76.1,,76.1,,4.3,,4.3,,8.8,,76.1,,
IA,Des Moines Area Regional Transit Authority(DART),7010,Agency,N,MB,DO,94,114,,"2,185.5",,"2,449.8",,"2,185.1",,185.1,,163.9,,"3,835.0",,"16,384.6",,
IA,Des Moines Area Regional Transit Authority(DART),7010,Agency,N,VP,DO,96,108,,0.0 ,,"1,939.5",,"1,939.5",,47.7,,47.7,,282.0,,"11,933.2",,
,,,,,Total,,223,264,,"2,185.5",,"5,603.0",,"5,148.2",,313.2,,281.8,,"4,333.9",,"30,011.6",,
IA,Iowa City Transit(ICT),7018,City,N,MB,DO,21,28,,715.8,,743.1,,714.1,,58.9,,56.7,,"1,947.5",,"3,992.6",,
IA,Johnson County SEATS(SEATS),7045,City,Y,DR,DO,19,,,,,,,421.5,,,,37.7,,112.6,,,,
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Agency,N,DR,DO,15,17,,0.0 ,,364.1,,319.2,,28.4,,26.2,,72.3,,453.1,,
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Agency,N,DR,PT,3,4,,0.0 ,,164.6,,164.6,,4.8,,4.8,,13.0,,99.1,,
IA,Metropolitan Transit Authority of Black Hawk County(MET Transit),7013,Agency,N,MB,DO,12,18,,610.2,,603.0,,564.2,,39.8,,37.0,,456.9,,468.7,Q,
,,,,,Total,,30,39,,610.2,,"1,131.7",,"1,048.0",,73.0,,68.0,,542.2,,"1,020.8",,
IA,Sioux City Transit System(SCTS),7012,City,N,DR,PT,10,12,,0.0 ,,241.5,,210.4,,20.5,,16.5,,40.0,,394.6,,
IA,Sioux City Transit System(SCTS),7012,City,N,MB,DO,21,23,,618.2,,627.6,,615.1,,49.9,,48.7,,"1,197.2",,"5,985.9",Q,
,,,,,Total,,31,35,,618.2,,869.1,,825.5,,70.4,,65.3,,"1,237.2",,"6,380.5",,
IA,University of Iowa(Cambus),7019,University,N,DR,DO,3,4,,0.0 ,,61.9,,59.0,,9.9,,9.7,,9.9,,33.7,,
IA,University of Iowa(Cambus),7019,University,N,MB,DO,25,30,,783.0,,814.3,,769.1,,74.5,,73.0,,"4,051.6",,"4,916.0",,
,,,,,Total,,28,34,,783.0,,876.2,,828.1,,84.4,,82.6,,"4,061.5",,"4,949.7",,
ID,City of Pocatello - Pocatello Regional Transit(PRT),0022,City,Y,DR,DO,17,,,,,,,516.4,,,,31.9,,101.5,,,,
ID,City of Pocatello - Pocatello Regional Transit(PRT),0022,City,Y,MB,DO,10,,,,,,,309.1,,,,21.4,,373.6,,,,
,,,,,Total,,27,,,,,,,825.5,,,,53.3,,475.1,,,,
ID,Targhee Regional Public Transit Authority(TRPTA),0042,Agency,Y,DR,DO,20,,,,,,,505.4,,,,34.7,,84.0,,,,
ID,Targhee Regional Public Transit Authority(TRPTA),0042,Agency,Y,MB,DO,4,,,,,,,133.1,,,,12.2,,50.9,,,,
,,,,,Total,,24,,,,,,,638.5,,,,46.9,,134.9,,,,
ID,Valley Regional Transit(VRT),0011,Agency,N,DR,DO,15,16,,0.0 ,,339.9,Q,290.4,Q,31.0,Q,27.8,Q,39.5,,279.4,,
ID,Valley Regional Transit(VRT),0011,Agency,N,MB,DO,36,53,,"1,288.0",,"1,458.8",,"1,294.3",,94.3,,86.5,,"1,630.0",,"10,294.8",,
,,,,,Total,,51,69,,"1,288.0",,"1,798.7",,"1,584.6",,125.3,,114.3,,"1,669.5",,"10,574.2",,
IL,Bloomington-Normal Public Transit System(B-NPTS),5047,Agency,N,DR,DO,11,12,,0.0 ,,299.4,,249.5,,21.5,,19.2,,41.6,,250.1,,
IL,Bloomington-Normal Public Transit System(B-NPTS),5047,Agency,N,MB,DO,23,32,,"1,275.0",,"1,325.0",,"1,282.6",,93.2,,90.8,,"1,807.7",,"5,595.8",,
,,,,,Total,,34,44,,"1,275.0",,"1,624.4",,"1,532.2",,114.7,,110.1,,"1,849.2",,"5,845.9",,
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Agency,N,DR,DO,12,16,,0.0 ,,326.8,,293.6,,33.5,,31.1,,151.4,,497.6,,
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Agency,N,DR,PT,5,8,,0.0 ,,190.1,,178.8,,13.9,,12.1,,21.2,,78.2,,
IL,Champaign-Urbana Mass Transit District(C-U MTD),5060,Agency,N,MB,DO,93,99,,"2,815.3",,"2,916.8",,"2,790.8",,262.4,,252.3,,"10,470.8",,"16,858.0",,
,,,,,Total,,110,123,,"2,815.3",,"3,433.8",,"3,263.1",,309.8,,295.5,,"10,643.4",,"17,433.8",,
IL,Chicago Transit Authority(CTA),5066,Agency,N,HR,DO,972,1200,,"64,752.8",,"64,863.4",,"64,340.2",,"3,803.3",,"3,504.3",,"221,587.2",,"1,408,768.4",,
IL,Chicago Transit Authority(CTA),5066,Agency,N,MB,DO,"1,527",1781,,"52,317.1",,"58,397.1",,"52,405.0",,"6,084.9",,"5,638.2",,"310,381.4",,"712,866.9",,
,,,,,Total,,"2,499",2981,,"117,069.9",,"123,260.4",,"116,745.2",,"9,888.2",,"6,241.4",,"531,968.6",,"2,121,635.2",,
IL,City of Danville/Danville Mass Transit(DMT),5174,City,N,DR,PT,2,3,,0.0 ,,34.8,,34.8,,2.3,,2.3,,10.9,,35.8,,
IL,City of Danville/Danville Mass Transit(DMT),5174,City,N,DR,DO,1,4,,0.0 ,,4.3,,2.7,,0.6,,0.2,,2.0,,3.8,,
IL,City of Danville/Danville Mass Transit(DMT),5174,City,N,MB,DO,10,14,,554.3,,555.2,,552.2,,29.9,,29.5,,583.3,,"2,954.4",,
