State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,, Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles Traveled,,
AR,Ozark Regional Transit (ORT),6072,A,MB,DO,11,26.0,,379.1,,411.3,,376.1,,24.5,,23.2,,127.4,,739.0,,
,,,,Total,,23,55.0,,379.1,,666.5,,582.7,,40.9,,37.7,,153.2,,"1,059.3",,
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,DR,DO,4,5.0,,0.0,,47.6,,32.3,,7.1,,5.9,,8.6,,20.7,,
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,MB,DO,14,21.0,,276.9,,291.9,,279.7,,28.5,,27.9,,"1,272.0",,"1,526.4",,
,,,,Total,,18,26.0,,276.9,,339.5,,311.9,,35.6,,33.8,,"1,280.6",,"1,547.1",,
AZ,City of Glendale Transit,9034,B,DR,DO,14,18.0,,0.0,,429.2,,396.2,,32.4,,29.4,,84.1,,462.7,,
AZ,City of Glendale Transit,9034,B,MB,DO,6,10.0,,262.0,,265.3,,263.5,,20.1,,19.5,,199.1,,560.0,,
,,,,Total,,20,28.0,,262.0,,694.5,,659.7,,52.4,,48.9,,283.2,,"1,022.8",,
AZ,City of Phoenix Public Transit Department dba Valley Metro (Valley Metro),9032,B,DR,DO,32,42.0,,0.0,,735.8,,532.2,,60.7,,44.0,,154.6,,947.4,,
AZ,City of Phoenix Public Transit Department dba Valley Metro (Valley Metro),9032,B,DR,PT,100,123.0,,0.0,,"4,906.8",,"4,205.8",,346.8,,287.9,,410.7,,"3,951.3",,
AZ,City of Phoenix Public Transit Department dba Valley Metro (Valley Metro),9032,B,MB,PT,413,506.0,,"18,224.9",,"21,640.0",,"18,216.1",,"1,553.2",,"1,384.6",,"50,025.3",,"184,040.0",,
,,,,Total,,545,671.0,,"18,224.9",,"27,282.7",,"22,954.1",,"1,960.8",,"1,716.5",,"50,590.6",,"188,938.6",,
AZ,City of Tempe Transportation Planning and Transit Division - dba Valley Metro (TIM - Tempe in Motion),9172,B,MB,PT,91,122.0,,"4,566.5",,"5,232.8",,"4,547.3",,399.4,,369.3,,"6,919.8",,"21,610.2",,
AZ,City of Tucson (COT),9033,A,DR,DO,94,126.0,,0.0,,"3,706.5",,"3,054.8",,289.0,,245.6,,439.8,,"2,959.6",,
AZ,City of Tucson (COT),9033,A,MB,DO,163,199.0,,"7,057.0",,"8,011.1",,"7,049.8",,594.1,,553.9,,"17,765.7",,"66,236.8",,
,,,,Total,,257,325.0,,"7,057.0",,"11,717.6",,"10,104.6",,883.2,,799.5,,"18,205.4",,"69,196.4",,
AZ,Coconino County Transportation Services (Mountain Line/Lift),9180,A,DR,DO,7,12.0,,0.0,,123.1,Q,109.1,,11.4,Q,9.0,,22.3,,129.0,,
AZ,Coconino County Transportation Services (Mountain Line/Lift),9180,A,MB,DO,8,14.0,,520.9,,556.3,Q,520.9,,36.2,Q,35.0,,731.4,,"1,828.4",,
,,,,Total,,15,26.0,,520.9,,679.4,,629.9,,47.6,,43.9,,753.7,,"1,957.4",,
AZ,Maricopa County Special Transportation Services (MCHSD),9132,A,DR,DO,36,62.0,,0.0,,809.3,,714.4,,57.5,,49.5,,91.1,,595.7,,
AZ,Peoria Transit,9140,A,DR,DO,10,11.0,,0.0,,231.3,Q,216.9,Q,13.6,Q,11.7,Q,47.2,,210.1,,
AZ,"Phoenix - VPSI, Inc.",9169,D,VP,DO,310,335.0,,0.0,,"5,313.7",,"5,313.7",,133.5,,133.5,,"1,163.2",,"30,552.4",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",9136,B,DR,PT,51,60.0,,0.0,,"2,333.1",,"1,889.2",,162.5,,125.5,,214.7,,"1,998.1",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",9136,B,MB,PT,124,155.0,,"5,309.8",,"6,790.5",,"5,305.0",,429.6,,361.0,,"6,500.2",,"37,896.2",,
,,,,Total,,175,215.0,,"5,309.8",,"9,123.5",,"7,194.3",,592.1,,486.5,,"6,714.9",,"39,894.3",,
AZ,Surprise Dial-A-Ride Transit System,9137,A,DR,DO,7,7.0,,0.0,,133.0,,68.1,,11.1,,8.0,,17.3,,89.1,,
AZ,Yuma Metropolitan Planning Organization (YMPO),9192,B,DR,PT,11,13.0,,0.0,,510.5,,493.0,,46.7,,45.9,,60.1,,512.6,,
AZ,Yuma Metropolitan Planning Organization (YMPO),9192,B,MB,PT,9,12.0,,544.8,,568.4,,544.8,,29.4,,28.2,,253.1,,"1,517.8",,
,,,,Total,,20,25.0,,544.8,,"1,078.8",,"1,037.8",,76.1,,74.1,,313.1,,"2,030.4",,
CA,Access Services Incorporated (ASI),9157,E,DR,PT,561,633.0,,0.0,,"31,570.1",,"24,500.6",,"1,601.2",,"1,333.9",,"2,420.8",,"30,763.4",,
CA,Alameda-Contra Costa Transit District (AC Transit),9014,B,DR,PT,119,162.0,,0.0,,"4,748.0",,"3,990.0",,310.8,,254.9,,444.5,,"4,006.9",,
CA,Alameda-Contra Costa Transit District (AC Transit),9014,B,MB,DO,532,678.0,,"21,581.2",,"25,121.8",,"21,562.6",,"1,981.5",,"1,822.2",,"66,970.3",,"204,207.6",,
,,,,Total,,651,840.0,,"21,581.2",,"29,869.8",,"25,552.6",,"2,292.2",,"2,077.1",,"67,414.7",,"208,214.6",,
CA,Altamont Commuter Express (ACE),9182,B,CR,PT,18,20.0,,780.2,,781.3,,780.2,,19.8,,19.7,,706.9,,"33,612.7",,
CA,Anaheim Transportation Network (ATN),9211,B,MB,PT,31,36.0,,765.4,,602.0,,553.1,,102.2,,84.9,,"3,845.7",,0.0,W,
CA,Antelope Valley Transit Authority (AVTA),9121,B,DR,PT,11,14.0,,0.0,,318.0,,265.2,,19.7,,16.4,,34.8,,401.6,,
CA,Antelope Valley Transit Authority (AVTA),9121,B,MB,PT,57,71.0,,"2,583.1",,"2,827.4",,"2,524.3",,159.1,,145.6,,"3,008.0",,"37,281.1",,
,,,,Total,,68,85.0,,"2,583.1",,"3,145.4",,"2,789.4",,178.9,,162.0,,"3,042.8",,"37,682.7",,
CA,Butte County Association of Governments (BCAG),9208,B,DR,PT,20,21.0,,0.0,,554.6,,493.3,,54.5,,42.2,,132.6,,697.3,,
CA,Butte County Association of Governments (BCAG),9208,B,MB,PT,25,32.0,,"1,050.9",,"1,103.0",Q,"1,050.9",Q,73.5,Q,66.9,Q,"1,074.1",,"5,393.1",,
,,,,Total,,45,53.0,,"1,050.9",,"1,657.6",,"1,544.1",,128.0,,109.1,,"1,206.7",,"6,090.4",,
CA,Central Contra Costa Transit Authority (County Connection),9078,B,DR,PT,51,56.0,,0.0,,"1,620.2",,"1,319.7",,99.0,,82.4,,159.5,,"1,627.0",,
CA,Central Contra Costa Transit Authority (County Connection),9078,B,MB,DO,106,131.0,,"3,228.5",,"4,218.8",,"3,222.0",,299.1,,259.8,,"4,221.2",,"16,028.8",,
,,,,Total,,157,187.0,,"3,228.5",,"5,839.0",,"4,541.7",,398.1,,342.2,,"4,380.7",,"17,655.7",,
CA,Chula Vista Transit (CVT),9193,B,MB,PT,31,37.0,,"1,326.1",,"1,431.8",,"1,325.1",,122.0,,117.5,,"3,357.7",,"10,869.6",,
CA,City of Alameda Ferry Services,9150,B,FB,PT,3,4.0,,77.9,,86.7,,77.9,,7.3,,6.8,,577.4,,"3,883.3",,
CA,City of Arcadia Transit (Arcadia Transit),9044,B,DR,PT,16,18.0,,0.0,,297.3,,261.7,,28.1,,25.6,,119.2,,319.5,,
CA,City of Benicia (Benicia Breeze),9174,B,DR,PT,2,8.0,,0.0,,57.6,,47.5,,5.0,,4.2,,6.8,,89.3,,
CA,City of Benicia (Benicia Breeze),9174,B,MB,PT,7,11.0,,347.9,,399.5,Q,333.1,,23.1,,19.4,,145.7,,683.7,,
,,,,Total,,9,19.0,,347.9,,457.1,,380.6,,28.0,,23.6,,152.6,,773.0,,
CA,City of Commerce Municipal Buslines (CBL),9043,A,DR,DO,5,6.0,,0.0,,68.0,Q,63.9,,4.8,Q,4.3,,7.8,,42.1,,
CA,City of Commerce Municipal Buslines (CBL),9043,A,MB,DO,6,9.0,,254.5,,258.0,Q,254.5,,19.5,Q,18.1,,652.0,,"2,604.7",,
,,,,Total,,11,15.0,,254.5,,326.0,,318.4,,24.3,,22.4,,659.7,,"2,646.8",,
CA,City of Corona,9052,B,DR,PT,7,9.0,,0.0,,190.7,Q,182.4,Q,14.1,Q,13.1,Q,57.6,,308.4,,
CA,City of Corona,9052,B,MB,PT,4,5.0,,207.7,,218.3,Q,206.4,Q,19.2,Q,18.0,Q,150.9,,594.0,,
,,,,Total,,11,14.0,,207.7,,409.0,,388.8,,33.3,,31.2,,208.6,,902.5,,
CA,City of Elk Grove (etran),9205,B,DR,PT,4,6.0,,0.0,,218.4,Q,121.6,Q,10.4,Q,7.9,Q,23.0,Q,294.8,Q,
CA,City of Elk Grove (etran),9205,B,MB,PT,32,40.0,,"1,040.3",,"1,121.7",Q,"1,028.1",Q,59.3,Q,53.2,Q,953.9,Q,"3,520.5",Q,
,,,,Total,,36,46.0,,"1,040.3",,"1,340.2",,"1,149.7",,69.7,,61.2,,976.9,,"3,815.3",,
CA,City of Fairfield - Fairfield and Suisun Transit (FST),9092,B,DR,PT,10,14.0,,0.0,,295.9,Q,283.3,,21.8,,18.7,,31.3,,168.6,,
