State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,, Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles Traveled,,
FL,Hernando County Board of County Commissioners (The Bus),4146,B,MB,PT,6,10.0,,307.3,,332.7,,307.3,,18.2,,17.4,,140.4,,547.8,,
,,,,Total,,21,28.0,,307.3,,601.1,,551.8,,30.9,,28.9,,174.5,,926.3,,
FL,Hillsborough Area Regional Transit Authority (HART),4041,B,DR,DO,28,32.0,,0.0,,996.0,,876.9,,62.5,,56.0,,82.4,,622.1,,
FL,Hillsborough Area Regional Transit Authority (HART),4041,B,LR,DO,8,10.0,,85.6,,88.7,,87.1,,18.3,,18.0,,562.3,,862.2,,
FL,Hillsborough Area Regional Transit Authority (HART),4041,B,MB,DO,166,197.0,,"7,398.5",,"8,333.5",,"7,393.6",,628.5,,588.6,,"12,209.0",,"61,790.2",,
FL,Hillsborough Area Regional Transit Authority (HART),4041,B,VP,PT,33,35.0,,0.0,,654.3,,654.3,,16.1,,16.1,,80.8,,"3,330.3",,
,,,,Total,,235,274.0,,"7,484.1",,"10,072.5",,"9,011.9",,725.3,,678.7,,"12,934.6",,"66,604.8",,
FL,Jacksonville Transportation Authority (JTA),4040,B,AG,DO,7,10.0,,255.5,,255.5,,254.2,,19.4,,19.0,,619.4,,255.9,,
FL,Jacksonville Transportation Authority (JTA),4040,B,DR,PT,122,129.0,,0.0,,"4,114.3",,"3,639.8",,259.4,,235.9,,402.2,,"3,842.8",,
FL,Jacksonville Transportation Authority (JTA),4040,B,MB,DO,179,183.0,,"9,689.2",,"10,014.7",,"9,638.8",,660.1,,633.5,,"10,171.2",,"59,798.5",,
,,,,Total,,308,322.0,,"9,944.8",,"14,384.5",,"13,532.8",,938.8,,888.4,,"11,192.8",,"63,897.2",,
FL,Lake County Board of County Commissioners (LCBOCC),4158,B,DR,PT,65,71.0,,0.0,,"2,222.4",,"1,953.0",,141.7,,127.6,,229.1,,"1,953.0",,
FL,Lake County Board of County Commissioners (LCBOCC),4158,B,MB,PT,5,6.0,,98.4,,99.9,Q,98.4,Q,6.3,Q,6.2,Q,33.0,,0.0,W,
,,,,Total,,70,77.0,,98.4,,"2,322.3",,"2,051.4",,148.0,,133.8,,262.1,,"1,953.0",Q,
FL,Lakeland Area Mass Transit District  (Citrus Connection),4031,A,DR,DO,13,16.0,,0.0,,509.1,,456.8,,37.1,,33.3,,111.5,,"1,105.1",,
FL,Lakeland Area Mass Transit District  (Citrus Connection),4031,A,MB,DO,25,40.0,,"1,457.6",,"1,475.6",,"1,457.9",,90.4,,89.6,,"1,515.9",,"8,140.5",,
,,,,Total,,38,56.0,,"1,457.6",,"1,984.7",,"1,914.8",,127.5,,122.9,,"1,627.4",,"9,245.6",,
FL,Lee County Transit (LeeTran),4028,B,DR,DO,41,44.0,,0.0,,"1,357.9",,"1,163.5",,96.3,,79.2,,136.3,,"1,809.3",,
FL,Lee County Transit (LeeTran),4028,B,MB,DO,51,60.0,,"3,020.4",,"3,152.7",Q,"3,018.4",Q,196.5,Q,186.3,Q,"3,037.2",,"15,732.7",,
FL,Lee County Transit (LeeTran),4028,B,VP,PT,6,7.0,,0.0,,132.5,,132.5,,3.1,,3.1,,23.2,,812.6,,
,,,,Total,,98,111.0,,"3,020.4",,"4,643.0",,"4,314.4",,295.9,,268.7,,"3,196.8",,"18,354.6",,
FL,Manatee County Area Transit (MCAT),4026,A,DR,DO,22,27.0,,0.0,,368.2,,336.8,,24.1,,22.2,,49.9,,493.5,,
FL,Manatee County Area Transit (MCAT),4026,A,MB,DO,18,34.0,,"1,070.0",,"1,134.3",,"1,070.0",,80.9,,77.7,,"1,558.9",,"6,849.5",,
,,,,Total,,40,61.0,,"1,070.0",,"1,502.5",,"1,406.8",,105.0,,99.9,,"1,608.8",,"7,343.0",,
FL,"Miami Lakes - VPSI, Inc.",4152,D,VP,DO,167,181.0,,0.0,,"2,466.3",,"2,466.3",,63.0,,63.0,,480.1,,"10,787.4",,
FL,Miami-Dade Transit (MDT),4034,B,AG,DO,20,28.0,,965.2,,948.9,,934.9,,93.0,,91.7,,"8,622.7",,"8,840.1",,
FL,Miami-Dade Transit (MDT),4034,B,DR,PT,301,388.0,,0.0,,"15,341.8",,"13,948.7",,"1,012.5",,950.8,,"1,678.0",,"24,268.2",,
FL,Miami-Dade Transit (MDT),4034,B,HR,DO,98,130.0,,"8,898.7",,"8,603.4",,"8,354.4",,389.0,,359.3,,"17,504.7",,"134,407.8",,
FL,Miami-Dade Transit (MDT),4034,B,MB,DO,839,"1,062.0",,"36,893.5",,"42,016.1",,"35,654.4",,"3,201.4",,"2,923.0",,"83,458.4",,"427,626.9",,
,,,,Total,,"1,258","1,608.0",,"46,757.4",,"66,910.1",,"58,892.5",,"4,695.9",,"4,016.3",,"111,263.9",,"595,143.1",,
FL,Okaloosa County Board of County Commissioners,4128,B,DR,PT,34,37.0,,0.0,,809.4,,705.8,,50.7,,44.4,,90.1,,614.9,,
FL,Okaloosa County Board of County Commissioners,4128,B,MB,PT,14,17.0,,488.9,,506.7,,488.9,,39.3,,38.2,,169.4,,811.2,,
,,,,Total,,48,54.0,,488.9,,"1,316.2",,"1,194.8",,90.0,,82.6,,259.5,,"1,426.0",,
FL,Pasco County Public Transportation (PCPT),4074,B,DR,PT,26,46.0,,0.0,,289.8,,289.8,,16.3,,16.3,,47.0,,289.8,,
FL,Pasco County Public Transportation (PCPT),4074,B,DR,DO,9,19.0,,0.0,,136.2,,105.2,,8.0,,6.5,,19.8,,147.3,,
FL,Pasco County Public Transportation (PCPT),4074,B,MB,DO,16,29.0,,"1,016.1",,"1,104.1",,"1,016.0",,64.3,,60.8,,961.4,,"6,533.8",,
,,,,Total,,51,94.0,,"1,016.1",,"1,530.1",,"1,411.0",,88.6,,83.6,,"1,028.1",,"6,970.9",,
FL,Pinellas Suncoast Transit Authority (PSTA),4027,B,DR,PT,165,186.0,,0.0,,"3,939.6",,"3,350.3",,132.6,,111.7,,256.3,,"2,279.1",,
FL,Pinellas Suncoast Transit Authority (PSTA),4027,B,MB,PT,4,5.0,,53.3,,62.4,,57.8,,6.6,,6.3,,109.1,,194.5,,
FL,Pinellas Suncoast Transit Authority (PSTA),4027,B,MB,DO,171,205.0,,"8,982.1",,"10,247.6",,"8,969.8",,659.2,,609.3,,"11,298.3",,"55,361.5",,
,,,,Total,,340,396.0,,"9,035.4",,"14,249.6",,"12,377.9",,798.3,,727.2,,"11,663.8",,"57,835.1",,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners (PCTS),4127,B,DR,PT,3,3.0,,0.0,,6.2,,4.7,,0.4,,0.3,,1.0,,5.0,,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners (PCTS),4127,B,DR,DO,10,10.0,,0.0,,100.1,,30.4,,5.4,,2.7,,13.1,,44.6,,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners (PCTS),4127,B,MB,DO,19,37.0,,741.3,,865.8,,626.9,,39.8,,33.5,,557.1,,"1,363.0",,
,,,,Total,,32,50.0,,741.3,,972.1,,662.0,,45.6,,36.4,,571.2,,"1,412.6",,
FL,Sarasota County Area Transit (SCAT),4046,B,DR,PT,42,48.0,,0.0,,"1,444.4",,"1,148.6",,102.6,,75.8,,145.5,,"1,628.2",,
FL,Sarasota County Area Transit (SCAT),4046,B,DR,DO,24,35.0,,0.0,,663.7,,464.6,,58.2,,41.2,,87.2,,901.6,,
FL,Sarasota County Area Transit (SCAT),4046,B,MB,DO,40,49.0,,"2,166.0",,"2,329.8",Q,"2,161.1",,154.7,,147.3,,"2,194.6",,"10,531.9",,
,,,,Total,,106,132.0,,"2,166.0",,"4,437.9",,"3,774.4",,315.6,,264.3,,"2,427.3",,"13,061.7",,
FL,"Senior Resource Association, Inc. (SRA)",4104,A,DR,DO,25,34.0,,0.0,,384.2,,361.5,,30.3,,29.4,,54.3,,632.8,,
FL,"Senior Resource Association, Inc. (SRA)",4104,A,MB,DO,10,15.0,,196.3,,200.1,,193.1,,19.3,,18.9,,276.1,,"1,190.1",,
,,,,Total,,35,49.0,,196.3,,584.3,,554.6,,49.7,,48.2,,330.5,,"1,822.9",,
FL,South Florida Regional Transportation Authority (TRI-Rail),4077,B,CR,PT,34,44.0,,"2,576.5",,"2,641.7",,"2,559.0",,68.2,,64.5,,"3,408.5",,"107,980.8",,
FL,South Florida Regional Transportation Authority (TRI-Rail),4077,B,MB,PT,17,20.0,,405.9,,610.3,,402.7,,53.2,,45.6,,301.4,,838.0,,
,,,,Total,,51,64.0,,"2,982.4",,"3,252.0",,"2,961.6",,121.4,,67.5,,"3,709.9",,"108,818.8",,
FL,Space Coast Area Transit (SCAT),4063,B,DR,DO,35,41.0,,0.0,,796.7,,628.3,,61.2,,51.2,,139.5,,"1,534.5",,
FL,Space Coast Area Transit (SCAT),4063,B,DR,PT,70,73.0,,0.0,,"1,070.2",,"1,058.3",,57.9,,57.6,,323.1,,"8,963.7",,
FL,Space Coast Area Transit (SCAT),4063,B,MB,DO,19,27.0,,"1,200.0",,"1,239.5",,"1,198.9",,61.9,,60.4,,"1,021.1",,"5,554.8",,
FL,Space Coast Area Transit (SCAT),4063,B,VP,PT,38,43.0,,0.0,,"1,001.3",,"1,001.3",,21.0,,21.0,,134.5,,"7,329.0",,
,,,,Total,,162,184.0,,"1,200.0",,"4,107.7",,"3,886.8",,202.0,,190.2,,"1,618.3",,"23,382.0",,
FL,"St Johns County, Florida,  Board of County Commissioners (St Johns County)",4155,B,DR,PT,5,36.0,,0.0,,111.5,,87.7,,8.2,,6.9,,16.1,,113.7,,
FL,"St Johns County, Florida,  Board of County Commissioners (St Johns County)",4155,B,MB,PT,6,9.0,,380.7,,401.0,,380.7,,18.4,,17.5,,105.1,,737.4,,
,,,,Total,,11,45.0,,380.7,,512.5,,468.3,,26.6,,24.5,,121.2,,851.1,,
FL,"Tri-County Community Council, Inc. (TCCC)",4148,A,DR,DO,35,38.0,,0.0,,527.1,,512.5,,32.9,,32.0,,132.2,,558.1,,
GA,Albany Transit System (ATS),4021,A,DR,DO,4,5.0,,0.0,,142.2,,131.1,,9.9,,9.3,,23.3,,103.5,,
GA,Albany Transit System (ATS),4021,A,MB,DO,7,12.0,,534.4,,541.0,,535.9,,33.9,,32.3,,766.4,,"3,678.7",,
,,,,Total,,11,17.0,,534.4,,683.2,,667.0,,43.8,,41.6,,789.7,,"3,782.2",,
GA,Athens Transit System (ATS),4047,A,DR,DO,3,4.0,,0.0,,77.7,,73.1,,7.3,,6.2,,9.0,,48.1,,
GA,Athens Transit System (ATS),4047,A,MB,DO,20,26.0,,779.5,,816.2,,779.5,,69.9,,67.5,,"1,527.7",,"5,056.6",,
,,,,Total,,23,30.0,,779.5,,893.9,,852.6,,77.2,,73.7,,"1,536.7",,"5,104.7",,
GA,Augusta Richmond County Transit Department (APT),4023,A,DR,DO,6,8.0,,0.0,,115.0,,102.6,,13.9,,12.6,,17.4,,73.5,,
GA,Augusta Richmond County Transit Department (APT),4023,A,MB,DO,12,22.0,,548.9,,572.1,Q,544.4,Q,44.6,Q,41.4,Q,861.9,,"4,601.5",,
,,,,Total,,18,30.0,,548.9,,687.0,,647.0,,58.5,,54.0,,879.3,,"4,675.1",,
GA,Chatham Area Transit Authority (CAT),4025,B,DR,PT,14,15.0,,0.0,,540.5,Q,526.4,Q,45.0,Q,43.0,Q,68.1,,567.8,,
GA,Chatham Area Transit Authority (CAT),4025,B,FB,DO,2,3.0,,15.9,,15.9,,15.9,,9.8,,9.8,,459.5,Q,142.5,Q,
GA,Chatham Area Transit Authority (CAT),4025,B,MB,DO,45,55.0,,"2,490.9",,"2,664.4",,"2,555.8",,195.0,,187.0,,"3,794.7",,"12,744.8",,
,,,,Total,,61,73.0,,"2,506.9",,"3,220.8",,"3,098.2",,249.8,,239.7,,"4,322.4",,"13,455.1",,
GA,City of Canton Transit,4142,A,MB,DO,3,6.0,,95.4,,93.2,Q,95.4,Q,3.9,Q,3.6,Q,57.0,Q,341.9,Q,
GA,City of Rome Transit Department (RTD),4058,A,DR,DO,4,4.0,,0.0,,109.5,,108.5,,8.8,,8.4,,22.6,,106.8,,
GA,City of Rome Transit Department (RTD),4058,A,MB,DO,24,28.0,,486.9,,488.5,,486.9,,38.1,,37.4,,630.1,,"4,360.3",,
,,,,Total,,28,32.0,,486.9,,598.0,,595.5,,46.9,,45.8,,652.7,,"4,467.0",,
GA,Clayton County Board of Commissioners (CTRAN),4157,B,DR,PT,5,8.0,,0.0,,254.8,,222.6,,17.3,,14.6,,21.2,,143.4,,
GA,Clayton County Board of Commissioners (CTRAN),4157,B,MB,PT,18,24.0,,"1,141.7",,"1,276.9",,"1,141.3",,91.2,,84.2,,"1,757.9",,"15,471.0",,
,,,,Total,,23,32.0,,"1,141.7",,"1,531.7",,"1,363.8",,108.5,,98.8,,"1,779.0",,"15,614.4",,
GA,Cobb County Department of Transportation Authority (CCT),4078,B,DR,PT,15,18.0,,0.0,,660.6,,568.7,,47.6,,40.1,,70.1,,995.1,,
GA,Cobb County Department of Transportation Authority (CCT),4078,B,MB,PT,75,95.0,,"3,163.8",,"3,618.2",,"3,155.3",,172.5,,156.0,,"4,637.1",,"39,722.8",,
,,,,Total,,90,113.0,,"3,163.8",,"4,278.8",,"3,724.0",,220.1,,196.0,,"4,707.2",,"40,717.9",,
GA,Douglas County Rideshare (Rideshare),4082,A,VP,DO,44,54.0,,0.0,,675.0,Q,633.0,,21.3,Q,19.3,,128.2,,"3,689.9",,
GA,Georgia Regional Transportation Authority (GRTA),4135,B,MB,PT,60,75.0,,"1,295.3",,"2,206.1",,"1,280.1",,114.5,,77.5,,"1,227.2",,"21,801.8",,
GA,Georgia Regional Transportation Authority (GRTA),4135,B,VP,DO,50,60.0,,0.0,,926.8,,926.8,,23.9,,23.9,,184.9,,"7,041.4",,
,,,,Total,,110,135.0,,"1,295.3",,"3,132.9",,"2,206.9",,138.4,,101.4,,"1,412.1",,"28,843.2",,
GA,Gwinnett County Board of Commissioners (GCT),4138,B,DR,PT,5,8.0,,0.0,,87.0,,67.0,,10.7,,8.3,,10.3,,53.9,,
GA,Gwinnett County Board of Commissioners (GCT),4138,B,MB,PT,67,86.0,,"2,406.9",,"3,427.3",,"2,505.2",,161.7,,137.2,,"2,130.9",,"44,998.8",,
,,,,Total,,72,94.0,,"2,406.9",,"3,514.3",,"2,572.2",,172.4,,145.6,,"2,141.2",,"45,052.8",,
GA,Macon-Bibb County Transit Authority (    ),4130,B,MB,DO,19,23.0,,"1,113.9",,"1,114.0",,"1,113.4",,77.7,,77.7,,"1,076.6",,"4,999.0",,
GA,"Marietta - VPSI, Inc.",4153,D,VP,DO,222,256.0,,0.0,,"3,665.8",,"3,665.8",,100.8,,100.8,,729.8,,"22,161.4",,
GA,Metra Transit System (Metra),4024,A,DR,DO,4,8.0,,0.0,,153.5,Q,150.5,Q,11.2,Q,10.9,Q,15.2,,126.5,,
GA,Metra Transit System (Metra),4024,A,MB,DO,16,32.0,,896.2,,897.6,Q,896.2,,61.1,Q,61.1,,"1,087.3",,"3,936.1",,
,,,,Total,,20,40.0,,896.2,,"1,051.1",,"1,046.7",,72.4,,72.1,,"1,102.5",,"4,062.5",,
GA,Metropolitan Atlanta Rapid Transit Authority (MARTA),4022,A,DR,DO,92,128.0,,0.0,,"5,513.6",,"4,389.4",,325.2,,248.0,,373.1,,"4,815.2",,
GA,Metropolitan Atlanta Rapid Transit Authority (MARTA),4022,A,HR,DO,182,264.0,,"24,321.6",,"22,838.1",,"21,993.5",,882.2,,833.2,,"77,685.9",,"541,418.8",,
GA,Metropolitan Atlanta Rapid Transit Authority (MARTA),4022,A,MB,DO,522,621.0,,"23,689.2",,"27,266.6",,"23,709.9",,"2,101.4",,"1,942.0",,"69,464.6",,"208,464.2",,
,,,,Total,,796,"1,013.0",,"48,010.8",,"55,618.3",,"50,092.8",,"3,308.9",,"2,355.3",,"147,523.5",,"754,698.2",,
HI,City and County of Honolulu Department of Transportation Services (DTS),9002,B,DR,PT,188,220.0,,0.0,,"5,666.7",,"4,608.3",,400.7,,322.5,,807.9,,"8,581.9",,
HI,City and County of Honolulu Department of Transportation Services (DTS),9002,B,MB,PT,424,531.0,,"18,079.5",,"21,075.5",,"17,923.7",,"1,481.6",,"1,354.6",,"71,749.5",,"316,939.3",,
,,,,Total,,612,751.0,,"18,079.5",,"26,742.2",,"22,532.0",,"1,882.3",,"1,677.1",,"72,557.3",,"325,521.2",,
HI,"Honolulu - VPSI, Inc.",9176,D,VP,DO,242,257.0,,0.0,,"3,313.6",,"3,313.6",,108.4,,108.4,,626.6,,"12,205.3",,
IA,Ames Transit Agency (CyRide),7041,B,DR,PT,3,11.0,,0.0,,37.9,,36.2,,3.4,,3.3,,11.5,,28.3,,
IA,Ames Transit Agency (CyRide),7041,B,MB,DO,46,59.0,,"1,038.1",,"1,107.3",,"1,059.2",,104.2,,99.8,,"4,302.6",,"6,118.3",,
,,,,Total,,49,70.0,,"1,038.1",,"1,145.2",,"1,095.4",,107.6,,103.1,,"4,314.2",,"6,146.6",,
IA,Bettendorf Transit System,7007,B,DR,PT,1,2.0,,0.0,,42.1,,30.5,,3.9,,3.5,,6.1,,25.5,,
IA,Bettendorf Transit System,7007,B,MB,PT,2,3.0,,16.1,,18.0,,16.1,,1.1,,1.0,,6.3,,19.2,,
IA,Bettendorf Transit System,7007,B,MB,DO,5,6.0,,296.2,,296.0,,296.0,,16.5,,16.5,,159.8,,641.4,,
,,,,Total,,8,11.0,,312.3,,356.0,,342.5,,21.5,,21.0,,172.1,,686.0,,
IA,Cedar Rapids Transit (FSTP),7008,B,DR,PT,33,53.0,,0.0,,500.8,,442.3,,34.8,,31.8,,106.8,,746.3,,
IA,Cedar Rapids Transit (FSTP),7008,B,MB,DO,28,59.0,,"1,068.4",,"1,068.3",,"1,038.5",,75.9,,73.9,,"1,104.3",,"4,638.3",,
,,,,Total,,61,112.0,,"1,068.4",,"1,569.1",,"1,480.8",,110.7,,105.7,,"1,211.1",,"5,384.6",,
IA,City of Dubuque (KeyLine),7011,A,DR,DO,9,10.0,,0.0,,272.2,,261.5,,23.4,,23.1,,90.0,,341.2,,
IA,City of Dubuque (KeyLine),7011,A,MB,DO,9,10.0,,310.3,,313.4,,307.1,,24.9,,24.6,,591.9,,"1,944.3",,
,,,,Total,,18,20.0,,310.3,,585.7,,568.6,,48.3,,47.6,,681.9,,"2,285.6",,
IA,Coralville Transit System,7030,B,DR,PT,2,3.0,,0.0,,76.5,,61.9,,5.0,,4.2,,11.6,,54.3,,
IA,Coralville Transit System,7030,B,MB,DO,7,9.0,,172.0,,182.5,,169.6,,15.0,,14.1,,488.6,,"1,919.8",,
,,,,Total,,9,12.0,,172.0,,259.0,,231.5,,19.9,,18.4,,500.2,,"1,974.1",,
IA,Davenport Public Transit (CITIBUS),7009,B,DR,PT,4,6.0,,0.0,,135.6,,114.8,,10.6,,9.8,,26.6,,89.2,,
IA,Davenport Public Transit (CITIBUS),7009,B,MB,DO,17,20.0,,706.1,,733.3,,706.1,,58.0,,55.7,,"1,045.6",,"4,077.4",,
,,,,Total,,21,26.0,,706.1,,868.9,,820.9,,68.6,,65.5,,"1,072.1",,"4,166.7",,
IA,Des Moines Area Regional Transit Authority (DART),7010,B,DR,PT,2,2.0,,0.0,,79.4,,79.4,,4.6,,4.6,,10.6,,79.5,,
IA,Des Moines Area Regional Transit Authority (DART),7010,B,DR,DO,23,35.0,,0.0,,914.1,,782.5,,65.3,,57.7,,199.3,,"1,842.6",,
IA,Des Moines Area Regional Transit Authority (DART),7010,B,MB,DO,89,126.0,,"2,145.2",,"2,466.6",,"2,146.2",,179.7,,156.8,,"3,891.2",,"17,706.3",,
IA,Des Moines Area Regional Transit Authority (DART),7010,B,VP,DO,79,88.0,,0.0,,"1,688.6",Q,"1,577.5",,39.0,Q,39.0,,249.1,,"10,333.8",,
,,,,Total,,193,251.0,,"2,145.2",,"5,148.7",,"4,585.6",,288.6,,258.1,,"4,350.2",,"29,962.1",,
IA,Iowa City Transit,7018,B,DR,PT,10,11.0,,0.0,,247.5,,201.2,,22.1,,19.0,,73.1,,209.6,,
IA,Iowa City Transit,7018,B,MB,DO,21,25.0,,669.3,,688.5,,669.9,,52.9,,51.9,,"1,676.4",,"4,149.6",,
,,,,Total,,31,36.0,,669.3,,936.0,,871.1,,74.9,,70.9,,"1,749.4",,"4,359.2",,
IA,Metropolitan Transit Authority of Black Hawk County,7013,B,DR,PT,3,4.0,,0.0,,157.1,,157.1,,4.8,,4.8,,14.6,,95.9,,
IA,Metropolitan Transit Authority of Black Hawk County,7013,B,DR,DO,15,16.0,,0.0,,301.5,Q,234.7,Q,28.8,Q,17.8,Q,70.7,,297.7,,
IA,Metropolitan Transit Authority of Black Hawk County,7013,B,MB,DO,12,19.0,,538.0,,535.6,Q,517.7,Q,34.3,Q,32.1,Q,390.8,,517.7,,
,,,,Total,,30,39.0,,538.0,,994.2,,909.5,,67.9,,54.7,,476.1,,911.3,,
IA,Sioux City Transit System (SCTS),7012,B,DR,PT,5,13.0,,0.0,,116.3,,99.9,,15.6,,13.4,,37.1,,199.6,,
IA,Sioux City Transit System (SCTS),7012,B,MB,DO,14,23.0,,511.8,,538.7,Q,512.5,Q,42.1,Q,38.8,Q,915.1,,"2,296.8",,
,,,,Total,,19,36.0,,511.8,,655.0,,612.4,,57.7,,52.2,,952.1,,"2,496.3",,
IA,University of Iowa (Cambus),7019,A,DR,DO,3,4.0,,0.0,,58.7,,56.4,,9.6,,9.5,,10.5,,33.5,,
IA,University of Iowa (Cambus),7019,A,MB,DO,23,28.0,,683.4,,709.9,,680.8,,66.0,,64.9,,"3,696.5",,"4,453.5",,
,,,,Total,,26,32.0,,683.4,,768.6,,737.1,,75.7,,74.5,,"3,707.0",,"4,487.0",,
ID,City of Pocatello - Pocatello Regional Transit (PRT),0022,A,DR,DO,17,21.0,,0.0,,496.4,,377.0,,32.5,,26.8,,76.7,Q,426.5,Q,
ID,City of Pocatello - Pocatello Regional Transit (PRT),0022,A,MB,DO,9,15.0,,286.7,,293.2,,286.4,,23.1,,22.8,,409.2,,"2,005.1",,
,,,,Total,,26,36.0,,286.7,,789.6,,663.4,,55.6,,49.6,,485.9,,"2,431.6",,
ID,Valley Regional Transit (VRT),0011,B,DR,DO,9,9.0,,0.0,,278.0,,240.1,Q,17.0,,15.4,,36.6,,222.0,,
ID,Valley Regional Transit (VRT),0011,B,DR,PT,2,2.0,,0.0,,25.8,,18.7,,2.4,,2.1,,2.4,,14.7,,
ID,Valley Regional Transit (VRT),0011,B,MB,DO,24,30.0,,853.2,,967.4,,852.9,,75.0,,66.4,,934.6,,"3,439.4",,
ID,Valley Regional Transit (VRT),0011,B,MB,PT,11,14.0,,455.0,,514.4,,455.0,,23.3,,20.9,,125.7,,"1,352.6",,
,,,,Total,,46,55.0,,"1,308.1",,"1,785.7",,"1,566.7",,117.7,,104.9,,"1,099.4",,"5,028.7",,
IL,Bloomington-Normal Public Transit System (B-NPTS),5047,A,DR,DO,5,6.0,,0.0,,112.8,,111.9,,9.4,,9.1,,19.4,,93.5,,
IL,Bloomington-Normal Public Transit System (B-NPTS),5047,A,MB,DO,19,29.0,,"1,031.9",,"1,058.2",,"1,031.9",,72.1,,70.5,,"1,399.3",,"5,193.7",,
,,,,Total,,24,35.0,,"1,031.9",,"1,171.0",,"1,143.7",,81.5,,79.6,,"1,418.7",,"5,287.2",,
IL,Champaign-Urbana Mass Transit District (C-U MTD),5060,B,DR,DO,7,12.0,,0.0,,262.6,,231.8,,25.5,,23.9,,87.9,,129.3,,
IL,Champaign-Urbana Mass Transit District (C-U MTD),5060,B,DR,PT,10,12.0,,0.0,,99.1,,88.1,,12.6,,11.9,,34.9,,127.8,,
IL,Champaign-Urbana Mass Transit District (C-U MTD),5060,B,MB,DO,78,95.0,,"2,537.8",,"2,653.2",,"2,566.6",,219.1,,214.2,,"9,157.0",,"23,350.4",,
,,,,Total,,95,119.0,,"2,537.8",,"3,014.9",,"2,886.5",,257.2,,250.1,,"9,279.8",,"23,607.5",,
IL,Chicago Transit Authority (CTA),5066,A,HR,DO,"1,002","1,190.0",,"68,856.6",,"67,621.1",,"66,913.8",,"4,140.2",,"3,695.1",,"190,273.0",,"1,115,899.1",,
IL,Chicago Transit Authority (CTA),5066,A,MB,DO,"1,846","2,222.0",,"69,261.6",,"70,404.5",,"68,329.7",,"7,058.4",,"6,915.0",,"309,271.3",,"762,277.9",,
,,,,Total,,"2,848","3,412.0",,"138,118.2",,"138,025.6",,"135,243.5",,"11,198.6",,"7,580.5",,"499,544.3",,"1,878,177.0",,
IL,City of Danville/Danville Mass Transit (DMT),5174,B,DR,PT,2,5.0,,0.0,,22.9,,22.9,,1.7,,1.7,,7.7,,23.5,,
IL,City of Danville/Danville Mass Transit (DMT),5174,B,MB,DO,9,12.0,,302.1,,303.8,,301.0,,20.6,,20.5,,432.6,,"1,520.0",,
IL,City of Danville/Danville Mass Transit (DMT),5174,B,MB,PT,2,5.0,,127.1,,126.4,,126.1,,3.7,,3.6,,11.7,,399.6,,
,,,,Total,,13,22.0,,429.2,,453.1,,450.1,,25.9,,25.8,,452.0,,"1,943.1",,
IL,City of DeKalb (DSATS),5176,B,DR,PT,20,25.0,,0.0,,585.0,Q,556.5,Q,35.9,Q,33.8,Q,122.8,,"1,026.4",,
IL,Decatur Public Transit System (DPTS),5061,B,DR,PT,8,10.0,,0.0,,44.5,,44.5,,2.2,,2.2,,13.1,,58.8,,
IL,Decatur Public Transit System (DPTS),5061,B,DR,DO,6,6.0,,0.0,,132.8,,117.9,,11.6,,10.4,,20.1,,86.1,,
IL,Decatur Public Transit System (DPTS),5061,B,MB,DO,18,24.0,,918.8,,924.3,,916.0,,67.5,,66.6,,"1,125.5",,"3,747.8",,
,,,,Total,,32,40.0,,918.8,,"1,101.6",,"1,078.4",,81.3,,79.2,,"1,158.6",,"3,892.7",,
IL,Greater Peoria Mass Transit District (CityLink),5056,B,DR,PT,24,27.0,,0.0,,702.6,,644.3,,57.0,,51.1,,119.0,,"1,249.4",,
IL,Greater Peoria Mass Transit District (CityLink),5056,B,MB,DO,47,52.0,,"1,811.5",,"2,023.7",,"1,822.7",,140.9,,131.2,,"2,146.7",Q,"11,413.0",Q,
,,,,Total,,71,79.0,,"1,811.5",,"2,726.4",,"2,467.0",,197.9,,182.3,,"2,265.7",,"12,662.4",,
IL,Madison County Transit District (MCT),5146,B,DR,PT,36,39.0,,0.0,,"1,213.9",,"1,028.7",,71.7,,65.2,,142.7,,"1,328.0",,
IL,Madison County Transit District (MCT),5146,B,MB,PT,62,76.0,,"3,036.2",,"3,660.0",,"3,035.3",,189.1,,170.2,,"2,050.5",,"15,265.7",,
IL,Madison County Transit District (MCT),5146,B,VP,PT,91,113.0,,0.0,,"1,991.8",,"1,991.8",,45.1,,45.1,,301.7,,"13,836.9",,
,,,,Total,,189,228.0,,"3,036.2",,"6,865.6",,"6,055.7",,305.9,,280.5,,"2,494.9",,"30,430.5",,
IL,Northeast Illinois Regional Commuter Railroad Corporation (Metra),5118,A,CR,DO,"1,056","1,148.0",,"40,745.3",,"44,254.1",,"42,031.1",,"1,426.2",,"1,372.9",,"74,550.6",,"1,719,331.9",,
IL,Pace - Suburban Bus Division (PACE),5113,B,DR,PT,244,287.0,,0.0,,"4,644.3",,"3,936.8",,316.9,,273.6,,"1,090.8",,"6,108.6",,
