State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Los Angeles Cnty Small Op,9166-B,DRp,170,,173,,0.0 ,,"2,380.5 ",,"2,221.1 ",,185.1 ,,165.8 ,,754.9 ,,"3,152.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,53,,56,,"1,336.9 ",,"1,488.9 ",,"1,336.9 ",,119.3 ,,104.6 ,,"2,498.8 ",,"7,943.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,223,,229,,"1,336.9 ",,"3,869.4 ",,"3,558.0 ",,304.4 ,,270.4 ,,"3,253.7 ",,"11,096.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Los Angeles County Metro,9154-B,HR,58,,104,,"3,573.2 ",,"3,910.0 ",,"3,567.8 ",,207.0 ,,185.6 ,,"27,957.7 ",,"74,729.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LR,51,,69,,"4,673.2 ",,"4,709.9 ",,"4,658.5 ",,205.2 ,,196.0 ,,"29,859.6 ",,"208,824.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,"1,888",,"2,274",,"79,889.3 ",,"92,451.4 ",,"78,970.7 ",,"6,978.6 ",,"6,451.9 ",,"347,451.3 ",,"1,237,211.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,129,,152,,"6,817.4 ",,"8,279.6 ",,"6,684.3 ",,543.3 ,,490.4 ,,"11,550.2 ",,"33,957.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,"2,126",,"2,599",,"94,953.0 ",,"109,350.9 ",,"93,881.2 ",,"7,934.1 ",,"7,323.9 ",,"416,818.7 ",,"1,554,723.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Merced County Transit,9173-B,DRp,12,,20,,0.0 ,,505.7 ,,437.5 ,,27.5 ,,25.8 ,,142.8 ,,998.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,15,,25,,"1,064.1 ",,"1,029.7 ",,"1,020.0 ",,47.4 ,,46.0 ,,617.3 ,,"2,104.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,27,,45,,"1,064.1 ",,"1,535.4 ",,"1,457.6 ",,74.9 ,,71.8 ,,760.0 ,,"3,103.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Modesto Area Express,9007-B,DRp,12,,12,,0.0 ,,510.4 ,,510.4 ,,34.3 ,,34.3 ,,101.3 ,,618.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,35,,40,,"1,505.7 ",,"1,583.8 ",,"1,501.2 ",,116.5 ,,110.8 ,,"3,297.4 ",,"12,897.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,47,,52,,"1,505.7 ",,"2,094.3 ",,"2,011.6 ",,150.7 ,,145.0 ,,"3,398.7 ",,"13,516.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Montebello Bus Lines,9041-B,DR,3,,5,,0.0 ,,65.6 ,,60.8 ,,6.8 ,,6.3 ,,23.9 ,,59.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,46,,60,,"1,983.7 ",,"2,036.7 ",,"1,972.5 ",,178.0 ,,174.1 ,,"7,356.6 ",,"17,288.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,4,,4,,63.0 ,,73.4 ,,63.0 ,,7.2 ,,6.2 ,,80.3 ,,347.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,53,,69,,"2,046.7 ",,"2,175.7 ",,"2,096.2 ",,192.0 ,,186.6 ,,"7,460.8 ",,"17,695.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Monterey-Salinas Transit,9062-B,DRp,21,,24,,0.0 ,,837.3 ,,776.2 ,,36.9 ,,34.6 ,,110.3 ,,959.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,62,,71,,"2,390.4 ",,"2,628.6 ",,"2,390.4 ",,191.5 ,,177.1 ,,"3,967.3 ",,"21,017.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,5,,7,,188.0 ,,203.8 ,,188.0 ,,13.3 ,,12.3 ,,49.0 ,,316.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,88,,102,,"2,578.4 ",,"3,669.7 ",,"3,354.6 ",,241.7 ,,223.9 ,,"4,126.6 ",,"22,293.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Municipal Railway,9015-B,CC,26,,40,,556.4 ,,523.6 ,,523.6 ,,129.7 ,,129.7 ,,"9,206.3 ",,"10,546.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,86,,90,,0.0 ,,820.8 ,,820.8 ,,85.8 ,,85.8 ,,510.3 ,,"2,748.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LR,125,,172,,"4,518.3 ",,"4,314.2 ",Q,"4,314.2 ",,474.0 ,,474.0 ,,"41,610.1 ",,"108,793.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,372,,488,,"12,932.4 ",,"14,317.1 ",,"12,395.5 ",,"1,483.9 ",,"1,377.1 ",,"96,394.5 ",,"207,328.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TB,262,,330,,"7,362.2 ",,"7,352.9 ",,"7,064.9 ",,"1,048.6 ",,"1,014.6 ",,"78,461.0 ",,"113,991.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,871,,"1,120",,"25,369.3 ",,"27,328.6 ",Q,"25,119.0 ",,"3,221.9 ",,"3,081.2 ",,"226,182.2 ",,"443,407.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,N San Diego Cnty Transit,9030-B,CRp,20,,28,,"1,066.1 ",,"1,122.0 ",,"1,058.8 ",,29.9 ,,24.5 ,,"1,187.8 ",,"33,852.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,27,,32,,0.0 ,,"1,015.7 ",,934.0 ,,62.4 ,,55.0 ,,184.4 ,,"1,434.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,134,,153,,"8,192.4 ",,"8,662.6 ",,"8,159.3 ",,502.0 ,,477.2 ,,"11,197.2 ",,"69,046.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,181,,213,,"9,258.6 ",,"10,800.3 ",,"10,152.1 ",,594.3 ,,556.7 ,,"12,569.3 ",,"104,333.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Norwalk Transit System,9022-A,DR,4,,4,,0.0 ,,73.8 ,,66.7 ,,7.5 ,,6.8 ,,24.0 ,,71.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,15,,22,,830.0 ,,850.7 ,,822.3 ,,58.9 ,,57.2 ,,"1,440.4 ",,"5,362.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,19,,26,,830.0 ,,924.6 ,,889.0 ,,66.4 ,,64.0 ,,"1,464.4 ",,"5,433.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,OMNITRANS-Riverside,9029-B,DRp,63,,100,,0.0 ,,"3,304.4 ",,"2,479.3 ",,218.9 ,,179.9 ,,534.3 ,,"4,303.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,117,,142,,"6,467.0 ",,"6,881.9 ",,"6,424.3 ",,523.1 ,,495.0 ,,"14,262.2 ",,"86,877.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,4,,7,,465.6 ,,477.3 ,,462.1 ,,22.0 ,,21.1 ,,282.9 ,,"5,077.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,184,,249,,"6,932.7 ",,"10,663.6 ",,"9,365.7 ",,764.0 ,,696.0 ,,"15,079.4 ",,"96,258.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Orange County Transp Auth,9036-B,DRp,66,,93,,0.0 ,,778.1 ,,639.2 ,,51.8 ,,38.6 ,,98.4 ,,868.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,380,,479,,"17,395.5 ",,"21,124.6 ",,"17,401.2 ",,"1,475.7 ",,"1,350.0 ",,"55,526.7 ",,"196,260.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,446,,572,,"17,395.5 ",,"21,902.7 ",,"18,040.4 ",,"1,527.4 ",,"1,388.7 ",,"55,625.1 ",,"197,129.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Outreach & Escort,9160-F,DRp,248,,267,,0.0 ,,"7,398.6 ",,"7,398.6 ",,392.4 ,,392.4 ,,779.2 ,,"6,021.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Peninsula Corridor JPB,9134-B,CRp,93,,116,,"4,199.2 ",,"4,296.6 ",,"4,269.8 ",,134.1 ,,133.1 ,,"8,735.0 ",,"189,566.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Redding Area Bus Auth,9093-B,DRp,12,,20,,0.0 ,,320.4 ,,303.2 ,,22.0 ,,19.5 ,,50.6 ,,303.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,13,,22,,792.1 ,,837.0 ,,792.1 ,,51.1 ,,48.4 ,,878.8 ,,"3,809.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,25,,42,,792.1 ,,"1,157.5 ",,"1,095.2 ",,73.0 ,,67.9 ,,929.4 ,,"4,112.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Riverside Special Transp,9086-A,DR,17,,21,,0.0 ,,573.2 ,,537.6 ,,38.4 ,,34.3 ,,145.0 ,,569.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Riverside Transit Agency,9031-B,DRp,44,,50,,0.0 ,,"1,413.6 ",,"1,413.6 ",,85.7 ,,85.7 ,,208.3 ,,"1,430.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,65,,79,,"3,674.9 ",,"4,159.9 ",,"3,649.1 ",,258.7 ,,242.3 ,,"6,350.2 ",,"40,641.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,32,,38,,"1,430.1 ",,"1,505.9 ",,"1,402.4 ",,82.3 ,,77.3 ,,595.7 ,,"4,801.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,141,,167,,"5,105.0 ",,"7,079.4 ",,"6,465.1 ",,426.7 ,,405.3 ,,"7,154.1 ",,"46,873.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Roseville Transit,9168-B,DRp,6,,12,,0.0 ,,303.7 ,,269.7 ,,20.8 ,,18.5 ,,78.3 ,,402.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,9,,12,,287.5 ,,332.2 ,,287.5 ,,22.4 ,,19.6 ,,303.8 ,,"2,229.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,15,,24,,287.5 ,,635.8 ,,557.2 ,,43.2 ,,38.1 ,,382.1 ,,"2,631.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Ryder/ATE-LA,9179-D,MB,116,,149,,"3,734.2 ",Q,"5,800.5 ",Q,"3,734.2 ",Q,283.0 ,Q,219.3 ,Q,"4,507.6 ",Q,"8,904.3 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Sacramento RTD,9019-B,DRp,78,,140,,0.0 ,,"3,633.0 ",,"2,865.7 ",,223.5 ,,181.1 ,,326.0 ,,"2,944.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LR,32,,36,,"2,223.8 ",,"2,267.7 ",,"2,222.0 ",,111.8 ,,109.1 ,,"8,626.9 ",,"45,867.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,174,,211,,"7,381.9 ",,"8,845.5 ",,"7,378.6 ",,608.3 ,,560.4 ,,"19,493.4 ",,"79,145.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,284,,387,,"9,605.7 ",,"14,746.2 ",,"12,466.3 ",,943.6 ,,850.5 ,,"28,446.3 ",,"127,957.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Diego MTDB,9185-B,DRp,56,,70,,0.0 ,,"2,108.9 ",,"1,749.6 ",,119.2 ,,97.4 ,,309.8 ,,"1,813.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,77,,92,,"3,914.0 ",,"4,354.5 ",,"3,907.0 ",,347.4 ,,313.4 ,,"10,549.7 ",,"38,298.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,133,,162,,"3,914.0 ",,"6,463.4 ",,"5,656.6 ",,466.6 ,,410.8 ,,"10,859.5 ",,"40,111.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Diego Rgnl Transp Svc,9095-G,DRp,41,,48,,0.0 ,,"2,137.4 ",,"1,747.9 ",,130.7 ,,110.7 ,,398.5 ,,"2,757.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,82,,107,,"3,990.9 ",,"4,302.1 ",,"3,661.4 ",,316.4 ,,267.3 ,,"6,806.5 ",,"29,151.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VPp,136,,290,,0.0 ,,"3,492.4 ",,"3,492.4 ",,77.8 ,,77.8 ,,493.1 ,,"23,744.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,259,,445,,"3,990.9 ",,"9,931.9 ",,"8,901.7 ",,524.9 ,,455.9 ,,"7,698.1 ",,"55,653.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Diego Transit Corp,9026-B,DRp,13,,14,,0.0 ,,607.0 ,,607.0 ,,45.5 ,,45.5 ,,157.5 ,,509.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,268,,327,,"12,555.8 ",,"14,163.1 ",,"12,516.6 ",,"1,135.8 ",,"1,066.3 ",,"42,780.5 ",,"163,665.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,281,,341,,"12,555.8 ",,"14,770.1 ",,"13,123.6 ",,"1,181.2 ",,"1,111.8 ",,"42,938.0 ",,"164,174.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Diego Trolley,9054-G,LR,83,,86,,"7,090.5 ",,"7,166.5 ",,"7,090.5 ",,338.8 ,,329.4 ,,"28,743.3 ",,"188,268.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Gabriel Transit,9187-F,DRp,199,,209,,0.0 ,,"7,592.2 ",,"4,939.3 ",,272.4 ,,191.4 ,,562.3 ,,"6,522.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Joaquin RTD,9012-B,DR,15,,18,,0.0 ,,334.0 ,,248.3 ,,28.1 ,,24.5 ,,71.8 ,,375.7 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,18,,21,,0.0 ,,630.4 ,,567.9 ,,31.6 ,,29.3 ,,63.8 ,,"1,155.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,80,,99,,"2,588.2 ",,"3,302.6 ",,"2,588.2 ",,181.1 ,,160.0 ,,"3,723.0 ",,"28,884.2 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,2,,3,,63.5 ,,70.4 ,,60.5 ,,5.9 ,Q,5.6 ,,39.6 ,,126.0 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VP,5,,6,,0.0 ,,106.3 ,,106.3 ,,2.0 ,,2.0 ,,11.2 ,,650.3 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,120,,147,,"2,651.7 ",,"4,443.7 ",,"3,571.3 ",,248.8 ,,221.5 ,,"3,909.4 ",,"31,191.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,San Mateo Cnty TransitDst,9009-B,DRp,57,Q,73,,0.0 ,,"1,896.6 ",,"1,582.5 ",,126.9 ,,126.9 ,,196.2 ,,"1,609.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,211,,254,,"5,372.2 ",,"7,555.5 ",,"5,418.3 ",,514.2 ,,460.3 ,,"12,090.0 ",,"54,227.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,67,,67,,"2,476.7 ",,"3,123.2 ",,"2,476.7 ",,184.3 ,,157.2 ,,"5,639.1 ",,"51,033.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,335,,394,,"7,848.9 ",,"12,575.3 ",,"9,477.6 ",,825.5 ,,744.4 ,,"17,925.3 ",,"106,870.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Santa Barbara Metro TD,9020-A,MB,68,,82,,"2,219.7 ",,"2,479.0 ",,"2,219.7 ",,186.6 ,,166.5 ,,"7,070.7 ",,"25,269.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Santa Clara Valley TA,9013-B,LR,43,,55,,"2,423.6 ",,"2,483.3 ",,"2,421.9 ",,168.6 ,,163.4 ,,"7,913.7 ",,"35,757.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,427,,512,,"19,372.6 ",,"22,649.1 ",,"19,140.1 ",,"1,604.2 ",,"1,471.6 ",,"47,007.6 ",,"178,688.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,31,,31,,481.7 ,,683.0 ,,481.7 ,,55.6 ,,46.5 ,,647.1 ,,"1,612.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,501,,598,,"22,277.9 ",,"25,815.4 ",,"22,043.7 ",,"1,828.4 ",,"1,681.5 ",,"55,568.4 ",,"216,059.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Santa Clarita Transit,9171-B,DRp,11,,13,,0.0 ,,414.2 ,,352.1 ,,30.5 ,,24.0 ,,67.5 ,,539.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,47,,60,,"2,652.2 ",,"2,848.2 ",,"2,626.8 ",,136.0 ,,122.1 ,,"2,317.9 ",,"42,640.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,58,,73,,"2,652.2 ",,"3,262.4 ",,"2,978.9 ",,166.5 ,,146.1 ,,"2,385.4 ",,"43,179.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Santa Cruz Metro Transit,9006-B,DRp,59,,80,,0.0 ,,783.4 ,,638.0 ,,61.8 ,,55.5 ,,103.1 ,,638.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,75,,103,,"3,301.6 ",,"3,718.0 ",,"3,301.1 ",,250.0 ,,231.5 ,,"6,289.3 ",,"34,409.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,8,,9,,106.6 ,,190.9 ,,106.2 ,,5.5 ,,3.3 ,,44.1 ,,"1,320.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,142,,192,,"3,408.2 ",,"4,692.3 ",,"4,045.4 ",,317.3 ,,290.3 ,,"6,436.5 ",,"36,367.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Santa Maria Area Transit,9087-B,DRp,6,,6,,0.0 ,,125.2 ,,96.1 ,,11.6 ,,8.3 ,,24.8 ,,170.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,7,,9,,313.5 ,,344.0 ,,313.5 ,,28.0 ,,24.4 ,,542.7 ,,765.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,13,,15,,313.5 ,,469.2 ,,409.5 ,,39.6 ,,32.7 ,,567.6 ,,936.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Santa Monica Muni Bus,9008-B,DRp,4,,5,,0.0 ,,77.7 ,,74.1 ,Q,10.4 ,,8.4 ,,23.6 ,Q,51.3 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,134,,163,,"4,532.3 ",,"4,979.7 ",,"4,529.9 ",,405.1 ,,380.5 ,,"22,057.7 ",,"72,517.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,2,,3,,52.4 ,,51.6 ,,51.1 ,,8.5 ,,8.1 ,,123.7 ,,223.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,140,,171,,"4,584.7 ",,"5,109.0 ",,"4,655.1 ",Q,424.0 ,,397.0 ,,"22,205.1 ",Q,"72,791.5 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Simi Valley Transit,9050-A,DR,5,,8,,0.0 ,,198.5 ,,179.0 ,,14.3 ,,13.3 ,,37.9 ,,224.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,7,,11,,411.3 ,,427.0 ,,407.7 ,,26.8 ,,26.0 ,,395.6 ,,"1,912.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,12,,19,,411.3 ,,625.5 ,,586.7 ,,41.1 ,,39.4 ,,433.6 ,,"2,136.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Sonoma County Transit,9089-B,DRp,9,,12,,0.0 ,,372.1 ,,180.9 ,,22.0 ,,11.8 ,,25.0 ,,372.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,40,,54,,"1,575.3 ",,"2,037.2 ",,"1,567.5 ",,112.0 ,,94.8 ,,"1,486.3 ",,"13,554.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,49,,66,,"1,575.3 ",,"2,409.3 ",,"1,748.4 ",,134.0 ,,106.6 ,,"1,511.3 ",,"13,926.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,South Coast Area Transit,9035-B,DRp,12,,13,,0.0 ,,441.5 ,,387.0 ,,25.7 ,,22.3 ,,46.9 ,,362.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,34,,43,,"1,417.5 ",,"1,429.6 ",,"1,390.0 ",,122.1 ,,118.8 ,,"3,687.8 ",,"16,818.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,46,,56,,"1,417.5 ",,"1,871.1 ",,"1,777.0 ",,147.7 ,,141.1 ,,"3,734.7 ",,"17,180.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Southern Calif RR Auth,9151-B,CR,134,,152,,"6,507.0 ",,"6,907.1 ",,"6,484.9 ",,220.2 ,,157.0 ,,"6,978.6 ",,"256,386.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,SunLine Transit Agency,9079-B,DR,20,,22,,0.0 ,,722.9 ,,564.2 ,,44.7 ,,39.2 ,,86.1 ,,"1,024.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,15,,22,,0.0 ,,109.6 ,,93.5 ,,5.7 ,,5.0 ,,14.7 ,,172.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,37,,52,,"2,289.4 ",,"2,117.7 ",,"2,025.7 ",,131.6 ,,127.3 ,,"3,766.5 ",,"22,769.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,72,,96,,"2,289.4 ",,"2,950.2 ",,"2,683.4 ",,181.9 ,,171.5 ,,"3,867.2 ",,"23,965.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Thousand Oaks Transit,9165-B,DRp,7,,7,,0.0 ,,231.4 ,,201.0 ,,18.4 ,,16.0 ,,65.4 ,,306.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,4,,5,,165.8 ,,171.4 ,,165.8 ,,10.4 ,,10.0 ,,122.1 ,,464.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,11,,12,,165.8 ,,402.9 ,,366.8 ,,28.8 ,,26.0 ,,187.5 ,,770.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Torrance Transit System,9010-B,DRp,30,,56,,0.0 ,,355.1 ,,344.0 ,,22.3 ,,20.9 ,,90.6 ,,347.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,43,,52,,"1,918.3 ",,"2,001.5 ",,"1,916.5 ",,156.2 ,,151.9 ,,"4,498.3 ",,"24,223.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,11,,14,,121.4 ,,308.5 ,,120.6 ,,13.4 ,,6.4 ,,70.4 ,,937.4 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,84,,122,,"2,039.7 ",,"2,665.1 ",,"2,381.0 ",,192.0 ,,179.2 ,,"4,659.3 ",,"25,509.0 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,UNITRANS-Davis,9142-A,MB,31,,40,,638.5 ,,669.4 ,,625.6 ,,64.3 ,,61.5 ,,"2,425.9 ",,"4,584.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Union City Transit Div,9161-B,DRp,3,,4,,0.0 ,,35.2 ,,30.9 ,,4.2 ,,3.7 ,,6.9 ,,18.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,11,,13,,488.9 ,,515.6 ,,487.6 ,,36.9 ,,35.9 ,,504.7 ,,"2,179.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,14,,17,,488.9 ,,550.7 ,,518.5 ,,41.1 ,,39.6 ,,511.7 ,,"2,197.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Vallejo Transit,9028-B,DRp,8,,10,,0.0 ,,292.1 ,,264.9 ,,16.7 ,,15.2 ,,27.3 ,,224.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FBp,2,,3,,225.0 ,,231.2 ,,223.7 ,,8.6 ,,8.1 ,,735.9 ,,"19,195.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,44,,54,,"2,976.9 ",,"3,130.0 ",,"2,973.5 ",,140.0 ,,127.1 ,,"3,065.0 ",,"23,431.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,54,,67,,"3,201.9 ",,"3,653.3 ",,"3,462.1 ",,165.3 ,,150.4 ,,"3,828.2 ",,"42,851.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Ventura Intercity Svc TA,9164-B,DRp,7,,9,,0.0 ,,260.8 ,,248.0 ,,16.9 ,,16.0 ,,129.5 ,,723.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,14,,16,,894.8 ,,939.2 ,,894.6 ,,32.2 ,,30.7 ,,277.4 ,,"3,589.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,21,,25,,894.8 ,,"1,200.0 ",,"1,142.6 ",,49.1 ,,46.7 ,,406.9 ,,"4,313.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
