State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,60,,80,,"2,390.1 ",,"3,008.4 ",,"2,782.2 ",,201.9 ,,189.0 ,,"3,582.2 ",,"14,466.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Community Resource Group,6072-G,DR,25,,33,,0.0 ,,800.0 ,,709.5 ,,43.3 ,,40.5 ,,159.0 ,,"2,256.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,University of Arkansas,6062-A,DR,3,,4,,0.0 ,,43.6 ,,28.8 ,,4.7 ,,3.8 ,,9.1 ,,16.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,11,,20,,239.2 ,,239.2 ,,215.3 ,,21.0 ,,20.2 ,,"1,179.0 ",,"2,122.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,14,,24,,239.2 ,,282.8 ,,244.1 ,,25.8 ,,24.0 ,,"1,188.1 ",,"2,138.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,City of Mesa,9129-B,MBp,23,,27,,"1,122.5 ",,"1,234.8 ",,"1,122.5 ",,81.1 ,,72.1 ,,791.1 ,,"2,768.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,City of Tempe Transp Div,9172-B,MBp,68,,91,,"2,359.8 ",,"2,608.5 ",,"2,353.9 ",,211.1 ,,192.3 ,,"2,475.1 ",,"5,899.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,City of Tucson,9033-A,DR,57,,64,,0.0 ,,"2,127.3 ",,"1,789.8 ",,171.8 ,,147.5 ,,312.1 ,,"2,738.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,159,,199,,"7,035.2 ",,"7,963.2 ",,"7,020.3 ",,588.9 ,,532.8 ,,"17,991.9 ",,"65,471.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,216,,263,,"7,035.2 ",,"10,090.5 ",,"8,810.2 ",,760.7 ,,680.3 ,,"18,304.1 ",,"68,209.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Glendale Dial-A-Ride,9034-B,DR,12,,16,,0.0 ,,304.6 ,,280.5 ,,23.5 ,,21.2 ,,69.1 ,,469.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,3,,6,,125.2 ,,130.1 ,,126.6 ,,8.3 ,,8.1 ,,50.5 ,,166.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,15,,22,,125.2 ,,434.6 ,,407.1 ,,31.9 ,,29.2 ,,119.6 ,,636.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Maricopa Cnty Spec Transp,9132-B,DRp,56,,70,,0.0 ,,963.0 ,,818.0 ,,65.8 ,,56.4 ,,140.5 ,,"1,786.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Peoria Transit,9140-A,DR,4,,9,,0.0 ,,142.1 ,,124.0 ,,10.1 ,,8.6 ,,35.0 ,,137.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Phoenix Publ Transit Dept,9032-B,DRp,117,,132,,0.0 ,,"3,394.6 ",,"2,756.1 ",,233.6 ,,194.6 ,,398.1 ,,"3,072.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,282,,343,,"9,210.7 ",,"10,980.2 ",,"9,189.6 ",,811.3 ,,609.8 ,,"28,125.1 ",,"110,241.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,53,,67,,"2,077.7 ",,"2,260.6 ",,"2,069.8 ",,155.4 ,,146.2 ,,"3,712.9 ",,"13,823.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,452,,542,,"11,288.5 ",,"16,635.4 ",,"14,015.5 ",,"1,200.3 ",,950.6 ,,"32,236.2 ",,"127,138.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Phoenix-VPSI,9169-D,VP,182,,196,,0.0 ,,"2,670.9 ",Q,"2,670.9 ",Q,79.4 ,Q,79.4 ,Q,618.8 ,,"16,188.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Regional Publ Transp Auth,9136-B,DRp,42,,54,,0.0 ,,"1,566.8 ",,"1,189.1 ",,140.9 ,,115.4 ,,258.8 ,,"1,549.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,57,,75,,"2,712.1 ",,"3,292.1 ",,"2,712.1 ",,247.1 ,,203.6 ,,"3,057.9 ",,"12,648.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,99,,129,,"2,712.1 ",,"4,858.9 ",,"3,901.2 ",,388.0 ,,319.0 ,,"3,316.7 ",,"14,197.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Scottsdale Connection,9131-B,MBp,7,,10,,357.6 ,,400.5 ,,357.6 ,,28.1 ,,26.3 ,,125.5 ,,414.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Sun Cities Transit System,9135-G,DR,14,,14,,0.0 ,,240.7 ,,219.4 ,,20.2 ,,18.8 ,,59.8 ,,191.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Surprise Dial-A-Ride TS,9137-A,DR,2,,2,,0.0 ,,42.0 ,,41.3 ,,3.5 ,,3.0 ,,7.3 ,,42.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Town of Guadalupe,9177-A,DR,1,,2,,0.0 ,,7.2 ,,6.7 ,,1.0 ,,1.0 ,,4.9 ,,16.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Access Services,9157-G,DRp,239,,268,,0.0 ,,"23,014.5 ",Q,"14,770.0 ",,"1,071.2 ",,609.6 ,,"1,603.6 ",,"18,229.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda Ferry Services,9150-B,FBp,3,,3,,64.8 ,,69.3 ,,64.7 ,,7.0 ,,6.5 ,,646.8 ,,"4,050.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda-Contra Costa TD,9014-B,MB,606,,728,,"21,264.4 ",,"24,529.7 ",,"21,300.9 ",,"1,956.0 ",,"1,800.2 ",,"67,411.6 ",,"197,824.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,9,,11,,218.5 ,,272.8 ,,217.2 ,,14.1 ,,11.4 ,,221.0 ,,"2,717.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,615,,739,,"21,482.9 ",,"24,802.5 ",,"21,518.1 ",,"1,970.1 ",,"1,811.6 ",,"67,632.6 ",,"200,542.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Altamont Commuter Express,9182-B,CRp,12,,13,,435.5 ,,459.3 ,,440.3 ,,12.3 ,,11.8 ,,"2,098.4 ",Q,"22,481.4 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Antelope Valley Transit,9121-B,DRp,10,,13,,0.0 ,,540.5 ,,489.6 ,,22.6 ,,20.9 ,,56.9 ,,713.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,36,,45,,"1,715.6 ",,"1,881.8 ",,"1,715.6 ",,99.3 ,,86.1 ,,"2,216.1 ",,"31,003.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,46,,58,,"1,715.6 ",,"2,422.3 ",,"2,205.2 ",,121.9 ,,107.0 ,,"2,273.0 ",,"31,716.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Arcadia Transit,9044-B,DRp,16,,18,,0.0 ,,406.2 ,,350.2 ,,28.0 ,,26.6 ,,149.0 ,,546.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Bay Area Rapid Transit,9003-B,HR,523,,668,,"53,926.2 ",,"58,869.1 ",,"57,377.6 ",,"1,924.1 ",,"1,535.4 ",,"90,974.5 ",,"1,184,094.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Central Contra Costa TA,9078-B,DRp,37,,40,,0.0 ,,"1,244.0 ",,"1,057.8 ",,71.1 ,,60.9 ,,121.7 ,,979.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,100,,122,,"3,703.6 ",,"4,439.3 ",,"3,573.7 ",,303.0 ,,267.6 ,,"4,557.5 ",,"18,446.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,137,,162,,"3,703.6 ",,"5,683.3 ",,"4,631.5 ",,374.1 ,,328.5 ,,"4,679.2 ",,"19,425.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Chico Area Transit System,9127-B,MBp,13,,15,,521.7 ,,566.4 ,,521.7 ,,40.2 ,,37.4 ,,844.8 ,,"3,058.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of Commerce Muni Bus,9043-A,DR,3,,3,,0.0 ,,60.7 ,Q,57.4 ,,4.1 ,,3.7 ,,6.6 ,,38.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
