State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
FL,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.(PalmTran)",4037,B,MB,DO,117,154.0,,"7,041.0",,"7,777.8",,"7,031.5",,479.3,,416.4,,"9,799.9",,"55,859.7",,
FL,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.(PalmTran)",4037,B,MB,PT,7,11.0,,206.1,,236.4,,198.1,,11.4,,9.8,,44.9,,241.5,Q,
,,,,Total,,377,495.0,,"7,247.0",,"18,703.5",,"16,551.2",,"1,165.8",,985.6,,"10,798.1",,"67,465.1",,
FL,Broward County Community Bus Service(BCT),4179,B,MB,DO,26,34.0,,"1,206.1",,"1,226.7",,"1,203.5",,79.2,,77.7,,791.8,,"2,862.7",,
FL,Broward County Community Bus Service(BCT),4179,B,MB,PT,50,61.0,,"1,698.0",,"1,868.4",,"1,654.7",,151.8,,139.2,,"1,544.7",,"5,536.4",,
,,,,Total,,76,95.0,,"2,904.0",,"3,095.0",,"2,858.2",,231.0,,216.9,,"2,336.4",,"8,399.1",,
FL,Broward County Transportation Department(BCT),4029,B,DR,PT,242,313.0,,0.0,,"10,386.9",,"9,074.3",,687.2,,611.3,,948.6,,"10,340.2",,
FL,Broward County Transportation Department(BCT),4029,B,MB,DO,245,295.0,,"14,092.8",,"15,727.9",,"14,050.5",,"1,091.8",,"1,027.9",,"38,464.6",,"177,289.2",,
FL,Broward County Transportation Department(BCT),4029,B,MB,PT,10,12.0,,195.8,,214.4,,195.3,,24.3,,23.2,,251.8,,911.7,,
,,,,Total,,497,620.0,,"14,288.7",,"26,329.2",,"23,320.1",,"1,803.2",,"1,662.4",,"39,665.1",,"188,541.1",,
FL,Central Florida Regional Transportation Authority(LYNX),4035,B,DR,PT,167,176.0,,0.0,,"8,131.3",,"6,981.5",,493.4,,445.3,,608.6,,"8,149.0",,
FL,Central Florida Regional Transportation Authority(LYNX),4035,B,MB,DO,238,288.0,,"15,001.1",,"16,739.5",,"14,985.7",,"1,162.9",,"1,078.5",,"26,427.1",,"152,255.3",,
FL,Central Florida Regional Transportation Authority(LYNX),4035,B,VP,PT,62,71.0,,0.0,,"1,071.4",,"1,071.4",,25.7,,25.7,,199.5,,"6,365.4",,
,,,,Total,,467,535.0,,"15,001.1",,"25,942.2",,"23,038.6",,"1,682.0",,"1,549.5",,"27,235.2",,"166,769.6",,
FL,Charlotte County Transit Division,4129,B,DR,PT,13,23.0,,0.0,,582.4,,501.8,,33.5,,30.4,,75.9,,538.4,,
FL,City of Tallahassee(StarMetro ),4036,A,DR,DO,15,17.0,,0.0,,456.9,,399.5,,34.5,,30.3,,62.6,,343.3,,
FL,City of Tallahassee(StarMetro ),4036,A,MB,DO,63,66.0,,"1,878.1",,"1,940.9",,"1,865.5",,161.1,,157.6,,"4,212.7",,"11,921.8",,
,,,,Total,,78,83.0,,"1,878.1",,"2,397.8",,"2,265.1",,195.6,,187.9,,"4,275.3",,"12,265.1",,
FL,Collier Area Transit(CAT),4140,B,DR,PT,35,39.0,,0.0,,"1,336.3",,"1,120.1",,69.7,,61.5,,75.7,,923.9,,
FL,Collier Area Transit(CAT),4140,B,MB,PT,16,23.0,,"1,216.7",,"1,299.5",,"1,214.8",,68.7,,66.2,,"1,166.4",,"9,260.9",,
,,,,Total,,51,62.0,,"1,216.7",,"2,635.7",,"2,334.9",,138.4,,127.6,,"1,242.1",,"10,184.8",,
FL,"Council on Aging of Martin County, Inc.(COAMC \ CC - MCBOCC)",4113,D,DR,DO,20,29.0,,0.0,,475.4,Q,376.0,Q,30.9,Q,27.0,Q,74.9,Q,103.5,Q,
FL,"Council on Aging of Martin County, Inc.(COAMC \ CC - MCBOCC)",4113,D,MB,DO,1,2.0,,2.6,,41.6,Q,24.0,Q,2.5,Q,2.0,Q,23.5,Q,98.7,Q,
,,,,Total,,21,31.0,,2.6,,517.0,,400.0,,33.3,,29.0,,98.5,,202.2,,
FL,"Council on Aging of St. Lucie, Inc.(CT)",4097,F,DR,DO,26,35.0,,0.0,,600.7,,532.7,,41.6,,35.0,,128.4,,582.7,,
FL,"Council on Aging of St. Lucie, Inc.(CT)",4097,F,MB,DO,6,10.0,,223.1,,229.8,,223.1,,16.9,,16.6,,104.9,,681.9,,
,,,,Total,,32,45.0,,223.1,,830.5,,755.7,,58.5,,51.6,,233.3,,"1,264.6",,
FL,"County of Volusia, dba: VOTRAN(Votran)",4032,B,DR,PT,25,29.0,,0.0,,"1,057.5",,"1,057.5",,77.3,,77.3,,114.8,,932.1,,
FL,"County of Volusia, dba: VOTRAN(Votran)",4032,B,DR,DO,35,42.0,,0.0,,"1,437.6",,"1,273.0",,88.7,,80.9,,157.7,,"1,657.1",,
FL,"County of Volusia, dba: VOTRAN(Votran)",4032,B,MB,DO,46,53.0,,"2,519.3",,"2,705.6",,"2,480.3",,168.1,,161.0,,"3,318.6",,"15,107.3",,
FL,"County of Volusia, dba: VOTRAN(Votran)",4032,B,VP,DO,27,29.0,,0.0,,521.9,,521.9,,11.7,,11.7,,87.1,,"3,595.6",,
,,,,Total,,133,153.0,,"2,519.3",,"5,722.6",,"5,332.8",,345.8,,330.8,,"3,678.2",,"21,292.1",,
FL,Escambia County Area Transit(ECAT),4038,B,DR,PT,14,15.0,,0.0,,390.1,,364.3,,24.1,,22.7,,56.5,,396.1,,
FL,Escambia County Area Transit(ECAT),4038,B,MB,DO,32,44.0,,"1,340.9",,"1,347.5",,"1,325.1",,90.8,,89.8,,"1,123.5",,"5,449.1",,
,,,,Total,,46,59.0,,"1,340.9",,"1,737.6",,"1,689.4",,114.9,,112.5,,"1,180.0",,"5,845.2",,
FL,Gainesville Regional Transit System(RTS),4030,B,DR,PT,16,52.0,,0.0,,329.8,,275.4,,26.6,,22.5,,38.3,,315.7,,
FL,Gainesville Regional Transit System(RTS),4030,B,MB,DO,88,107.0,,"2,886.0",,"2,977.6",,"2,846.7",,257.9,,247.8,,"9,004.9",,"25,213.8",,
,,,,Total,,104,159.0,,"2,886.0",,"3,307.4",,"3,122.1",,284.6,,270.3,,"9,043.2",,"25,529.5",,
FL,Hernando County Board of County Commissioners(The Bus),4146,B,DR,PT,15,21.0,,0.0,,302.0,,274.6,,13.6,,12.6,,38.2,,495.5,,
FL,Hernando County Board of County Commissioners(The Bus),4146,B,MB,PT,6,10.0,,309.2,,328.5,,309.2,,18.5,,17.7,,154.4,,610.9,,
,,,,Total,,21,31.0,,309.2,,630.5,,583.8,,32.0,,30.2,,192.5,,"1,106.4",,
FL,Hillsborough Area Regional Transit Authority(HART),4041,B,DR,DO,30,36.0,,0.0,,"1,235.8",,"1,076.5",,77.5,,67.2,,101.4,,861.1,,
FL,Hillsborough Area Regional Transit Authority(HART),4041,B,LR,DO,8,10.0,,81.4,,82.0,,81.9,,16.2,,16.1,,484.7,,728.9,,
FL,Hillsborough Area Regional Transit Authority(HART),4041,B,MB,DO,157,197.0,,"7,129.9",,"8,069.1",,"7,108.9",,606.2,,568.2,,"13,054.2",,"67,522.8",,
FL,Hillsborough Area Regional Transit Authority(HART),4041,B,VP,PT,35,37.0,,0.0,,652.5,,652.5,,16.4,,16.4,,91.7,,"3,615.7",,
,,,,Total,,230,280.0,,"7,211.3",,"10,039.5",,"8,919.8",,716.3,,667.9,,"13,732.0",,"72,728.5",,
FL,Jacksonville Transportation Authority(JTA),4040,B,AG,DO,7,10.0,,234.5,,234.5,,233.3,,17.8,,17.4,,502.4,,205.8,,
FL,Jacksonville Transportation Authority(JTA),4040,B,DR,PT,93,98.0,,0.0,,"3,643.1",,"3,076.9",,248.6,,204.7,,347.1,,"3,333.0",,
FL,Jacksonville Transportation Authority(JTA),4040,B,MB,DO,183,191.0,,"9,597.1",,"9,948.7",,"9,546.9",,657.5,,630.4,,"10,291.0",,"54,318.3",Q,
,,,,Total,,283,299.0,,"9,831.6",,"13,826.4",,"12,857.1",,923.9,,852.6,,"11,140.4",,"57,857.2",,
FL,Lake County Board of County Commissioners(LCBOCC),4158,B,DR,PT,67,72.0,,0.0,,"2,320.8",,"1,994.4",,135.2,,121.1,,221.8,,"4,731.2",Q,
FL,Lake County Board of County Commissioners(LCBOCC),4158,B,MB,PT,6,8.0,,290.4,,289.6,,282.0,,18.2,,17.7,Q,105.3,,697.7,,
,,,,Total,,73,80.0,,290.4,,"2,610.3",,"2,276.4",,153.4,,138.8,,327.0,,"5,428.9",,
FL,Lakeland Area Mass Transit District (Citrus Connection),4031,A,DR,DO,13,16.0,,0.0,,473.6,,407.2,,37.3,,31.4,,105.1,,838.0,,
FL,Lakeland Area Mass Transit District (Citrus Connection),4031,A,MB,DO,24,41.0,,"1,303.3",,"1,345.0",,"1,325.5",,81.2,,80.1,,"1,602.3",,"8,041.3",,
,,,,Total,,37,57.0,,"1,303.3",,"1,818.7",,"1,732.7",,118.5,,111.5,,"1,707.4",,"8,879.2",,
FL,Lee County Transit(LeeTran),4028,B,DR,DO,41,43.0,,0.0,,"1,334.4",,"1,155.2",,94.4,,77.5,,129.2,,"1,480.5",,
FL,Lee County Transit(LeeTran),4028,B,MB,DO,49,59.0,,"3,007.5",,"3,169.5",,"3,006.0",,196.1,,186.1,,"3,058.8",,"15,753.0",,
FL,Lee County Transit(LeeTran),4028,B,VP,PT,6,6.0,,0.0,,143.0,,143.0,,3.7,,3.7,,34.4,,"1,069.7",,
,,,,Total,,96,108.0,,"3,007.5",,"4,646.9",,"4,304.2",,294.2,,267.4,,"3,222.4",,"18,303.2",,
FL,Manatee County Area Transit(MCAT),4026,A,DR,DO,22,31.0,,0.0,,378.5,,338.6,,23.5,,21.6,,54.0,,490.2,,
FL,Manatee County Area Transit(MCAT),4026,A,MB,DO,19,31.0,,"1,277.0",,"1,226.6",,"1,174.4",,86.0,,82.6,,"1,485.8",,"6,152.2",,
,,,,Total,,41,62.0,,"1,277.0",,"1,605.1",,"1,513.0",,109.5,,104.2,,"1,539.8",,"6,642.4",,
FL,"Miami Lakes - VPSI, Inc.",4152,D,VP,DO,198,210.0,,0.0,,"2,756.2",,"2,756.2",,67.0,,67.0,,603.6,,"13,108.7",,
FL,Miami-Dade Transit(MDT),4034,B,AG,DO,20,32.0,,"1,126.3",,"1,122.6",,"1,120.6",,110.4,,110.2,,"8,839.2",,"8,593.6",,
FL,Miami-Dade Transit(MDT),4034,B,DR,PT,302,368.0,,0.0,,"15,021.4",,"13,605.4",,"1,007.2",,944.5,,"1,634.5",,"22,224.8",,
FL,Miami-Dade Transit(MDT),4034,B,HR,DO,98,130.0,,"7,212.7",,"7,405.2",,"7,158.4",,346.9,,318.8,,"18,538.7",,"142,152.1",,
FL,Miami-Dade Transit(MDT),4034,B,MB,DO,825,915.0,,"34,262.5",,"39,113.7",,"33,407.3",,"3,010.3",,"2,752.7",,"85,789.7",,"426,400.6",,
,,,,Total,,"1,245","1,445.0",,"42,601.5",,"62,662.9",,"55,291.7",,"4,474.8",,"3,834.9",,"114,802.1",,"599,371.2",,
FL,Okaloosa County Board of County Commissioners,4128,B,DR,PT,32,35.0,,0.0,,844.5,,724.5,,54.6,,47.9,,95.7,,726.7,,
FL,Okaloosa County Board of County Commissioners,4128,B,MB,PT,14,17.0,,442.4,,459.6,,442.4,,37.5,,36.4,,211.3,,"1,030.0",,
,,,,Total,,46,52.0,,442.4,,"1,304.0",,"1,166.9",,92.1,,84.3,,307.0,,"1,756.7",,
FL,Pasco County Public Transportation(PCPT),4074,B,DR,DO,11,14.0,,0.0,,232.1,,183.7,,12.8,,10.4,,31.1,,241.7,,
FL,Pasco County Public Transportation(PCPT),4074,B,DR,PT,28,46.0,,0.0,,331.1,,331.1,,19.0,,19.0,,40.8,,331.1,,
FL,Pasco County Public Transportation(PCPT),4074,B,MB,DO,16,30.0,,"1,116.9",,"1,208.1",,"1,115.0",,70.2,,66.8,,"1,052.6",,"6,895.8",,
,,,,Total,,55,90.0,,"1,116.9",,"1,771.3",,"1,629.7",,102.0,,96.2,,"1,124.5",,"7,468.6",,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,B,DR,PT,165,169.0,,0.0,,"3,642.7",Q,"3,133.2",Q,121.0,Q,104.1,Q,239.8,,"2,131.4",Q,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,B,MB,PT,2,5.0,,53.9,,57.5,,53.3,,5.9,,5.7,,91.7,,177.9,,
FL,Pinellas Suncoast Transit Authority(PSTA),4027,B,MB,DO,171,205.0,,"9,296.2",,"10,642.7",,"9,283.2",,697.6,,646.8,,"12,522.3",,"60,392.1",,
,,,,Total,,338,379.0,,"9,350.1",,"14,343.0",,"12,469.7",,824.5,,756.6,,"12,853.7",,"62,701.4",,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,B,DR,PT,3,3.0,,0.0,,2.9,,2.4,,0.2,,0.2,,0.7,,2.8,,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,B,DR,DO,10,10.0,,0.0,,94.4,,37.1,,4.9,,3.0,,16.6,,57.1,,
FL,Polk County Transit Services Division - Polk County Board of County Commissioners(PCTS),4127,B,MB,DO,19,26.0,,739.5,,844.6,,767.0,,40.1,,37.0,,641.0,,"3,208.8",Q,
,,,,Total,,32,39.0,,739.5,,941.9,,806.4,,45.2,,40.2,,658.2,,"3,268.7",,
FL,Sarasota County Area Transit(SCAT),4046,B,DR,PT,37,37.0,,0.0,,"1,329.0",,"1,043.7",,97.8,,71.4,,132.4,,"1,381.6",,
FL,Sarasota County Area Transit(SCAT),4046,B,DR,DO,26,34.0,,0.0,,790.2,,592.7,,67.6,,51.8,,109.4,,"1,217.3",,
FL,Sarasota County Area Transit(SCAT),4046,B,MB,DO,44,57.0,,"2,512.4",,"2,719.1",,"2,503.4",,191.1,,181.1,,"2,300.8",,"12,792.6",,
,,,,Total,,107,128.0,,"2,512.4",,"4,838.3",,"4,139.8",,356.5,,304.3,,"2,542.7",,"15,391.4",,
FL,"Senior Resource Association, Inc.(SRA)",4104,D,DR,DO,25,32.0,,0.0,,494.0,,468.6,,40.8,,39.8,,67.5,,854.6,,
FL,"Senior Resource Association, Inc.(SRA)",4104,D,MB,DO,11,18.0,,306.7,,317.4,,297.0,,29.8,,28.5,,381.9,,"1,714.3",,
,,,,Total,,36,50.0,,306.7,,811.4,,765.6,,70.7,,68.3,,449.4,,"2,568.8",,
FL,South Florida Regional Transportation Authority(TRI-Rail),4077,B,CR,PT,34,47.0,,"2,856.5",,"3,124.4",,"2,856.5",,87.1,,76.6,,"3,859.0",,"122,257.9",Q,
FL,South Florida Regional Transportation Authority(TRI-Rail),4077,B,MB,PT,18,20.0,,434.9,,654.6,Q,433.6,,56.9,,48.0,,399.7,,"1,102.7",Q,
,,,,Total,,52,67.0,,"3,291.4",,"3,779.0",,"3,290.1",,144.0,,73.6,,"4,258.7",,"123,360.6",,
FL,Space Coast Area Transit(SCAT),4063,B,DR,DO,40,42.0,,0.0,,788.5,,636.5,,60.6,,52.1,,134.0,,"1,515.0",,
FL,Space Coast Area Transit(SCAT),4063,B,DR,PT,57,63.0,,0.0,,970.3,,960.5,,49.5,,49.0,,308.0,,"7,634.5",,
FL,Space Coast Area Transit(SCAT),4063,B,MB,DO,20,49.0,,"1,331.2",,"1,370.5",Q,"1,321.5",Q,73.8,Q,71.2,Q,"1,222.3",,"5,965.0",,
FL,Space Coast Area Transit(SCAT),4063,B,VP,PT,37,49.0,,0.0,,972.8,,972.8,,22.4,,22.4,,138.5,,"7,137.1",,
,,,,Total,,154,203.0,,"1,331.2",,"4,102.1",,"3,891.2",,206.3,,194.7,,"1,802.8",,"22,251.6",,
FL,"St Johns County, Florida,  Board of County Commissioners(St Johns County)",4155,B,DR,PT,5,36.0,,0.0,,124.3,,88.9,,8.7,,7.2,,15.3,,106.1,,
FL,"St Johns County, Florida,  Board of County Commissioners(St Johns County)",4155,B,MB,PT,6,9.0,,388.3,,409.0,,388.3,,18.6,,17.4,,152.3,,"1,116.2",,
,,,,Total,,11,45.0,,388.3,,533.3,,477.2,,27.3,,24.6,,167.6,,"1,222.4",,
FL,"Tri-County Community Council, Inc.(TCCC)",4148,A,DR,DO,35,38.0,,0.0,,563.9,,548.2,,33.3,Q,32.6,,131.4,,586.6,,
GA,Albany Transit System(ATS),4021,A,DR,DO,4,8.0,,0.0,,127.0,,117.5,,9.4,,8.9,,19.7,,87.8,Q,
GA,Albany Transit System(ATS),4021,A,MB,DO,7,15.0,,533.1,,537.2,,532.0,,33.4,,31.8,,772.5,,"3,713.2",Q,
,,,,Total,,11,23.0,,533.1,,664.2,,649.5,,42.8,,40.7,,792.2,,"3,801.1",,
GA,Athens Transit System(ATS),4047,A,DR,DO,3,4.0,,0.0,,70.6,,69.2,,6.3,,5.9,,8.4,,47.4,,
GA,Athens Transit System(ATS),4047,A,MB,DO,22,28.0,,771.5,,815.8,,771.5,,69.8,,67.6,,"1,671.7",,"5,257.8",,
,,,,Total,,25,32.0,,771.5,,886.4,,840.8,,76.1,,73.5,,"1,680.1",,"5,305.2",,
GA,Augusta Richmond County Transit Department(APT),4023,A,DR,DO,6,8.0,,0.0,,121.1,,109.6,,14.5,,13.4,,19.2,,81.2,,
GA,Augusta Richmond County Transit Department(APT),4023,A,MB,DO,13,22.0,,581.3,,603.4,,570.1,,44.2,,41.5,,911.2,,"4,397.0",,
,,,,Total,,19,30.0,,581.3,,724.5,,679.7,,58.6,,54.9,,930.4,,"4,478.2",,
GA,Buckhead Community Improvement District(BCID),4177,E,MB,PT,6,11.0,,95.2,,223.6,Q,110.0,,23.6,,15.3,,221.5,,424.6,,
GA,Chatham Area Transit Authority(CAT),4025,B,DR,PT,17,17.0,Q,0.0,,578.5,,543.4,,45.9,,43.7,,66.6,,582.2,,
GA,Chatham Area Transit Authority(CAT),4025,B,FB,DO,3,3.0,,17.7,,17.7,Q,17.7,Q,9.8,Q,9.8,Q,516.8,Q,185.3,Q,
GA,Chatham Area Transit Authority(CAT),4025,B,MB,DO,47,55.0,,"2,540.0",,"2,783.7",Q,"2,540.0",Q,209.4,Q,190.3,Q,"3,541.1",,"12,976.5",,
,,,,Total,,67,75.0,,"2,557.7",,"3,379.9",,"3,101.1",,265.0,,243.7,,"4,124.6",,"13,744.0",,
GA,City of Rome Transit Department(RTD),4058,A,DR,DO,4,4.0,,0.0,,117.3,,102.9,,9.1,,8.4,,23.4,,114.6,,
GA,City of Rome Transit Department(RTD),4058,A,MB,DO,26,26.0,,485.4,,487.0,,472.4,,39.0,,38.1,,651.1,,"4,380.3",,
,,,,Total,,30,30.0,,485.4,,604.3,,575.2,,48.1,,46.5,,674.5,,"4,494.9",,
GA,Clayton County Board of Commissioners(CTRAN),4157,B,DR,DO,8,10.0,,0.0,,203.9,,179.1,,14.5,,12.8,,21.5,,147.9,,
GA,Clayton County Board of Commissioners(CTRAN),4157,B,DR,PT,5,6.0,,0.0,,56.6,,48.4,,4.5,,4.0,,4.7,,30.7,,
GA,Clayton County Board of Commissioners(CTRAN),4157,B,MB,DO,19,24.0,,960.3,,"1,036.2",,959.3,,66.3,,62.9,,"1,536.2",,"11,733.2",,
GA,Clayton County Board of Commissioners(CTRAN),4157,B,MB,PT,18,24.0,,286.9,,318.5,,286.9,,22.9,,21.2,,425.6,,"3,252.6",,
,,,,Total,,50,64.0,,"1,247.2",,"1,615.1",,"1,473.7",,108.1,,100.9,,"1,988.1",,"15,164.4",,
GA,Cobb County Department of Transportation Authority(CCT),4078,B,DR,PT,19,22.0,,0.0,,736.1,,636.6,,56.0,,46.7,,80.5,,"1,108.5",,
GA,Cobb County Department of Transportation Authority(CCT),4078,B,MB,PT,79,95.0,,"3,306.5",,"3,799.1",,"3,297.3",,194.0,,176.4,,"4,873.9",,"43,202.7",,
,,,,Total,,98,117.0,,"3,306.5",,"4,535.2",,"3,933.8",,250.0,,223.1,,"4,954.4",,"44,311.2",,
GA,Douglas County Rideshare(Rideshare),4082,A,VP,DO,58,65.0,,0.0,,982.5,,982.5,,23.7,,23.7,,161.2,,"5,677.1",,
GA,Georgia Regional Transportation Authority(GRTA),4135,B,MB,PT,71,84.0,,"1,682.4",,"2,795.1",,"1,682.2",,104.6,,69.9,,"1,270.3",,"30,556.9",,
GA,Georgia Regional Transportation Authority(GRTA),4135,B,VP,DO,50,57.0,,0.0,,897.3,,897.3,,23.1,,23.1,,176.8,,"6,800.5",,
,,,,Total,,121,141.0,,"1,682.4",,"3,692.4",,"2,579.5",,127.8,,93.1,,"1,447.1",,"37,357.4",,
GA,Gwinnett County Board of Commissioners(GCT),4138,B,DR,PT,6,8.0,,0.0,,169.9,,131.0,,16.3,,11.4,,14.5,,77.9,,
GA,Gwinnett County Board of Commissioners(GCT),4138,B,MB,PT,72,88.0,,"2,660.2",,"3,559.3",,"2,634.1",,154.3,,128.7,,"2,110.6",,"33,958.5",Q,
,,,,Total,,78,96.0,,"2,660.2",,"3,729.1",,"2,765.0",,170.6,,140.1,,"2,125.2",,"34,036.3",,
GA,Macon-Bibb County Transit Authority(    ),4130,A,DR,DO,4,5.0,,0.0,,109.9,,68.6,,8.1,,5.0,,7.8,,68.6,,
GA,Macon-Bibb County Transit Authority(    ),4130,A,MB,DO,18,28.0,,"1,111.4",,"1,075.7",Q,"1,062.3",Q,84.8,Q,83.6,Q,"1,167.9",,"5,283.2",,
,,,,Total,,22,33.0,,"1,111.4",,"1,185.6",,"1,130.9",,92.9,,88.6,,"1,175.8",,"5,351.8",,
GA,"Marietta - VPSI, Inc.",4153,D,VP,DO,373,429.0,,0.0,,"5,125.7",,"5,125.7",,133.0,,133.0,,"1,088.2",,"28,736.4",,
GA,Metra Transit System(Metra),4024,A,DR,DO,5,8.0,,0.0,,166.1,,163.3,,14.0,,13.7,,15.6,,127.6,,
GA,Metra Transit System(Metra),4024,A,MB,DO,16,35.0,,919.8,,919.8,,919.8,,61.1,,61.1,,"1,099.9",,"3,970.9",,
,,,,Total,,21,43.0,,919.8,,"1,085.9",,"1,083.0",,75.1,,74.8,,"1,115.5",,"4,098.5",,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,A,DR,DO,118,175.0,,0.0,,"6,196.2",,"5,010.1",,368.0,,283.8,,409.6,,"5,423.3",,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,A,HR,DO,188,264.0,,"24,740.6",,"24,063.1",,"23,208.0",,916.3,,873.4,,"82,984.0",,"593,419.4",,
GA,Metropolitan Atlanta Rapid Transit Authority(MARTA),4022,A,MB,DO,504,621.0,,"27,103.2",,"30,765.3",,"27,099.0",,"2,356.9",,"2,191.4",,"67,519.4",,"213,459.6",,
,,,,Total,,810,"1,060.0",,"51,843.8",,"61,024.6",,"55,317.2",,"3,641.2",,"2,640.2",,"150,913.0",,"812,302.3",,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,B,DR,PT,205,245.0,,0.0,,"5,986.7",,"4,833.3",,420.9,,335.8,,833.8,,"9,380.7",,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,B,FB,PT,2,2.0,,53.8,,47.6,,47.6,,2.5,,2.5,,48.2,,"1,058.2",,
HI,City and County of Honolulu Department of Transportation Services(DTS),9002,B,MB,PT,439,532.0,,"18,471.8",,"21,536.7",,"18,272.7",,"1,510.6",,"1,375.6",,"69,759.9",,"301,159.5",,
,,,,Total,,646,779.0,,"18,525.6",,"27,571.0",,"23,153.6",,"1,934.1",,"1,713.9",,"70,641.9",,"311,598.3",,
HI,"Honolulu - VPSI, Inc.",9176,D,VP,DO,277,298.0,,0.0,,"3,783.9",,"3,783.9",,120.8,,120.8,,668.1,,"15,819.9",,
IA,Ames Transit Agency(CyRide),7041,B,DR,DO,3,11.0,,0.0,,37.4,,33.9,,3.2,,2.9,,10.9,,35.3,,
IA,Ames Transit Agency(CyRide),7041,B,MB,DO,49,60.0,,"1,073.0",,"1,157.3",,"1,092.5",,108.7,,102.8,,"4,625.7",,"7,110.2",,
IA,Ames Transit Agency(CyRide),7041,B,MB,PT,4,20.0,,0.8,,0.9,,0.8,,0.1,,0.1,,10.0,,17.9,,
,,,,Total,,56,91.0,,"1,073.8",,"1,195.5",,"1,127.2",,112.0,,105.8,,"4,646.6",,"7,163.5",,
IA,Bettendorf Transit System,7007,B,DR,PT,1,2.0,,0.0,,39.7,,29.4,,3.8,,3.5,,5.7,,22.3,,
IA,Bettendorf Transit System,7007,B,MB,PT,2,3.0,,16.0,,17.9,,16.0,,1.0,,0.9,,6.3,,19.2,,
IA,Bettendorf Transit System,7007,B,MB,DO,5,6.0,,299.0,,298.8,,298.8,,16.6,,16.6,,166.4,,666.4,,
,,,,Total,,8,11.0,,315.0,,356.5,,344.1,,21.5,,21.0,,178.4,,707.9,,
IA,Cedar Rapids Transit(CRT),7008,B,DR,PT,31,35.0,,0.0,,548.9,,484.9,,40.3,,37.1,,124.5,,871.6,Q,
IA,Cedar Rapids Transit(CRT),7008,B,MB,DO,28,42.0,,"1,077.8",,"1,073.2",,"1,041.3",,71.8,,69.9,,"1,104.3",,"4,638.2",Q,
,,,,Total,,59,77.0,,"1,077.8",,"1,622.1",,"1,526.2",,112.1,,107.0,,"1,228.9",,"5,509.8",,
IA,City of Dubuque(KeyLine),7011,A,DR,DO,9,10.0,,0.0,,188.5,Q,182.7,Q,19.2,Q,18.6,Q,55.3,Q,209.9,Q,
IA,City of Dubuque(KeyLine),7011,A,MB,DO,9,10.0,,300.8,,310.7,Q,301.4,Q,24.5,Q,23.6,Q,248.0,Q,817.0,Q,
,,,,Total,,18,20.0,,300.8,,499.1,,484.1,,43.7,,42.3,,303.3,,"1,026.9",,
IA,Coralville Transit System(CTS),7030,B,DR,PT,2,3.0,,0.0,,71.1,,61.5,,5.4,,5.1,,10.6,Q,175.4,Q,
IA,Coralville Transit System(CTS),7030,B,MB,DO,7,10.0,,169.6,,185.6,,170.5,,15.3,,14.2,,494.7,,"1,917.6",,
,,,,Total,,9,13.0,,169.6,,256.7,,232.0,,20.7,,19.3,,505.3,,"2,093.0",,
IA,Davenport Public Transit(CITIBUS),7009,B,DR,PT,4,6.0,,0.0,,134.5,,113.4,,10.6,,9.7,,27.3,,102.3,,
IA,Davenport Public Transit(CITIBUS),7009,B,MB,DO,17,20.0,,674.1,,733.6,,674.1,,58.7,,56.2,,"1,080.0",,"4,406.3",,
,,,,Total,,21,26.0,,674.1,,868.2,,787.5,,69.3,,65.9,,"1,107.3",,"4,508.6",,
IA,Des Moines Area Regional Transit Authority(DART),7010,B,DR,DO,26,34.0,,0.0,,"1,089.6",,931.7,,71.6,,64.2,,199.1,,"1,677.9",,
IA,Des Moines Area Regional Transit Authority(DART),7010,B,DR,PT,2,3.0,,0.0,,59.5,,59.5,,3.5,,3.5,,8.1,,59.5,,
IA,Des Moines Area Regional Transit Authority(DART),7010,B,MB,DO,94,113.0,,"2,292.5",,"2,656.1",,"2,318.2",,196.6,,173.5,,"4,336.6",,"21,395.2",,
IA,Des Moines Area Regional Transit Authority(DART),7010,B,VP,DO,91,93.0,,0.0,,"1,862.2",,"1,862.2",,43.0,,43.0,,280.2,,"11,885.0",,
,,,,Total,,213,243.0,,"2,292.5",,"5,667.3",,"5,171.5",,314.7,,284.2,,"4,823.9",,"35,017.6",,
IA,Iowa City Transit(ICT),7018,B,DR,PT,10,11.0,,0.0,,270.9,Q,270.6,Q,26.0,Q,24.9,Q,73.4,,275.2,Q,
IA,Iowa City Transit(ICT),7018,B,MB,DO,21,26.0,,694.1,,711.7,Q,692.5,Q,55.4,Q,53.9,Q,"1,844.6",,"3,795.0",,
,,,,Total,,31,37.0,,694.1,,982.7,,963.1,,81.3,,78.7,,"1,918.0",,"4,070.1",,
