State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
AK,Alaska Railroad Corporation(ARRC),0041,Agency,AR,DO,36,96,,98.7,,94.0,,94.0,,5.1,,5.1,,107.6,,"2,041.2",,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,DR,DO,6,7,,0.0 ,,176.0,,149.3,,14.2,,11.5,,21.1,,148.2,,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,MB,DO,8,10,,430.2,,468.6,,430.2,,24.3,,23.2,,383.6,,"2,888.9",,
,,,,Total,,14,17,,430.2,,644.6,,579.5,,38.5,,34.7,,404.8,,"3,037.0",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,DR,PT,42,47,,0.0 ,,"1,299.5",,"1,148.7",,99.7,,84.5,,197.8,,"1,287.4",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,DO,45,52,,"1,911.4",,"2,144.8",,"1,909.7",,162.8,,152.5,,"4,145.6",,"18,509.8",,
,,,,Total,,87,99,,"1,911.4",,"3,444.3",,"3,058.4",,262.5,,237.0,,"4,343.3",,"19,797.1",,
AK,"VPSI, Anchorage",0049,Contractor,VP,DO,56,81,,0.0 ,,"1,400.7",,"1,400.7",,29.9,,29.9,,234.8,,"10,237.0",,
AL, Lee-Russell Council of Governments(LRCOG),4073,MPO,DR,DO,15,24,,0.0 ,,355.5,Q,315.2,Q,22.6,Q,19.6,Q,54.4,,326.1,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,DR,DO,26,33,,0.0 ,,"1,068.0",,996.1,,72.4,,67.9,,116.3,,831.5,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,MB,DO,68,78,,"2,754.6",,"2,609.2",,"2,409.2",,216.7,,204.5,,"2,446.5",,"12,770.5",,
,,,,Total,,94,111,,"2,754.6",,"3,677.1",,"3,405.3",,289.1,,272.4,,"2,562.8",,"13,602.0",,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,DR,DO,15,24,,0.0 ,,438.2,,403.4,,33.9,,31.6,,80.8,,673.7,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,MB,DO,13,16,,671.8,,657.9,,631.7,,38.8,,37.9,,307.6,,"1,710.6",,
,,,,Total,,28,40,,671.8,,"1,096.1",,"1,035.0",,72.7,,69.6,,388.5,,"2,384.2",,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,DR,DO,8,11,,0.0 ,,389.5,,335.3,,23.6,,18.8,,41.3,,371.3,,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,MB,DO,25,34,,"1,309.7",,"1,310.6",,"1,300.2",,83.3,,82.8,,"1,320.7",,"6,867.5",,
,,,,Total,,33,45,,"1,309.7",,"1,700.1",,"1,635.5",,106.8,,101.6,,"1,361.9",,"7,238.8",,
AL,Morgan County Area Transportation System(MCATS),4111,City,DR,DO,30,30,,0.0 ,,663.0,Q,549.8,Q,57.8,Q,38.6,Q,205.4,Q,487.1,,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,DR,DO,48,54,,0.0 ,,575.7,,518.1,,47.9,,43.1,,367.8,,"1,151.3",,
AL,Regional Planning Commission of Greater Birmingham(RPCGB),4169,MPO,VP,PT,34,38,,0.0 ,,680.0,,680.0,,13.9,,13.9,,97.7,,"4,521.1",,
AL,The Wave Transit System(WTS),4043,City,DR,DO,25,29,,0.0 ,,745.6,Q,680.3,Q,55.9,Q,52.7,Q,106.4,,856.9,,
AL,The Wave Transit System(WTS),4043,City,MB,DO,23,34,,"1,296.8",,"1,318.4",,"1,251.8",,101.5,,97.5,,"1,082.1",,"5,971.4",,
